N	3gram	Tiupa_Disk_2	Dialekti
1	с точки зрения	2	14
2	тем не менее	1	10
3	не может быть	3	6
4	в самом деле	1	5
5	по крайней мере	1	5
6	о том что	3	5
7	подобно тому как	2	4
8	с одной стороны	4	3
9	в том что	6	3
10	как и в	5	3
11	и прежде всего	2	3
12	не говоря уже	1	2
13	того или иного	1	2
14	из двух или	1	2
15	говоря уже о	1	2
16	одно и то	2	2
17	и то же	2	2
18	одно из двух	1	2
19	не могут быть	1	2
20	с другой стороны	1	2
21	во всяком случае	1	2
22	той или иной	3	2
23	том что в	1	1
24	такой же мере	1	1
25	в этом мире	2	1
26	о мире как	1	1
27	потому что в	1	1
28	и той же	1	1
29	одной стороны и	2	1
30	этого термина он	1	1
31	и не может	2	1
32	и в то	1	1
33	друг на друга	1	1
34	в этом отношении	4	1
35	того и другого	1	1
36	еще не есть	1	1
37	и в частности	1	1
38	в применении к	1	1
39	в данном случае	6	1
40	что ни один	1	1
41	или по крайней	1	1
42	и как бы	2	1
43	каждый из них	1	1
44	в такой же	1	1
45	не в том	1	1
46	имеем дело не	1	1
47	содержит в себе	2	1
48	в споре с	1	1
49	может и даже	1	1
50	ни в чем	1	1
51	с той или	1	1
52	то же время	5	1
53	его в центр	1	1
54	жизни и смерти	1	1
55	в одном из	1	1
56	в конечном счете	1	1
57	но все эти	1	1
58	бы то ни	1	1
59	в этом заключается	1	1
60	речь идет о	1	1
61	не менее в	1	1
62	то ни было	1	1
63	никак не могут	1	1
64	и здесь в	1	1
65	в то же	4	1
66	одной и той	1	1
67	возможна только в	1	1
68	что в них	1	1
69	в себе не	1	1
