N	3gram	Bakhtin_Pr_5	Poddanst
1	в то же	10	7
2	то же время	10	7
3	в отношении к	7	5
4	в том что	2	4
5	с точки зрения	2	3
6	и в то	2	2
7	заключает в себе	1	2
8	в тот же	1	2
9	в этом смысле	3	1
10	или хотя бы	1	1
11	и в этом	2	1
12	и не может	2	1
13	в отличие от	2	1
14	за то что	1	1
15	что дело идет	1	1
16	вместе с тем	1	1
17	и пр в	1	1
18	и то что	1	1
19	там где он	2	1
20	в противоречии с	1	1
21	но в общем	2	1
22	во всяком случае	4	1
23	в творчестве достоевского	4	1
24	с другой стороны	3	1
25	не может быть	3	1
26	но в то	4	1
27	именно потому что	2	1
28	в большинстве случаев	2	1
29	друг с другом	4	1
30	для того чтобы	1	1
31	но в этом	1	1
