N	4gram	Vygotskiy__7	Freidism
1	одной и той же	2	3
2	внутренней и внешней речи	1	2
3	и не может быть	1	2
4	случае не может быть	1	1
5	на самом же деле	1	1
6	если мы обратимся к	1	1
7	из того что мы	1	1
8	в самом деле если	1	1
9	собственном смысле этого слова	3	1
10	т.е в конечном счете	1	1
11	на которой мы остановимся	1	1
12	не чем иным как	2	1
13	в том что в	1	1
14	из одного плана в	1	1
15	по отношению ко всему	1	1
16	что с точки зрения	1	1
17	в свою очередь является	1	1
18	нет и не может	1	1
19	для того чтобы получить	1	1
20	одного плана в другой	1	1
21	в собственном смысле этого	3	1
22	поэтому она не может	1	1
