N	3gram	Tiupa_Narr_1	StatiiOP
1	в том что	8	17
2	о том что	6	11
3	с точки зрения	2	8
4	можно было бы	2	8
5	до сих пор	1	7
6	в этом отношении	3	7
7	у нас нет	1	7
8	на самом деле	1	6
9	в данном случае	4	6
10	с другой стороны	4	6
11	в самом деле	1	5
12	не может быть	5	5
13	дело в том	1	4
14	то же время	3	4
15	не только в	2	4
16	так и в	1	4
17	того или иного	2	4
18	в то же	3	4
19	том что в	1	3
20	по отношению к	6	3
21	то или иное	2	3
22	так же как	2	3
23	но все же	4	3
24	в свое время	1	2
25	да и в	1	2
26	и даже не	1	2
27	в том числе	6	2
28	а во второй	1	2
29	в первую очередь	1	2
30	и то что	1	2
31	том числе и	4	2
32	может быть и	1	2
33	а иногда и	1	2
34	по крайней мере	1	2
35	с одной стороны	7	2
36	имеем дело с	1	2
37	так или иначе	2	2
38	а также и	1	2
39	мере в какой	1	2
40	речь идет о	2	2
41	тем более что	1	2
42	из этих двух	1	2
43	тем не менее	3	2
44	как и в	1	2
45	здесь совершенно не	1	2
46	а во втором	2	1
47	не может не	2	1
48	в той или	2	1
49	никогда не было	1	1
50	той или иной	4	1
51	точки зрения как	1	1
52	а не в	2	1
53	далеко не все	1	1
54	таким каким он	2	1
55	в этом смысле	1	1
56	в соответствии с	1	1
57	том что он	1	1
58	в том же	1	1
59	же как и	1	1
60	из двух или	1	1
61	сами по себе	2	1
62	ни один человек	1	1
63	бы то ни	3	1
64	только то что	1	1
65	точно так же	2	1
66	одной из двух	2	1
67	некоторые из них	1	1
68	ту или иную	2	1
69	однако с другой	1	1
70	содержит в себе	1	1
71	в том чтобы	1	1
72	данного произведения не	1	1
73	той мере в	1	1
74	и в то	1	1
75	самом деле не	1	1
76	в той мере	1	1
77	и не было	1	1
78	вытекает из его	1	1
79	а с другой	1	1
80	то что было	1	1
81	то что он	1	1
82	именно в том	2	1
83	ни одного слова	1	1
84	никогда и не	1	1
85	ни для кого	1	1
86	то что могло	1	1
87	в капитанской дочке	1	1
88	мысль о том	1	1
89	отличается от всех	1	1
90	в этой системе	1	1
91	что именно такова	1	1
92	оснований видеть в	1	1
93	друг от друга	1	1
94	но это не	1	1
95	а в тех	1	1
96	мы имеем дело	2	1
97	и не в	4	1
