1	в то же	7	13
2	то же время	7	12
3	в том что	4	6
4	о том что	4	5
5	в конечном счете	1	4
6	это как бы	1	3
7	в соответствии с	3	3
8	не только в	2	2
9	в этой связи	1	2
10	и т п	1	2
11	это уже не	1	2
12	тем не менее	1	2
13	на самом деле	1	2
14	в данном случае	4	2
15	не только для	1	1
16	и тем не	1	1
17	вот некоторые из	1	1
18	на первый взгляд	1	1
19	то что в	1	1
20	вот в чем	1	1
21	к тому что	1	1
22	что иное как	1	1
23	хотя бы и	1	1
24	то ни было	2	1
25	к человеку и	1	1
26	в глубине души	1	1
27	в отличие от	5	1
28	в году он	1	1
29	но при этом	1	1
30	но кто же	1	1
31	в связи с	1	1
32	в отношении к	1	1
33	хотя и не	1	1
34	особое место в	2	1
35	к жизни в	2	1
36	вместе с тем	1	1
37	каждой личности в	1	1
38	ту или иную	1	1
39	по отношению к	4	1
40	потому что не	2	1
41	то же самое	2	1
42	к тому же	5	1
43	у него не	1	1
44	на этой почве	1	1
45	не что иное	1	1
46	при этом с	1	1
47	я не могу	1	1
48	некоторые из них	1	1
49	с одной стороны	4	1
50	на наш взгляд	1	1
51	в свою очередь	1	1
52	в первую очередь	1	1
53	в xix веке	1	1
54	но это не	1	1
55	и в самом	2	1
56	и вот в	1	1
57	бы то ни	2	1
58	человека в мире	1	1
59	мы все время	1	1
60	в мире не	2	1
61	и наконец в	1	1
62	с другой стороны	2	1
63	было в том	1	1
64	во всей ее	1	1
65	одного из них	1	1
