N	2gram	Vinokur_St_3	Sotsiolo
1	все это	8	7
2	в этом	24	5
3	в том	20	5
4	для нас	1	3
5	не только	12	3
6	в его	12	3
7	и в	25	3
8	не в	6	3
9	и только	2	3
10	только в	6	2
11	может быть	19	2
12	и что	3	2
13	в результате	2	2
14	то же	5	2
15	должна быть	1	2
16	было бы	7	2
17	ввести в	1	2
18	идей и	1	2
19	таким образом	10	2
20	но и	9	2
21	тем более	3	2
22	еще не	2	2
23	то что	12	2
24	конце концов	3	2
25	за пределы	1	2
26	в частности	1	2
27	к которому	3	2
28	очевидно что	1	2
29	по существу	1	2
30	в конце	6	2
31	что в	19	2
32	как бы	6	2
33	в смысле	4	2
34	том что	15	2
35	дело не	2	2
36	и не	10	1
37	эти вопросы	1	1
38	в этой	14	1
39	в своей	4	1
40	бы в	1	1
41	может не	1	1
42	еще и	1	1
43	слишком много	1	1
44	по себе	1	1
45	все эти	3	1
46	лучшем случае	1	1
47	и его	3	1
48	его исторической	1	1
49	не дает	1	1
50	в целом	4	1
51	вряд ли	1	1
52	с другой	5	1
53	это как	1	1
54	в сущности	2	1
55	именно на	1	1
56	в те	1	1
57	связи с	3	1
58	и должно	1	1
59	быть не	2	1
60	крайней мере	4	1
61	что она	1	1
62	в них	5	1
63	должно было	1	1
64	в связи	3	1
65	что он	19	1
66	тем же	1	1
67	что все	3	1
68	так наз	1	1
69	не было	4	1
70	в каждом	4	1
71	в лучшем	1	1
72	что творчество	1	1
73	на отдельные	1	1
74	положения в	1	1
75	образом в	1	1
76	когда мы	1	1
77	а с	2	1
78	не из	1	1
79	но не	2	1
80	этой области	2	1
81	этих мелочах	1	1
82	и более	3	1
83	вовсе не	2	1
84	все же	4	1
85	жизни он	1	1
86	между тем	6	1
87	но как	2	1
88	вопросом о	1	1
89	а в	6	1
90	это значит	1	1
91	бы он	1	1
92	это не	7	1
93	наше время	1	1
94	в то	7	1
95	те же	1	1
96	между собою	2	1
97	конечно не	1	1
98	и темы	1	1
99	в наше	1	1
100	и наконец	3	1
101	для этого	2	1
102	в чем	4	1
103	никогда не	2	1
104	и самые	1	1
105	во всяком	4	1
106	в котором	5	1
107	поэтической формы	1	1
108	темы и	2	1
109	существу это	1	1
110	тому что	3	1
111	по крайней	4	1
112	и русская	1	1
113	и о	1	1
114	автор не	1	1
115	же это	1	1
116	в этих	11	1
117	том как	1	1
118	и какие	1	1
119	у него	9	1
120	как и	4	1
121	говорит за	1	1
122	с помощью	1	1
123	правильно говорит	1	1
124	вот в	1	1
125	с ним	1	1
126	место в	6	1
127	ни на	2	1
128	не выходит	1	1
129	один из	2	1
130	поэта и	1	1
131	и как	1	1
132	должно сказать	1	1
133	какие же	1	1
134	всему этому	1	1
135	его в	1	1
136	стиль в	1	1
137	с одной	2	1
138	о том	8	1
139	на что	2	1
140	даже в	1	1
141	или нет	1	1
142	и голова	1	1
143	одной стороны	3	1
144	же самое	1	1
145	вступает в	1	1
146	их на	1	1
147	его работах	1	1
148	связь между	1	1
149	хотя бы	1	1
150	к изучению	1	1
151	и по	2	1
152	ничего не	4	1
153	все то	1	1
154	что это	16	1
155	между собой	1	1
156	мы не	2	1
157	я и	3	1
158	не может	7	1
159	тех кто	1	1
160	же время	3	1
161	а тем	1	1
162	два типа	1	1
163	перейти к	1	1
164	прежде всего	10	1
165	они не	1	1
166	благодаря тому	1	1
167	всяком случае	4	1
168	он говорит	4	1
169	тем что	19	1
170	этом не	1	1
171	что эти	4	1
172	так и	5	1
173	в данном	1	1
174	в виде	3	1
175	именно в	1	1
176	это же	1	1
177	только тогда	2	1
178	эти два	1	1
179	может служить	1	1
180	в области	6	1
