N	3gram	Nazirov_Tv_2	Mirosoze
1	не может быть	3	8
2	это и есть	1	3
3	так же как	2	3
4	и в этом	1	3
5	же как и	1	3
6	в высшей степени	1	3
7	у достоевского есть	1	3
8	никогда не было	2	3
9	до сих пор	3	3
10	в творчестве достоевского	4	3
11	с настасьей филипповной	1	2
12	о том что	2	2
13	о великом инквизиторе	3	2
14	в братьях карамазовых	6	2
15	есть по преимуществу	1	2
16	как и в	1	2
17	и никогда не	1	2
18	но это не	1	2
19	у нас не	1	2
20	в дневнике писателя	2	2
21	у достоевского нет	2	2
22	в чем не	1	2
23	по отношению к	3	2
24	в том что	2	2
25	в нем нет	1	2
26	может быть назван	1	2
27	любить друг друга	1	2
28	ни в чем	1	2
29	я никогда не	1	2
30	настасье филипповне любовь	1	1
31	в этой борьбе	1	1
32	в романах достоевского	12	1
33	с такой силой	1	1
34	и должно быть	1	1
35	записок из подполья	1	1
36	в нем самом	1	1
37	сам достоевский в	1	1
38	преступления и наказания	2	1
39	что он сам	1	1
40	с иваном карамазовым	2	1
41	достоинство человека и	1	1
42	в письме к	1	1
43	именно потому что	1	1
44	и всякий раз	1	1
45	что у достоевского	2	1
46	не может нас	1	1
47	веру в бога	1	1
48	достоевского с его	1	1
49	в противоречии с	1	1
50	противопоставлен всему миру	1	1
51	так и не	1	1
52	преступлении и наказании	10	1
53	потому что в	1	1
54	том что в	1	1
55	в xix веке	2	1
56	такой силой как	1	1
57	не означает что	1	1
58	у достоевского это	1	1
59	в нем и	1	1
60	записках из подполья	3	1
61	в конце романа	1	1
62	не в силах	2	1
63	в записках из	3	1
64	в xx веке	1	1
65	творчестве достоевского но	1	1
66	он сам в	2	1
67	той или иной	1	1
68	а может быть	1	1
69	на западе это	1	1
70	у достоевского не	1	1
71	мы видим в	1	1
72	на наших глазах	1	1
73	достоевского нет ничего	1	1
74	не в себе	1	1
75	не может жить	1	1
76	в иване карамазове	1	1
77	что у него	1	1
78	в стороне от	1	1
79	нет ничего кроме	1	1
80	преступление и наказание	1	1
81	уходит в бесконечность	1	1
82	человека в его	1	1
83	на чьей стороне	1	1
84	легенда о великом	3	1
85	жалости и состраданию	1	1
86	его образ и	1	1
87	он не знал	1	1
88	в преступлении и	10	1
89	творчество достоевского проникнуто	1	1
90	достоевский не только	1	1
91	к богу к	1	1
92	и народ в	1	1
93	и ивана карамазова	1	1
