N	3gram	Bakhtin_Fr_6	NovoeSre
1	не может быть	1	4
2	в средние века	4	3
3	со всех сторон	1	3
4	никогда не было	1	2
5	вместе с тем	1	2
6	с одной стороны	4	2
7	с другой стороны	2	2
8	это связано с	1	1
9	и в ней	1	1
10	и того же	1	1
11	в другие времена	1	1
12	между небом и	1	1
13	и до сих	1	1
14	одного и того	1	1
15	как это было	1	1
16	до сих пор	3	1
17	в эпоху ренессанса	1	1
18	в эту эпоху	1	1
19	что он может	1	1
20	в зависимости от	1	1
21	но и в	2	1
22	и в истории	1	1
23	человека и в	1	1
24	не только в	1	1
25	нового времени в	1	1
26	то что он	1	1
27	в нем не	1	1
28	это конечно не	1	1
29	в самом себе	1	1
30	хотя и в	2	1
31	о том что	5	1
32	в то время	1	1
33	в значительной степени	1	1
34	та или иная	1	1
35	в большинстве случаев	4	1
36	в том что	2	1
37	конечно не в	2	1
