N	3gram	Bakhtin_sl_2	VLabPisa
1	и т д	2	15
2	в этом отношении	3	13
3	и т п	33	9
4	с другой стороны	1	8
5	не может быть	15	8
6	по отношению к	4	7
7	более или менее	2	6
8	в зависимости от	4	5
9	хотя бы и	2	5
10	в процессе работы	1	5
11	то же время	4	5
12	в то же	4	5
13	не могут быть	2	4
14	в связи с	2	4
15	в том что	4	4
16	можно утверждать что	1	3
17	и в то	1	3
18	бы и не	1	3
19	мы видели что	1	3
20	большей или меньшей	1	3
21	о том что	1	3
22	не может не	1	2
23	одной стороны и	3	2
24	в чем же	1	2
25	таким образом даже	1	2
26	также и в	1	2
27	в том числе	1	2
28	до сих пор	2	2
29	таким образом в	1	2
30	точном смысле слова	1	2
31	как пародия на	1	2
32	и не может	1	2
33	так и от	1	2
34	с одной стороны	5	2
35	во всех этих	1	2
36	во всяком случае	2	2
37	в точном смысле	2	2
38	в частности в	1	2
39	не только не	1	2
40	том числе и	1	2
41	все эти явления	1	2
42	для того чтобы	2	2
43	во всех его	2	2
44	этой проблемы в	1	1
45	для этого процесса	1	1
46	и может быть	1	1
47	хотя и не	1	1
48	в той или	3	1
49	точки зрения на	1	1
50	и ту же	1	1
51	в какой мере	1	1
52	иметь в виду	1	1
53	как один из	1	1
54	т п это	1	1
55	органически связано с	1	1
56	то прежде всего	1	1
57	как это было	1	1
58	это и создает	1	1
59	сами по себе	1	1
60	сама по себе	3	1
61	что он не	1	1
62	но и в	1	1
63	произведения в этом	1	1
64	может быть и	2	1
65	во всей ее	1	1
66	т п все	3	1
67	со всех сторон	1	1
68	в процессе этого	1	1
69	слова все это	1	1
70	романа с его	1	1
71	п все это	2	1
72	говорит о том	1	1
73	сводится именно к	1	1
74	их отношение к	1	1
75	даже и не	1	1
76	в применении к	1	1
77	в ту же	1	1
78	но в то	3	1
79	не только в	2	1
80	как сказал бы	1	1
81	однако отметить что	1	1
82	могут быть сведены	1	1
83	с большей или	1	1
84	для правильного понимания	1	1
85	все то что	1	1
86	а не только	1	1
87	именно в том	1	1
88	может быть при	1	1
89	того или иного	1	1
90	а в том	1	1
91	сих пор не	2	1
92	между этими двумя	1	1
93	обязательно должен быть	1	1
94	никогда не может	2	1
95	в свою очередь	2	1
96	те или иные	1	1
97	одна из форм	1	1
98	можно говорить только	1	1
99	той или иной	5	1
100	мы говорим о	1	1
101	в новое время	2	1
102	никак не могут	1	1
103	все зависит от	1	1
104	всего может быть	1	1
105	не обязательно должен	1	1
106	одну и ту	1	1
107	проблемы в плане	1	1
108	все это не	1	1
