N	4gram	Bakhtin_Pr_2	EvropaiE
1	в то же время	3	14
2	в той или иной	2	3
3	так же как и	2	3
4	и в этом смысле	1	2
5	можно сказать что в	1	2
6	само по себе не	1	2
7	но в то же	3	2
8	дело в том что	1	1
9	котором мы говорили в	1	1
10	и с точки зрения	1	1
11	одного и того же	1	1
12	в том числе и	2	1
13	в то время как	1	1
14	не кто иной как	1	1
15	так и со стороны	1	1
16	в большей или меньшей	1	1
17	той или иной степени	2	1
18	мы можем сказать что	2	1
19	о котором мы говорили	1	1
20	большей или меньшей степени	1	1
21	то же время не	1	1
22	но не только в	1	1
