N	2gram	Vinokur_St_2	VelikijI
1	и не	9	20
2	и в	29	16
3	так как	2	9
4	то что	11	9
5	еще не	1	8
6	в истории	2	8
7	что они	2	7
8	а не	5	7
9	и потому	2	7
10	на себя	3	5
11	но и	19	5
12	по пути	2	5
13	того что	5	5
14	хотя и	4	5
15	все это	11	5
16	что есть	1	5
17	как бы	5	5
18	в образе	3	4
19	говорить о	1	4
20	в его	13	4
21	и я	2	4
22	в этом	21	4
23	что он	13	4
24	потому что	9	4
25	в нем	4	4
26	так и	9	4
27	что все	1	4
28	как и	2	4
29	в котором	7	4
30	в ней	7	4
31	и все	1	4
32	это еще	2	4
33	все что	1	4
34	и что	6	3
35	за то	3	3
36	хотя бы	3	3
37	как не	1	3
38	в чем	1	3
39	с его	2	3
40	что и	2	3
41	в том	27	3
42	тот же	1	3
43	но в	8	3
44	по этому	2	3
45	все эти	2	3
46	от которого	1	3
47	в конце	2	3
48	в своей	7	3
49	ни в	3	3
50	в них	2	3
51	не было	3	3
52	не верит	1	3
53	если не	2	3
54	в этих	3	3
55	что во	1	3
56	что я	2	3
57	не в	4	3
58	тому что	7	3
59	но это	3	3
60	не имеет	2	3
61	никогда не	3	3
62	и для	1	3
63	к тому	10	3
64	жизни и	1	3
65	что в	19	3
66	оно не	3	3
67	а между	1	2
68	и это	2	2
69	того чтобы	6	2
70	и то	1	2
71	и сам	2	2
72	и т	9	2
73	можно было	1	2
74	его не	3	2
75	мы не	1	2
76	в последнем	1	2
77	вместо того	1	2
78	и во	1	2
79	между тем	5	2
80	нет и	2	2
81	от этих	1	2
82	которые не	3	2
83	не с	1	2
84	только в	2	2
85	те которые	1	2
86	и последний	1	2
87	конечно не	1	2
88	не только	19	2
89	не так	1	2
90	для него	4	2
91	не хотел	1	2
92	не к	2	2
93	не могли	2	2
94	вот почему	1	2
95	тем что	3	2
96	на том	1	2
97	не будет	1	2
98	т д	6	2
99	истории и	2	2
100	а с	3	2
101	прежде всего	5	2
102	для них	1	2
103	с тем	7	2
104	мы и	1	2
105	один из	1	2
106	более чем	1	2
107	не могут	1	2
108	ли ты	1	2
109	значения и	1	2
110	самого себя	1	2
111	что было	2	2
112	да и	1	2
113	это дело	1	2
114	одна из	1	2
115	было еще	1	2
116	уже на	1	2
117	том что	27	2
118	а к	2	2
119	для нас	1	2
120	от него	1	2
121	в форме	1	2
122	и теперь	2	2
123	они и	1	2
124	ее в	2	2
125	до того	4	2
126	давно уже	3	2
127	что теперь	1	2
128	не создает	1	2
129	а в	1	2
130	но не	3	2
131	в духе	2	2
132	чтобы сделать	2	2
133	во всяком	3	2
134	божьего и	1	1
135	если б	4	1
136	речь идет	4	1
137	как мы	1	1
138	в виду	7	1
139	в ее	2	1
140	царем и	3	1
141	и до	1	1
142	роль в	1	1
143	не имеют	1	1
144	значение в	1	1
145	о их	1	1
146	легенду о	1	1
147	то же	2	1
148	их и	1	1
149	и которые	1	1
150	в результате	2	1
151	и тут	1	1
152	по сравнению	1	1
153	вопрос о	6	1
154	основана на	1	1
155	еще так	1	1
156	и вообще	2	1
157	который был	1	1
158	говорят что	2	1
159	о возможности	1	1
160	я не	7	1
161	не был	3	1
162	зависимости от	1	1
163	любви по	1	1
164	меня в	2	1
165	думаю что	1	1
166	в их	3	1
167	и на	6	1
168	он был	2	1
169	после того	4	1
170	и который	2	1
171	в последних	1	1
172	со словами	1	1
173	бы то	2	1
174	конечно это	1	1
175	это имеет	1	1
176	что оно	1	1
177	но как	1	1
178	от них	1	1
179	всем в	1	1
180	с которыми	1	1
181	присутствует в	2	1
182	но нет	1	1
183	тогда как	2	1
184	что человек	1	1
185	себе и	1	1
186	бы в	1	1
187	не просто	1	1
188	укажу тебе	1	1
189	легенде о	1	1
190	отказался от	1	1
191	стало возможно	1	1
192	как в	3	1
193	в своем	9	1
194	я был	1	1
195	известном смысле	1	1
196	с именем	1	1
197	все же	6	1
198	но с	4	1
199	еще больше	1	1
200	в двух	1	1
201	с ними	1	1
202	и хотя	1	1
203	это очень	2	1
204	в самом	7	1
205	в которой	11	1
206	образа в	1	1
207	все старые	1	1
208	что это	3	1
209	бы ни	2	1
210	их не	1	1
211	средство для	1	1
212	не имею	1	1
213	землю без	1	1
214	в этой	2	1
215	в известном	3	1
216	им в	1	1
217	уже в	1	1
218	в которую	2	1
219	то и	1	1
220	и если	1	1
221	в исторических	1	1
222	по словам	4	1
223	только себя	1	1
224	это отрицание	1	1
225	говорит что	1	1
226	перестает быть	1	1
227	в понимании	1	1
228	любви в	1	1
229	слабы и	1	1
230	вовсе не	6	1
231	не для	1	1
232	отношение к	1	1
233	но что	1	1
234	у него	1	1
235	не случайно	1	1
236	теперь еще	1	1
237	и по	3	1
238	на этом	1	1
239	в руки	1	1
240	переход к	1	1
241	так легко	1	1
242	и вместе	1	1
243	тут не	1	1
244	на нее	3	1
245	для того	7	1
246	то ни	2	1
247	конечно в	2	1
248	не были	1	1
249	и с	4	1
250	было не	1	1
251	путь этот	1	1
252	как мог	2	1
253	с другой	4	1
254	результатом этого	1	1
255	лишь на	1	1
256	и быть	1	1
257	еще и	3	1
258	и тем	1	1
259	говорит о	2	1
260	них и	1	1
261	церкви и	1	1
262	на которых	1	1
263	ничем не	1	1
264	и уже	1	1
265	с которым	1	1
266	жизнь в	1	1
267	для чего	1	1
268	было для	2	1
269	о чем	5	1
270	тебе что	2	1
271	места в	1	1
272	еще предстоит	1	1
273	вместе с	7	1
274	так же	3	1
275	сделать его	1	1
276	как это	2	1
277	в лице	1	1
278	является и	1	1
279	над ним	1	1
280	у нас	3	1
281	в изображении	1	1
282	если оно	1	1
283	сравнению с	1	1
284	этих словах	2	1
285	с такой	1	1
286	что тот	1	1
287	в одном	6	1
288	но я	1	1
289	есть еще	2	1
290	человек с	1	1
291	который он	1	1
292	освободиться от	1	1
293	с этой	2	1
294	и очень	1	1
295	властью и	2	1
296	на пути	1	1
297	нет никакого	2	1
298	какие бы	1	1
299	конечно они	1	1
300	можно ли	1	1
301	ни для	1	1
302	о мире	2	1
303	обратился к	1	1
304	на два	1	1
305	тому кто	1	1
306	не по	2	1
307	и именно	3	1
308	не существует	1	1
309	и от	1	1
310	нельзя не	3	1
311	найти в	1	1
312	и всегда	2	1
313	ничего не	4	1
314	достоинство его	1	1
315	того как	7	1
316	может быть	2	1
317	как она	1	1
318	конце концов	1	1
319	против того	1	1
320	с отвращением	1	1
321	будто бы	1	1
322	это слово	3	1
323	вот что	3	1
324	можно признать	1	1
325	на него	1	1
326	звучит в	1	1
327	связь с	2	1
328	жизни в	1	1
329	что на	3	1
330	другой стороны	3	1
331	но все	7	1
332	религиозный смысл	1	1
333	в трех	1	1
334	к этому	4	1
335	вся история	1	1
336	всего что	1	1
337	и другие	2	1
338	в своих	1	1
339	нет что	1	1
340	слова с	1	1
341	в процессе	2	1
342	но к	1	1
343	отказаться от	1	1
344	себя и	1	1
345	она не	1	1
346	они не	2	1
