N	3gram	Medvedev_F_1	Psycholo
1	в том что	1	14
2	с одной стороны	4	12
3	в зависимости от	2	6
4	заключается в том	1	6
5	к тому что	1	6
6	мы увидим что	1	6
7	до сих пор	6	5
8	с другой стороны	1	5
9	по сравнению с	1	4
10	и как бы	1	4
11	не только не	2	4
12	должен был бы	1	3
13	в лучшем случае	3	3
14	вместе с тем	1	3
15	с самого начала	1	3
16	и т п	4	3
17	мы видим что	1	3
18	и т д	8	3
19	в этом отношении	1	3
20	художественной формы и	1	2
21	сводится к тому	2	2
22	состоит в том	1	2
23	может быть и	3	2
24	с точки зрения	13	2
25	в отличие от	1	2
26	так же как	1	2
27	в данном случае	1	2
28	сами по себе	2	2
29	в том чтобы	2	2
30	зависимости от того	1	2
31	том и заключается	1	2
32	в том и	1	2
33	все то что	1	2
34	именно в том	1	2
35	по себе не	1	2
36	не может быть	5	2
37	до тех пор	1	2
38	друг от друга	2	2
39	на самом деле	6	2
40	исходили из ложного	1	2
41	и от этой	1	1
42	необходимо прежде всего	1	1
43	увидим что и	1	1
44	совершенно неправильно в	1	1
45	он должен быть	1	1
46	по отношению к	4	1
47	более или менее	6	1
48	самом деле это	1	1
49	в этом смысле	1	1
50	оставив в стороне	1	1
51	одной стороны и	4	1
52	же как и	1	1
53	и в этом	2	1
54	художественного произведения и	2	1
55	должны быть поняты	2	1
56	и в свою	1	1
57	в первой главе	1	1
58	сказать что и	1	1
59	в своем целом	2	1
60	к тому чтобы	1	1
61	еще далеко не	1	1
62	она дана в	1	1
63	которая могла бы	1	1
64	из ложного предположения	1	1
65	работы таким образом	1	1
66	с этой точки	1	1
67	как если бы	2	1
68	и не в	2	1
69	так сказать в	1	1
70	каждого элемента в	1	1
71	и в частности	2	1
72	не могло быть	1	1
73	в применении к	2	1
74	мы не можем	2	1
75	в литературном произведении	2	1
76	отношения к искусству	1	1
77	и если в	1	1
78	в художественном произведении	2	1
79	во внешнем мире	1	1
80	вступает в свою	1	1
81	смысле этого слова	3	1
82	как один из	1	1
83	еще не было	1	1
84	отсюда целый ряд	1	1
85	в последнее время	1	1
86	ложного предположения что	1	1
87	но вместе с	1	1
88	а не как	1	1
89	на роман чтобы	1	1
90	они никогда не	1	1
91	это и не	1	1
92	не может и	1	1
93	у нас не	2	1
94	и в том	1	1
95	о самом процессе	1	1
96	этой точки зрения	1	1
97	того или иного	2	1
98	и что язык	1	1
99	произведения искусства как	1	1
100	и заключается что	1	1
101	в свою очередь	6	1
102	как художник в	1	1
103	ничего общего с	1	1
104	в составе художественного	1	1
105	в целом ряде	2	1
106	при таком понимании	2	1
107	тому что он	1	1
108	понятно что при	1	1
109	в свою силу	1	1
110	вместо того чтобы	1	1
111	в жизни и	1	1
112	и ко всем	1	1
113	которого он является	1	1
114	был бы быть	1	1
