N	2gram	Medvedev_V_1	StatiiOP
1	и в	26	29
2	в том	15	27
3	том что	8	27
4	в этом	26	21
5	но и	10	19
6	что в	10	19
7	не только	25	19
8	пушкина в	1	18
9	о том	10	17
10	в его	14	13
11	что он	4	13
12	у пушкина	2	12
13	между прочим	2	12
14	то что	6	11
15	в которой	2	11
16	все это	10	11
17	таким образом	31	10
18	т е	18	10
19	к тому	4	10
20	как на	3	9
21	так и	5	9
22	он не	2	9
23	потому что	1	9
24	и т	23	9
25	и не	19	9
26	этом отношении	13	9
27	в своем	8	9
28	как раз	3	8
29	письме к	9	8
30	по поводу	2	8
31	но в	2	8
32	в своей	4	7
33	с тем	3	7
34	вместе с	7	7
35	для того	3	7
36	не столько	2	7
37	в котором	3	7
38	того как	1	7
39	тому что	6	7
40	в самом	4	7
41	в ней	2	7
42	так например	2	7
43	в виду	4	7
44	одним из	5	6
45	все же	5	6
46	вопрос о	1	6
47	т д	14	6
48	вовсе не	3	6
49	до сих	1	6
50	об этом	9	6
51	в одном	4	6
52	и его	6	6
53	в течение	2	6
54	и что	1	6
55	того чтобы	3	6
56	в письме	13	5
57	прежде всего	13	5
58	точки зрения	3	5
59	сих пор	1	5
60	того что	3	5
61	в той	1	5
62	между тем	5	5
63	в качестве	11	5
64	о чем	2	5
65	пушкин в	2	5
66	а не	7	5
67	пушкина к	1	5
68	было бы	7	5
69	как бы	5	5
70	но с	2	4
71	в частности	11	4
72	в другом	2	4
73	по словам	8	4
74	связи с	4	4
75	после того	1	4
76	кроме того	1	4
77	в нем	6	4
78	действующих лиц	5	4
79	не в	6	4
80	еще до	1	4
81	для него	8	4
82	хотя и	2	4
83	и к	3	4
84	что у	2	4
85	в романе	4	4
86	еще более	1	4
87	внимание на	1	4
88	именно в	2	4
89	в печатном	1	4
90	при помощи	3	4
91	не приходится	2	4
92	работы над	5	4
93	к этому	9	4
94	с другой	11	4
95	а как	2	4
96	речь идет	1	4
97	т п	9	3
98	ни одного	2	3
99	что на	1	3
100	как у	2	3
101	с нею	2	3
102	но он	1	3
103	материал для	1	3
104	так же	3	3
105	не был	1	3
106	еще и	2	3
107	не было	7	3
108	не менее	2	3
109	наконец в	1	3
110	хотя бы	19	3
111	что эта	1	3
112	относятся к	1	3
113	по себе	2	3
114	в их	5	3
115	и он	2	3
116	по его	2	3
117	в образе	2	3
118	но не	2	3
119	в году	6	3
120	одной из	1	3
121	например в	3	3
122	во всяком	1	3
123	иметь в	2	3
124	в начале	1	3
125	кажется что	1	3
126	никогда не	4	3
127	и даже	2	3
128	которой является	1	3
129	в этих	1	3
130	вот что	9	3
131	на вопрос	2	3
132	в пользу	2	3
133	как в	1	3
134	у нас	2	3
135	года в	1	3
136	с этим	3	3
137	подчеркнуть что	2	3
138	ни в	1	3
139	тому же	1	3
140	всяком случае	1	3
141	тем что	1	3
142	нельзя не	1	3
143	не могло	1	3
144	другой стороны	8	3
145	вряд ли	1	3
146	же как	2	3
147	в известном	1	3
148	одном из	3	3
149	в общем	2	3
150	его не	3	3
151	самом деле	1	3
152	которые не	1	3
153	на себя	1	3
154	не является	5	3
155	из них	9	3
156	и по	3	3
157	самого начала	1	3
158	но это	1	3
159	все эти	6	2
160	почти все	1	2
161	в значительной	3	2
162	на его	1	2
163	поэзии и	1	2
164	как и	7	2
165	говорит о	7	2
166	что они	3	2
167	чем он	1	2
168	не может	17	2
169	как например	2	2
170	на это	2	2
171	не по	2	2
172	в духе	1	2
173	искусства и	1	2
174	из писем	2	2
175	этому поводу	7	2
176	образом не	3	2
177	этого образа	1	2
178	в устах	1	2
179	в себе	6	2
180	на то	1	2
181	только о	2	2
182	в какой	1	2
183	даже в	5	2
184	и другие	1	2
185	в конце	3	2
186	в области	2	2
187	дело не	1	2
188	как это	12	2
189	первой части	1	2
190	не дает	1	2
191	как говорит	5	2
192	в то	6	2
193	если не	1	2
194	нет никакого	1	2
195	его в	3	2
196	как он	2	2
197	говорит об	2	2
198	письмо к	1	2
199	в ее	4	2
200	с этой	1	2
201	например что	3	2
202	совершенно не	1	2
203	о своей	1	2
204	по этому	9	2
205	как произведение	1	2
206	а затем	2	2
207	сами по	1	2
208	то же	10	2
209	из его	3	2
210	исторического романа	1	2
211	что этот	1	2
212	и сам	1	2
213	не имеет	1	2
214	в статье	4	2
215	они не	2	2
216	утверждать что	4	2
217	ее в	4	2
218	на почве	1	2
219	что такое	2	2
220	пишет он	1	2
221	только с	2	2
222	и самый	1	2
223	предисловии к	1	2
224	не нашел	1	2
225	и это	1	2
226	другом месте	2	2
227	к сожалению	2	2
228	и потому	2	2
229	в истории	1	2
230	нет и	3	2
231	он был	1	2
232	том смысле	1	2
233	только в	7	2
234	или менее	6	2
235	это было	1	2
236	очевидно что	7	2
237	если бы	3	2
238	только что	4	2
239	во время	3	2
240	в классической	1	2
241	по своему	1	2
242	более или	6	2
243	виде не	1	2
244	в них	4	2
245	в особенности	2	2
246	для своей	1	2
247	только не	2	2
248	в этой	4	2
249	а к	1	2
250	том же	6	2
251	или с	1	2
252	в каком	1	2
253	что и	3	2
254	в процессе	16	2
255	как известно	2	2
256	в результате	5	2
257	несмотря на	1	2
258	с его	3	2
259	также и	2	2
260	писем к	2	2
261	отметить что	2	2
262	по их	1	2
263	это время	1	2
264	а также	1	2
265	на этот	1	2
266	по существу	3	2
267	может быть	22	2
268	сказать что	5	2
269	известном письме	1	2
270	и др	9	2
271	никак не	1	2
272	и речи	1	2
273	их что	1	2
274	этот вопрос	3	2
275	от его	2	2
276	и как	3	2
277	само собою	2	2
278	еще в	1	2
279	в данном	1	2
280	свидетельствуют о	2	2
281	прямом смысле	1	1
282	его от	2	1
283	и колорита	1	1
284	материалов в	3	1
285	для такого	1	1
286	гораздо проще	1	1
287	что многие	2	1
288	при создании	3	1
289	и автор	1	1
290	хотя у	1	1
291	по сравнению	1	1
292	сравнению с	1	1
293	самого себя	2	1
294	бы в	3	1
295	для нас	1	1
296	еще не	2	1
297	одно и	1	1
298	п в	3	1
299	же время	5	1
300	данном случае	1	1
301	в связи	3	1
302	процессе работы	4	1
303	помимо всего	1	1
304	не полностью	1	1
305	должны быть	2	1
306	конце концов	2	1
307	говорить о	2	1
308	мы и	1	1
309	обычно не	1	1
310	можно сказать	4	1
311	творческих сил	6	1
312	об отсутствии	1	1
313	с того	1	1
314	или в	3	1
315	жизни и	3	1
316	в стихах	1	1
317	по одному	2	1
318	а порой	1	1
319	признается что	1	1
320	но для	2	1
321	отличается от	2	1
322	в более	1	1
323	этого процесса	1	1
324	и для	2	1
325	в поэзии	1	1
326	себе в	1	1
327	литературной жизни	1	1
328	на своем	1	1
329	здесь не	1	1
330	для них	1	1
331	разница между	1	1
332	эстетики и	1	1
333	следует понимать	5	1
334	заимствовал из	1	1
335	гете на	1	1
336	и их	3	1
337	и насколько	1	1
338	только на	1	1
339	не говоря	1	1
340	несколько наиболее	1	1
341	и все	1	1
342	бы он	1	1
343	в несколько	1	1
344	и вместе	1	1
345	этому и	1	1
346	одновременно и	1	1
347	материалом не	1	1
348	как видим	8	1
349	на эту	1	1
350	другой в	1	1
351	значение для	1	1
352	писал в	3	1
353	говорил что	2	1
354	возник замысел	1	1
355	основания для	1	1
356	при всем	3	1
357	место для	1	1
358	говоря уже	1	1
359	смысле что	1	1
360	о присылке	1	1
361	из того	1	1
362	каждого из	1	1
363	те или	1	1
364	произведения именно	1	1
365	сам поэт	1	1
366	у него	6	1
367	причем в	1	1
368	этом и	2	1
369	это обстоятельство	1	1
370	всем что	1	1
371	важно подчеркнуть	2	1
372	близко к	1	1
