N	2gram	Tiupa_Hudo_1	UchenyiS
1	и в	19	14
2	а не	9	10
3	не только	16	10
4	прежде всего	4	8
5	и не	15	8
6	не может	7	7
7	в этом	11	7
8	то что	4	7
9	эстетического объекта	4	6
10	может быть	14	6
11	в искусстве	7	6
12	то же	10	5
13	художественное произведение	1	5
14	в художественном	4	5
15	все это	2	5
16	художественного творчества	4	5
17	с другой	7	4
18	но и	10	4
19	что такое	1	4
20	в их	5	4
21	в конечном	5	4
22	конечном счете	5	4
23	в этой	2	4
24	то ни	1	3
25	и то	4	3
26	это не	2	3
27	было бы	1	3
28	как и	2	3
29	для этого	1	3
30	в частности	13	3
31	в своей	5	3
32	или точнее	1	3
33	и т.д	3	3
34	бы то	1	3
35	и формы	1	3
36	произведения искусства	4	3
37	в то	6	3
38	но в	7	3
39	истории литературы	2	3
40	пришлось бы	1	3
41	не следует	4	3
42	же время	5	3
43	в области	6	3
44	только к	1	3
45	у нас	1	3
46	другой стороны	5	3
47	для него	4	3
48	не как	2	3
49	ни было	1	3
50	как такового	1	3
51	что все	1	2
52	крайней мере	1	2
53	одним из	1	2
54	художественного произведения	3	2
55	и через	1	2
56	художественном произведении	1	2
57	а как	1	2
58	это было	1	2
59	художественных произведений	1	2
60	в итоге	2	2
61	противном случае	2	2
62	к области	3	2
63	превращается в	2	2
64	о чем	2	2
65	если бы	3	2
66	не столько	3	2
67	если не	1	2
68	том что	8	2
69	на первый	1	2
70	сводится к	7	2
71	этого термина	2	2
72	говоря иначе	2	2
73	на каждом	1	2
74	в широком	1	2
75	с его	6	2
76	но не	11	2
77	в сторону	2	2
78	не все	2	2
79	в его	9	2
80	по крайней	1	2
81	что и	2	2
82	художественной формы	1	2
83	по себе	2	2
84	более чем	1	2
85	этом смысле	3	2
86	в противном	2	2
87	могли бы	1	2
88	в том	18	2
89	тех или	2	2
90	и для	2	2
91	что он	3	2
92	в себе	9	2
93	искусства как	3	2
94	в самом	5	2
95	между тем	4	2
96	только в	5	2
97	не в	7	2
98	и является	1	2
99	все они	1	2
100	в системе	2	2
101	не есть	1	2
102	или иных	2	2
103	бы и	1	2
104	не могут	1	2
105	могут быть	4	2
106	в конце	1	2
107	же самое	1	2
108	не случайно	3	2
109	как раз	3	2
110	тем что	1	2
111	что она	2	2
112	таким образом	3	2
113	для себя	2	1
114	и это	2	1
115	тем в	1	1
116	эстетическое содержание	1	1
117	единицы и	1	1
118	об этом	2	1
119	же как	1	1
120	искусство и	1	1
121	человека и	1	1
122	на материал	1	1
123	то есть	18	1
124	в виду	5	1
125	и служит	1	1
126	входит в	4	1
127	или иначе	4	1
128	только при	1	1
129	перестают быть	1	1
130	искусства в	4	1
131	для читателя	2	1
132	с самим	2	1
133	и прежде	1	1
134	было и	2	1
135	в произведении	3	1
136	степени и	1	1
137	в пределах	3	1
138	и др	2	1
