N	4gram	Tiupa_Teor_1	Vvedenie
1	в то же время	5	6
2	той мере в какой	1	5
3	в той мере в	1	5
4	не что иное как	1	4
5	но в то же	1	3
6	есть не что иное	1	2
7	заключается в том что	1	2
8	дело в том что	1	2
9	состоит в том что	4	2
10	в одном и том	1	1
11	одно и то же	1	1
12	в той или иной	1	1
13	тем не менее не	1	1
14	одном и том же	1	1
15	мы имеем в виду	3	1
16	в том или ином	1	1
17	не может быть и	1	1
18	мы имеем дело с	1	1
19	еще и потому что	1	1
20	то что входит в	1	1
21	точно так же как	1	1
22	бы то ни было	1	1
23	одного и того же	3	1
