N	3gram	Losev_Vlad_3	Mirosoze
1	не может быть	6	8
2	есть прежде всего	2	5
3	для того чтобы	1	4
4	что и в	3	4
5	что иное как	1	3
6	же как и	1	3
7	до сих пор	1	3
8	к тому что	2	3
9	так же как	2	3
10	у него нет	1	3
11	и в этом	5	3
12	это и есть	1	3
13	не что иное	1	3
14	также и в	2	2
15	потому что он	1	2
16	может быть и	1	2
17	у него была	1	2
18	и самого себя	1	2
19	о том что	8	2
20	не доходит до	1	2
21	в том что	10	2
22	чем в более	1	1
23	том что в	3	1
24	а следовательно и	1	1
25	не мог бы	1	1
26	потому что в	1	1
27	как и прежде	1	1
28	и в нашем	1	1
29	оно не может	2	1
30	xix века и	1	1
31	том что он	1	1
32	во зле и	1	1
33	я не есть	1	1
34	все та же	1	1
35	против него но	1	1
36	с точки зрения	6	1
37	а не к	1	1
38	сам по себе	2	1
39	то в чем	2	1
40	в себе и	2	1
41	в этом отношении	2	1
42	в другом и	1	1
43	всего xix века	1	1
44	что вопрос о	1	1
45	у нас нет	1	1
46	на то что	2	1
47	он никогда не	2	1
48	она должна быть	1	1
49	в самом себе	1	1
50	а не только	2	1
51	вл соловьев который	2	1
52	никогда не мог	1	1
53	себе в своем	1	1
54	и должно быть	1	1
55	не есть ни	1	1
56	она мало чем	1	1
57	мира и не	1	1
58	но и его	1	1
59	он уже не	1	1
60	есть не только	1	1
61	на эту тему	1	1
62	для вечной жизни	1	1
63	том что это	1	1
64	сих пор не	1	1
65	он принадлежит к	1	1
66	но сам он	1	1
67	нет ничего кроме	1	1
68	к добру и	1	1
69	только и можно	1	1
70	никогда и нигде	1	1
71	не может существовать	1	1
72	к которой он	1	1
73	той или иной	1	1
74	если бы не	1	1
75	которые не имеют	1	1
76	сама по себе	1	1
77	только потому и	1	1
78	должно быть в	1	1
79	в письме к	1	1
80	в конце концов	5	1
