N	2gram	Medvedev_F_3	Otkroven
1	и в	27	19
2	у достоевского	1	19
3	но и	10	13
4	и не	30	13
5	в этом	18	12
6	человека в	2	11
7	не в	12	11
8	не только	9	11
9	может быть	25	11
10	а не	17	11
11	человека и	2	10
12	в нем	15	10
13	и все	8	10
14	в самой	2	9
15	прежде всего	4	9
16	не было	1	9
17	никогда не	5	9
18	потому что	7	9
19	он был	4	8
20	в его	7	7
21	он не	1	7
22	лишь в	9	7
23	до конца	4	7
24	ни с	2	7
25	нет ничего	1	7
26	но он	1	7
27	от него	2	7
28	как и	14	6
29	все это	7	6
30	в том	7	5
31	в самом	11	5
32	в этой	2	5
33	для него	1	5
34	в россии	2	5
35	в творчестве	1	5
36	а в	1	5
37	то что	8	5
38	с его	2	4
39	все в	1	4
40	все эти	6	4
41	на земле	2	4
42	не может	24	4
43	т е	32	4
44	того чтобы	5	4
45	и его	19	4
46	всегда есть	1	4
47	что в	8	4
48	нем нет	1	3
49	о том	4	3
50	еще не	6	3
51	было бы	6	3
52	того что	3	3
53	что он	6	3
54	и ее	6	3
55	в себе	3	3
56	не могут	10	3
57	для того	4	3
58	что человек	1	3
59	это не	3	3
60	могут быть	4	3
61	как бы	8	3
62	с ним	1	3
63	и от	11	3
64	в этих	3	3
65	хотя бы	6	3
66	в своих	6	3
67	и с	3	2
68	и то	1	2
69	в ее	4	2
70	так и	21	2
71	его не	1	2
72	и о	1	2
73	по себе	4	2
74	и на	3	2
75	совсем не	5	2
76	что и	2	2
77	что они	5	2
78	в истории	5	2
79	в своем	2	2
80	и нет	1	2
81	все же	6	2
82	и потому	5	2
83	должен был	1	2
84	и этим	1	2
85	учение о	2	2
86	так что	1	2
87	уже в	4	2
88	в единстве	5	2
89	что для	1	2
90	одно из	1	2
91	ведь это	1	2
92	так как	9	2
93	и никогда	1	2
94	тем что	5	2
95	в других	1	2
96	даже и	1	2
97	момент в	1	2
98	и из	2	2
99	его в	7	2
100	заложенных в	3	2
101	человека а	1	2
102	сказать что	3	2
103	с тем	7	2
104	и очень	2	2
105	чем в	1	2
106	должно быть	1	2
107	том что	4	2
108	для всякого	1	2
109	к этому	2	2
110	что же	5	2
111	и для	6	2
112	и бесконечно	1	2
113	ничего не	2	2
114	возможностей и	1	2
115	ничто не	3	2
116	не есть	4	2
117	жизни в	3	2
118	в своей	6	2
119	хотя и	1	2
120	ее в	3	2
121	но в	6	2
122	смысле слова	2	1
123	и это	2	1
124	одинаково как	1	1
125	и самое	1	1
126	отношения к	2	1
127	можно и	1	1
128	не делает	1	1
129	чтобы не	2	1
130	и действительно	2	1
131	и через	1	1
132	в виду	3	1
133	сам по	1	1
134	людей в	1	1
135	л толстого	1	1
136	на самом	14	1
137	это подтверждается	1	1
138	тем же	7	1
139	между двумя	1	1
140	к другому	2	1
141	не те	1	1
142	и до	1	1
143	и противоречия	1	1
144	уже указывали	1	1
145	не имеют	1	1
146	должна быть	3	1
147	видеть в	1	1
148	можно было	1	1
149	не с	1	1
150	есть не	1	1
151	нельзя найти	1	1
152	мы не	4	1
153	том как	2	1
154	ту же	2	1
155	бы признать	1	1
156	в первый	1	1
