N	2gram	Vinokur_St_3	VerxiiNi
1	и в	25	26
2	таким образом	10	22
3	с тем	4	18
4	в этом	24	15
5	вместе с	2	15
6	точки зрения	7	13
7	как бы	6	12
8	в том	20	11
9	из этих	6	10
10	не только	12	10
11	и с	4	10
12	может быть	19	10
13	связи с	3	9
14	в области	6	9
15	так как	3	9
16	но и	9	9
17	что в	19	9
18	но не	2	8
19	в общем	4	8
20	и у	2	8
21	с другой	5	8
22	и не	10	8
23	как на	6	8
24	но в	5	7
25	связанные с	1	7
26	но все	2	7
27	из них	1	7
28	том что	15	7
29	потому что	5	7
30	в эпоху	1	7
31	к нему	4	7
32	с одной	2	7
33	то что	12	7
34	а с	2	7
35	одной стороны	3	7
36	того же	2	6
37	все же	4	6
38	все эти	3	6
39	всяком случае	4	6
40	с точки	4	6
41	в отношении	2	6
42	к тому	2	6
43	так и	5	6
44	и т.д	1	6
45	о том	8	6
46	в конце	6	6
47	что и	1	6
48	несмотря на	3	6
49	все это	8	6
50	во всяком	4	6
51	отношение к	4	5
52	сих пор	2	5
53	и к	4	5
54	лишь в	4	5
55	или менее	1	5
56	по крайней	4	5
57	не имеет	2	5
58	того чтобы	1	5
59	никогда не	2	5
60	для того	2	5
61	образом в	1	5
62	в его	12	5
63	крайней мере	4	5
64	до сих	2	5
65	а не	5	5
66	к жизни	1	5
67	и для	4	5
68	так же	1	5
69	одной из	2	5
70	более или	1	5
71	в котором	5	4
72	то же	5	4
73	в течение	4	4
74	целый ряд	1	4
75	в самом	2	4
76	в этой	14	4
77	и по	2	4
78	что все	3	4
79	то есть	2	4
80	должен был	2	4
81	он не	5	4
82	попадает в	3	4
83	бога и	1	4
84	и тогда	2	4
85	в которых	2	4
86	в то	7	4
87	в нем	1	4
88	а в	6	4
89	и что	3	4
90	и только	2	4
91	только в	6	4
92	не может	7	4
93	из которых	4	4
94	в смысле	4	4
95	в этих	11	4
96	во время	3	4
97	что он	19	4
98	в виде	3	4
99	на западе	1	3
