N	2gram	Potebnia_M_4	VelikijI
1	и не	18	20
2	и в	23	16
3	свободы и	1	12
4	так как	14	9
5	то что	29	9
6	еще не	3	8
7	в истории	4	8
8	а не	12	7
9	и потому	10	7
10	человека и	3	6
11	не есть	9	6
12	но и	11	5
13	того что	14	5
14	хотя и	5	5
15	в мире	2	5
16	бога и	1	5
17	все это	5	5
18	что есть	3	5
19	как бы	5	5
20	и есть	3	4
21	в образе	2	4
22	говорить о	5	4
23	во мне	1	4
24	в его	5	4
25	и я	2	4
26	мы хотим	2	4
27	в этом	23	4
28	что он	4	4
29	потому что	33	4
30	в нем	7	4
31	так и	6	4
32	что все	4	4
33	что не	6	4
34	как и	14	4
35	что мы	10	4
36	в котором	4	4
37	в ней	2	4
38	и все	4	4
39	все что	2	4
40	и что	7	3
41	должна быть	1	3
42	хотя бы	4	3
43	то это	8	3
44	как не	1	3
45	лишь в	3	3
46	в чем	1	3
47	во всех	1	3
48	мы же	1	3
49	что и	7	3
50	в том	23	3
51	тот же	2	3
52	но в	8	3
53	в вопросе	1	3
54	бы и	5	3
55	по этому	1	3
56	все эти	3	3
57	и они	2	3
58	за ним	2	3
59	они в	1	3
60	их в	3	3
61	тех которые	2	3
62	в своей	1	3
63	и мы	5	3
64	в них	3	3
65	не было	12	3
66	должно быть	5	3
67	если не	1	3
68	в этих	3	3
69	нет ничего	3	3
70	в первый	2	3
71	что я	11	3
72	и против	1	3
73	не в	11	3
74	из первого	1	3
75	тому что	2	3
76	но это	3	3
77	человечества и	1	3
78	не имеет	5	3
79	никогда не	3	3
80	первый раз	1	3
81	превращается в	2	3
82	и для	2	3
83	к тому	3	3
84	жизни и	1	3
85	что в	17	3
86	оно не	2	3
87	а между	4	2
88	и это	2	2
89	того чтобы	4	2
90	и то	5	2
91	людей что	1	2
92	но мы	2	2
93	по которым	1	2
94	и сам	1	2
95	и т	7	2
96	можно было	2	2
97	и за	1	2
98	его не	1	2
99	мы не	8	2
100	что от	2	2
101	и новые	1	2
102	в последнем	1	2
103	с ним	5	2
104	и над	1	2
105	под этим	1	2
106	мы это	1	2
107	ее и	1	2
108	и во	1	2
109	и будут	1	2
110	к нам	1	2
111	между тем	9	2
112	нет и	1	2
113	вслед за	1	2
114	которые не	2	2
115	не с	2	2
116	его к	2	2
117	духа и	2	2
118	только в	15	2
119	в человека	1	2
120	в себя	1	2
121	ничего и	1	2
122	конечно не	2	2
123	уже не	3	2
124	не только	10	2
125	твое и	1	2
126	вера в	1	2
127	превращаются в	1	2
128	не так	2	2
129	для него	5	2
130	и никогда	1	2
131	тем что	10	2
132	на том	2	2
133	не будет	3	2
134	это не	7	2
135	т д	3	2
136	истории и	1	2
137	а с	1	2
138	прежде всего	1	2
139	люди не	1	2
140	все равно	3	2
141	с тем	7	2
142	мы и	2	2
143	с пути	1	2
144	один из	2	2
145	для человека	4	2
146	и тогда	1	2
147	когда я	7	2
148	более чем	3	2
149	я говорю	3	2
150	что истина	1	2
151	не могут	2	2
152	является в	1	2
153	значения и	1	2
154	а есть	1	2
155	да и	4	2
156	никогда еще	2	2
157	что их	1	2
158	почему в	1	2
159	том что	12	2
160	для нас	14	2
161	от него	2	2
162	в форме	1	2
163	они и	1	2
164	ее в	1	2
165	есть уже	4	2
166	до того	3	2
167	давно уже	3	2
168	а в	5	2
169	но не	1	2
170	есть потеря	1	2
171	могут быть	7	2
172	во всяком	5	2
173	всегда в	1	1
174	прибавить к	1	1
175	если б	4	1
176	речь идет	1	1
177	как мы	2	1
178	быть может	4	1
179	в виду	3	1
180	ним или	1	1
181	состояние человеческого	1	1
182	в ее	2	1
183	не успели	1	1
184	в словах	1	1
185	и до	3	1
186	роль в	1	1
187	и самое	1	1
188	значение в	1	1
189	то же	14	1
190	а существует	1	1
191	говорим мы	1	1
192	б и	1	1
193	человеческой природы	2	1
194	уже плохо	1	1
195	это только	1	1
196	вопрос о	2	1
197	основана на	1	1
198	и вообще	2	1
199	не была	1	1
200	животное и	1	1
201	нас это	1	1
202	находится в	5	1
203	я не	2	1
204	не был	1	1
205	же что	2	1
206	зависимости от	1	1
207	меня в	1	1
208	в их	1	1
209	и на	3	1
210	после того	2	1
211	теперь и	1	1
212	в последних	1	1
213	и критическое	1	1
214	вся дальнейшая	1	1
215	любви к	1	1
216	природы и	2	1
217	все в	2	1
218	к нему	5	1
219	но как	1	1
220	ее от	1	1
221	от них	1	1
222	сознания не	1	1
223	всем людям	1	1
224	в новом	1	1
225	а потому	1	1
226	но нет	2	1
227	тогда как	4	1
228	что человек	3	1
229	так говорят	1	1
230	бы в	2	1
231	ибо никогда	1	1
232	крайней мере	5	1
233	другое и	1	1
234	и можно	1	1
235	и чем	2	1
