N	3gram	Voloshinov_1	FransuaR
1	о том что	2	5
2	в самом деле	2	4
3	с одной стороны	1	4
4	все то что	2	4
5	в большинстве случаев	3	4
6	сих пор еще	1	3
7	на первый план	1	3
8	в этом отношении	1	3
9	до сих пор	3	3
10	во всех его	2	3
11	с точки зрения	6	2
12	со всеми его	1	2
13	в данном случае	1	2
14	как один из	1	2
15	и т.п и	1	2
16	в том что	1	2
17	и прежде всего	1	2
18	и с его	2	2
19	и того же	1	1
20	несколько слов о	1	1
21	и говорить о	1	1
22	тела и с	1	1
23	не дает нам	1	1
24	дело в том	1	1
25	из этих трех	1	1
26	и связанных с	1	1
27	что если б	1	1
28	в нем и	1	1
29	как это было	1	1
30	как мы сказали	1	1
31	именно то что	1	1
32	нужно отметить что	1	1
33	рано или поздно	1	1
34	со всех сторон	1	1
35	вместе с тем	1	1
36	только для того	1	1
37	именно здесь в	1	1
38	связанных с ними	2	1
39	мы полагаем что	3	1
40	никакому сомнению что	1	1
41	и об его	1	1
42	в связи с	1	1
43	в этом легко	1	1
44	для того чтобы	1	1
45	не может быть	3	1
46	самом деле в	1	1
47	в основном у	1	1
48	так как его	1	1
49	во внешнем мире	1	1
50	той или иной	1	1
51	можно сказать что	3	1
52	в этом своем	1	1
53	к себе все	1	1
54	одного и того	1	1
55	а с другой	1	1
56	мы можем коснуться	1	1
57	если б я	1	1
58	и борьба с	1	1
59	и что он	1	1
60	вводит нас в	1	1
61	нечего и говорить	2	1
62	чрезвычайно характерно для	1	1
