N	3gram	Potebnia_M_1	Literetu
1	то же время	3	9
2	в то же	3	9
3	не может быть	9	7
4	с одной стороны	3	6
5	в том что	13	5
6	с другой стороны	5	4
7	с точки зрения	3	3
8	в этом отношении	1	3
9	по отношению к	13	3
10	но с другой	2	3
11	о том что	1	2
12	не говоря уже	1	2
13	подобно тому как	3	2
14	говоря уже о	1	2
15	и т п	2	2
16	по крайней мере	2	2
17	тем не менее	6	2
18	в сравнении с	2	2
19	не так как	1	2
20	это могло бы	1	1
21	то с другой	1	1
22	нам остается только	1	1
23	но то что	1	1
24	раньше и не	1	1
25	что не может	3	1
26	одной стороны и	1	1
27	тем что в	1	1
28	вообще может быть	1	1
29	если б мы	1	1
30	бы то ни	2	1
31	же время не	1	1
32	а так как	3	1
33	только то что	1	1
34	не могут быть	2	1
35	предшествующим и последующим	1	1
36	из того что	1	1
37	ни было но	1	1
38	можно было бы	1	1
39	от слова и	1	1
40	с этой точки	1	1
41	свое собственное слово	1	1
42	себя и других	1	1
43	что ни есть	1	1
44	не в том	4	1
45	все то что	2	1
46	не мог бы	1	1
47	этой точки зрения	1	1
48	а в том	3	1
49	мы не можем	1	1
50	в этом с	1	1
51	имея в виду	1	1
52	в свою очередь	4	1
53	на самом деле	1	1
54	в одном из	1	1
55	не только не	2	1
56	то ни было	1	1
57	после того как	1	1
58	к тому что	2	1
59	слова так и	1	1
60	быть не может	2	1
61	для того чтобы	2	1
62	как мы видели	1	1
