N	3gram	Berdyaev_N_1	Myslijsy
1	в том что	1	13
2	не может быть	4	9
3	с другой стороны	2	5
4	потому что не	1	4
5	смысле в каком	1	4
6	но и в	1	4
7	не в том	1	4
8	в этом смысле	2	4
9	в том смысле	1	4
10	подобно тому как	3	3
11	том смысле в	1	3
12	с одной стороны	2	3
13	не только в	1	3
14	только потому что	1	2
15	в том и	2	2
16	заключает в себе	1	2
17	и потому что	1	2
18	не могут быть	1	2
19	и того же	1	2
20	одного и того	1	2
21	быть не может	1	2
22	как и в	1	2
23	и в жизни	1	1
24	а не в	1	1
25	но и потому	1	1
26	в жизни народа	1	1
27	сами по себе	1	1
28	то что в	1	1
29	до сих пор	1	1
30	что в нем	2	1
31	можно было бы	1	1
32	и в истории	1	1
33	может быть только	1	1
34	было бы сказать	1	1
35	к духу и	1	1
36	так же как	2	1
37	а не для	1	1
38	и не могут	1	1
39	во всяком случае	1	1
40	истории но и	1	1
41	не только потому	1	1
42	в то время	1	1
43	хотим сказать что	1	1
44	имея в виду	1	1
45	это значит что	1	1
46	лишь в том	1	1
47	о том что	1	1
48	вопрос о том	2	1
49	которые могут быть	1	1
50	помнить что в	1	1
51	лицом к лицу	3	1
52	она не может	2	1
