N	2gram	Tiupa_Teor_1	Sotsiolo
1	истории литературы	1	10
2	все это	2	7
3	в этом	8	5
4	в том	16	5
5	о литературе	2	3
6	более чем	1	3
7	не только	16	3
8	в его	6	3
9	и в	18	3
10	не в	7	3
11	и только	1	3
12	только в	6	2
13	может быть	17	2
14	и что	3	2
15	в результате	1	2
16	то же	7	2
17	было бы	1	2
18	далеко не	2	2
19	и заключается	1	2
20	ведь это	1	2
21	таким образом	3	2
22	но и	9	2
23	как будто	2	2
24	тем более	1	2
25	еще не	4	2
26	то что	3	2
27	или даже	4	2
28	за пределы	2	2
29	по отношению	4	2
30	в частности	16	2
31	к которому	3	2
32	отношению к	4	2
33	по существу	1	2
34	в конце	2	2
35	что в	9	2
36	как бы	5	2
37	том что	9	2
38	дело не	2	2
39	в систему	1	1
40	ни одно	1	1
41	и не	13	1
42	в мире	19	1
43	в область	1	1
44	в этой	3	1
45	литературы как	1	1
46	столь же	2	1
47	в своей	6	1
48	бы в	1	1
49	еще и	1	1
50	по себе	1	1
51	все эти	2	1
52	только то	1	1
53	объекта и	1	1
54	представить себе	1	1
55	и его	8	1
56	а между	1	1
57	право на	1	1
58	в целом	3	1
59	с другой	7	1
60	в сущности	1	1
61	от окружающих	1	1
62	бы они	1	1
63	связи с	1	1
64	от друга	1	1
65	крайней мере	1	1
66	что она	2	1
67	в них	2	1
68	в связи	1	1
69	что он	1	1
70	тем же	1	1
71	это происходит	1	1
72	что все	1	1
73	он ни	1	1
74	не было	1	1
75	в каждом	1	1
76	на отдельные	1	1
77	говоря иначе	1	1
78	исторической поэтики	1	1
79	а с	3	1
80	конечном счете	6	1
81	но не	9	1
82	это по	1	1
83	никак не	1	1
84	мы понимаем	1	1
85	из тех	2	1
86	и более	1	1
87	они ни	1	1
88	но она	2	1
89	вовсе не	3	1
90	жизни он	1	1
91	между тем	5	1
92	но как	1	1
93	а в	13	1
94	в конечном	6	1
95	это не	2	1
96	в то	6	1
97	те же	1	1
98	между ними	4	1
99	для этого	1	1
100	в чем	1	1
101	на первый	1	1
102	никогда не	4	1
103	в силу	1	1
104	в противном	1	1
105	тому что	2	1
106	отнюдь не	3	1
107	по крайней	1	1
108	иначе говоря	4	1
109	и о	4	1
110	который говоря	1	1
111	в этих	3	1
112	без этого	1	1
113	наконец в	1	1
114	именно такого	1	1
115	у него	1	1
116	как и	4	1
117	с помощью	1	1
118	но именно	1	1
119	место в	5	1
120	как совокупность	1	1
121	один из	2	1
122	и как	2	1
123	сама по	1	1
124	литература как	1	1
125	его в	2	1
126	с одной	2	1
127	о том	1	1
128	даже в	3	1
129	одной стороны	2	1
130	же самое	1	1
131	к субъекту	1	1
132	границы и	1	1
133	пришлось бы	1	1
134	и потому	2	1
135	что автор	1	1
136	в таких	1	1
137	могут оказаться	2	1
138	и по	2	1
139	все то	1	1
140	что это	1	1
141	между собой	3	1
142	я и	2	1
143	не может	4	1
144	тех кто	1	1
145	же время	5	1
146	а тем	1	1
147	прежде всего	2	1
148	остается в	1	1
149	они не	1	1
150	противном случае	1	1
151	себе чтобы	1	1
152	друг от	1	1
153	тем что	1	1
154	этом не	1	1
155	так и	10	1
156	искусство слова	2	1
157	в данном	8	1
158	именно в	3	1
159	перед нами	2	1
160	эти два	1	1
161	ни были	1	1
162	может служить	2	1
163	в области	4	1
