N	2gram	Berdyaev_M_1	VeschiIm
1	не есть	9	49
2	т е	2	42
3	не может	28	33
4	не только	29	31
5	может быть	30	29
6	это –	16	29
7	и не	11	28
8	и в	28	26
9	то что	5	24
10	и есть	14	23
11	значит что	4	22
12	это значит	3	22
13	и т	1	21
14	а не	25	20
15	есть только	2	17
16	что я	1	16
17	в смысле	1	15
18	что она	1	14
19	только в	6	14
20	и что	2	13
21	того что	7	13
22	и то	1	12
23	есть не	4	12
24	все же	2	12
25	было бы	10	12
26	и ее	1	12
27	но и	25	12
28	сказать что	2	12
29	с нею	1	11
30	что же	1	11
31	в ней	15	10
32	не значит	2	10
33	как бы	2	10
34	что такое	1	10
35	потому что	16	10
36	уже не	4	10
37	что мы	1	10
38	в самом	11	9
39	и с	3	9
40	в том	6	9
41	что не	1	9
42	прежде всего	10	9
43	есть явление	1	9
44	что иное	1	8
45	иное как	1	8
46	сущности и	1	8
47	в себе	7	8
48	смысл и	1	8
49	и это	12	8
50	ничего не	3	8
51	себя и	3	8
52	она есть	1	8
53	но это	1	8
54	не что	1	8
55	также и	2	7
56	в этом	20	7
57	его в	3	7
58	том что	3	7
59	в то	2	7
60	в свете	3	7
61	себя в	3	7
62	и их	3	7
63	так как	3	7
64	– не	5	7
65	есть и	3	7
66	что они	1	6
67	и как	2	6
68	но в	7	6
69	бы и	3	6
70	это есть	3	6
71	точки зрения	4	6
72	но если	3	6
73	с ним	2	6
74	ее не	1	6
75	она не	4	6
76	оно есть	1	6
77	отличается от	2	6
78	можно было	1	6
79	должно быть	3	6
80	и только	1	6
81	так что	1	6
82	ни с	4	6
83	для него	11	6
84	относится к	2	6
85	то не	1	6
86	когда мы	2	6
87	жизни и	2	6
88	что в	10	6
89	это и	4	5
90	и до	1	5
91	и тут	1	5
92	но не	8	5
93	как к	1	5
94	должна быть	6	5
95	вообще не	2	5
96	это не	5	5
97	с тем	9	5
98	не в	16	5
99	есть всегда	1	5
100	в отношении	1	5
101	не менее	1	5
102	только и	3	5
103	у нас	5	5
104	и явление	1	5
105	в ее	3	5
106	если бы	2	5
107	отлично от	1	5
108	еще не	1	5
109	с этой	4	5
110	и для	2	5
111	из себя	1	5
112	а в	4	5
113	в свою	2	5
114	– как	1	5
115	мы не	1	4
116	я не	1	4
117	то это	1	4
118	учение об	1	4
119	в их	4	4
120	во всех	1	4
121	нет и	5	4
122	его на	1	4
123	с этим	3	4
124	в своем	10	4
125	если есть	1	4
126	приведет к	1	4
127	с чем	1	4
128	ведь не	1	4
129	же не	1	4
130	и мы	2	4
131	как и	5	4
132	– только	1	4
133	и более	1	4
134	что есть	5	4
135	должен быть	2	4
136	и о	1	4
137	о том	2	4
138	что и	4	4
139	быть и	1	4
140	этот вопрос	1	4
141	то и	1	4
142	тем что	4	4
143	и даже	1	4
144	когда я	1	4
145	и потому	10	4
146	мы говорим	1	4
147	быть не	2	4
148	не существует	2	4
149	и все	10	4
150	от того	1	4
151	от ее	1	4
152	оно не	1	4
153	есть то	1	4
154	себя как	1	3
155	от самой	1	3
156	самом деле	1	3
157	к другому	1	3
158	отношения к	4	3
159	мы имеем	1	3
160	вопрос о	2	3
161	момент в	2	3
162	ее как	1	3
163	в нем	13	3
164	на этом	3	3
165	было в	1	3
166	в жизни	3	3
167	нисколько не	1	3
168	в своей	15	3
169	все это	6	3
170	в основе	2	3
171	того чтобы	2	3
172	к ней	4	3
173	в философии	1	3
174	к себе	1	3
175	к тому	3	3
176	на это	1	3
177	и самое	1	3
178	можно и	1	3
179	и сам	1	3
180	так и	1	3
181	нужно было	1	3
182	но когда	1	3
183	один из	4	3
184	мы видим	2	3
185	что он	10	3
186	в одном	1	3
187	отношение к	4	3
188	даже и	2	3
189	никогда не	14	3
190	вместе с	6	3
191	в той	2	3
192	да и	1	3
193	к пониманию	1	3
194	она может	2	3
195	она уже	1	3
196	бы в	2	3
197	тем более	1	3
198	хотя бы	3	3
199	я в	1	3
200	не быть	1	3
201	с самим	2	3
202	нем нет	1	2
203	от этого	2	2
204	переход от	1	2
205	ту же	1	2
206	мы уже	1	2
207	к чему	2	2
208	во внутреннем	1	2
209	человека и	14	2
210	но она	1	2
211	бы ни	1	2
212	и самой	1	2
213	себе что	1	2
214	мысли и	2	2
215	и мира	3	2
216	– это	1	2
217	и всякий	1	2
218	не все	2	2
219	себе и	2	2
220	истине и	1	2
221	наряду с	1	2
222	как в	2	2
223	и нет	2	2
224	когда он	3	2
225	в каком-то	1	2
226	она непостижима	1	2
227	приводит к	2	2
228	только один	2	2
229	но ведь	1	2
230	если он	5	2
231	стоит у	1	2
232	как совершенно	1	2
233	он не	24	2
234	для того	2	2
235	в силу	1	2
236	и вот	3	2
237	и этот	4	2
238	думал что	1	2
239	различие между	2	2
240	об этом	1	2
241	и чтобы	1	2
242	на все	1	2
243	то есть	3	2
244	от одного	1	2
245	только одно	3	2
246	не мог	3	2
247	же есть	1	2
248	знает и	1	2
249	жизнь и	1	2
250	и эти	1	2
251	говорим что	1	2
252	с которой	2	2
253	в разуме	1	2
254	что ему	1	2
255	и сама	2	2
256	чем не	1	2
257	казалось бы	1	2
258	в разных	1	2
259	в самой	7	2
260	и его	9	2
261	ничто не	1	2
262	не потому	1	2
263	у меня	1	2
264	существенно для	1	2
265	об отношении	1	2
266	и когда	2	2
267	с собой	3	2
268	мог бы	4	2
269	является в	1	2
270	находится в	1	2
271	в виду	2	2
272	именно потому	1	2
273	но к	1	2
274	и та	1	2
275	не стоит	1	2
276	может не	2	2
277	и во	2	2
278	это было	1	2
279	заключается в	1	2
280	говорить об	1	2
281	и можно	1	2
282	еще более	1	2
283	разум и	1	2
284	что только	1	2
285	его и	1	2
286	и недостаточно	1	2
287	может ли	1	2
288	о чем	2	2
289	ближе к	1	2
290	если не	1	2
291	но оно	1	2
292	в частности	1	2
293	самого себя	2	2
294	это выражение	1	2
295	в более	2	2
296	– с	1	2
297	ни к	1	2
298	которое есть	1	2
299	ли что	1	2
300	есть уже	4	2
301	отношении к	2	2
302	к ее	1	2
303	жизни в	2	2
304	нужно для	1	2
305	это все	1	2
306	от всех	1	2
307	в своих	1	2
308	так же	1	2
309	во всяком	1	2
310	смысле что	1	2
311	эта новая	1	1
312	с новыми	2	1
313	я и	1	1
314	если вы	1	1
315	также что	1	1
316	– самый	1	1
317	чтобы не	2	1
318	связана с	2	1
319	между двумя	1	1
320	из самых	8	1
321	не хочет	2	1
322	она все	1	1
323	к учению	2	1
324	с таким	1	1
325	в зависимости	1	1
326	– я	1	1
327	он ничего	1	1
328	ней нет	1	1
329	в наш	1	1
330	бы уже	1	1
331	и ничего	1	1
332	в которой	6	1
333	– одно	1	1
334	среды и	1	1
335	время как	2	1
336	жизни как	1	1
337	уже в	4	1
338	движении в	5	1
339	не иметь	2	1
340	и на	6	1
341	философии не	1	1
342	себя а	1	1
343	с его	3	1
344	то мы	1	1
345	том основании	2	1
346	если в	1	1
347	из явлений	1	1
348	ответ на	1	1
349	отличие от	1	1
350	и речи	1	1
351	которые не	1	1
352	в истории	2	1
353	и диалектики	1	1
354	и всякой	1	1
355	тут уже	1	1
356	что как	1	1
357	нельзя было	1	1
358	и к	2	1
359	слова он	1	1
360	и свою	1	1
361	чего же	2	1
362	в смысл	1	1
363	знанием и	1	1
364	есть для	1	1
365	все эти	2	1
366	учение о	3	1
367	в этой	6	1
368	зависимости от	1	1
369	движение и	1	1
370	и кто	1	1
371	как он	2	1
372	может уже	1	1
373	он ни	2	1
374	силой и	1	1
375	есть дело	1	1
376	и еще	3	1
377	самом последнем	2	1
378	в понимании	1	1
379	он должен	3	1
380	как ум	1	1
381	к одному	1	1
382	этого вопроса	1	1
383	не к	4	1
384	не как	4	1
385	во тьме	3	1
386	из него	1	1
387	его от	1	1
388	и по	4	1
389	подход к	1	1
390	подхожу к	1	1
391	они должны	1	1
392	человеку или	1	1
393	и духовное	1	1
394	же принципиально	1	1
395	них –	1	1
396	который и	2	1
397	не одна	1	1
398	по природе	1	1
399	должен был	4	1
400	он все	1	1
401	выходя из	1	1
402	в это	1	1
403	ней нужно	1	1
404	в них	4	1
405	период его	1	1
406	и вопреки	1	1
407	всегда и	1	1
408	он и	2	1
409	потому и	1	1
410	бога и	10	1
411	она была	1	1
412	увидим как	1	1
413	же я	1	1
414	от всякого	1	1
415	еще менее	1	1
416	и без	1	1
417	в котором	8	1
418	и действует	1	1
419	в отличие	1	1
420	от его	2	1
421	и уж	2	1
422	стало быть	1	1
423	и этой	1	1
424	поэтому в	1	1
425	есть его	1	1
426	него человек	2	1
427	как от	1	1
428	только одного	1	1
429	сам он	1	1
430	уже был	1	1
431	с необычайной	1	1
432	тут было	1	1
433	от нас	1	1
434	есть прежде	1	1
435	всего себя	1	1
436	бы сохранить	1	1
437	не имеет	3	1
438	достигает своего	1	1
439	это еще	1	1
440	находятся в	1	1
441	такова что	1	1
442	в наше	2	1
443	по своей	2	1
444	так называемый	2	1
445	хочет быть	1	1
446	только с	1	1
447	– если	1	1
448	только одна	1	1
449	в каком	2	1
450	личности в	2	1
451	и оно	1	1
452	свое собственное	1	1
453	только от	1	1
454	в диалектическом	1	1
455	нет ни	1	1
456	не могут	5	1
457	могут быть	2	1
458	пребывать в	1	1
459	– явление	1	1
460	тут все	2	1
461	дело –	1	1
462	но также	1	1
463	что красота	1	1
464	которая есть	3	1
465	значит понять	1	1
466	всегда в	1	1
467	существует только	1	1
468	смысл у	1	1
469	из всего	1	1
470	в конце	7	1
471	на нем	1	1
472	что составляет	1	1
473	указывать на	1	1
474	и от	2	1
475	какое угодно	1	1
476	уже с	1	1
477	ни под	1	1
478	то время	2	1
479	очень существенно	1	1
480	в пределах	1	1
481	стремиться к	1	1
482	на том	3	1
483	природе своей	1	1
484	к исследованию	1	1
485	есть также	2	1
486	подойти к	1	1
487	который я	1	1
488	вещей с	1	1
489	быть может	7	1
490	и нужно	2	1
491	о нем	2	1
492	не был	7	1
493	это я	1	1
494	или от	2	1
495	– одна	1	1
496	ли она	2	1
497	самому себе	2	1
498	нас в	1	1
499	связанной с	1	1
500	от них	1	1
501	и всякая	1	1
502	на одном	1	1
503	не обязан	1	1
504	а именно	1	1
505	в сферу	1	1
506	к которому	1	1
507	одного из	1	1
508	речи о	1	1
509	свет и	2	1
510	– сама	1	1
511	их жизни	1	1
512	и отождествление	1	1
513	не было	18	1
514	огромное различие	1	1
515	с какой	1	1
516	это ни	1	1
517	конечно не	3	1
518	и у	2	1
519	эти и	1	1
520	в начале	2	1
521	оно всегда	1	1
522	бытия но	2	1
523	потому в	1	1
524	чего бы	1	1
525	себе в	1	1
526	всяком случае	1	1
527	вовсе не	1	1
528	себя от	1	1
529	и утверждение	1	1
530	как его	1	1
531	у него	17	1
532	него это	1	1
533	явлений в	1	1
534	и вместе	4	1
535	нужно сказать	1	1
536	но из	1	1
537	бы это	1	1
538	уходящие в	1	1
539	до сих	2	1
540	не внешний	1	1
541	не знали	1	1
542	мы еще	2	1
543	души и	1	1
544	или о	1	1
545	говорит о	1	1
546	я подхожу	1	1
547	но все-таки	1	1
548	к человеку	9	1
549	стоит именно	1	1
550	и образом	1	1
551	окружающего мира	1	1
552	в движении	3	1
553	стать на	1	1
554	с большей	1	1
555	и самый	2	1
556	есть лишь	9	1
557	жизнь в	1	1
558	его как	2	1
559	как ни	1	1
560	выше всякого	1	1
561	когда она	1	1
562	этом основании	1	1
563	с предметом	1	1
564	смысл этот	1	1
565	было сказано	1	1
566	я хочу	3	1
567	нет ничего	7	1
568	очень важное	1	1
569	и она	2	1
570	не иное	1	1
571	мы опять	1	1
572	в столь	1	1
573	знать что	1	1
574	существует не	2	1
575	не видят	1	1
576	и смысла	1	1
577	вокруг себя	1	1
578	в состоянии	1	1
579	лежит в	1	1
580	и жизнь	2	1
581	том смысле	2	1
582	под собой	1	1
583	сих пор	2	1
584	– разные	1	1
585	природу и	2	1
586	ничего кроме	1	1
587	не больше	1	1
588	на одной	1	1
589	человек сам	1	1
590	решить вопрос	2	1
591	и человек	2	1
592	его нет	1	1
593	сознания и	1	1
594	его с	2	1
595	или нет	1	1
596	как явление	1	1
597	конце концов	2	1
598	ведь как	1	1
599	этом они	1	1
600	хотя в	1	1
601	уже нет	2	1
602	если все	1	1
603	одной из	1	1
604	к какому	1	1
605	существование и	1	1
606	с ней	2	1
607	к его	1	1
608	жизни а	1	1
609	мы увидим	3	1
610	от природы	3	1
611	ли он	1	1
612	не терпит	2	1
613	к этой	2	1
614	и эта	1	1
615	требует не	1	1
616	в противоположность	1	1
617	себе без	1	1
618	к этому	2	1
619	доступ к	3	1
620	можно назвать	1	1
621	они не	1	1
622	которая не	1	1
