N	2gram	Berdyaev_M_1	EvropaiE
1	и в	28	37
2	в отношении	1	32
3	в пределах	1	25
4	точки зрения	4	23
5	что в	10	21
6	не только	29	18
7	в то	2	16
8	хотя бы	3	15
9	отношении к	2	15
10	в своем	10	14
11	но в	7	14
12	но и	25	14
13	и не	11	14
14	в этом	20	12
15	в их	4	11
16	в области	1	11
17	в том	6	11
18	так и	1	10
19	в себе	7	9
20	только в	6	9
21	прежде всего	10	9
22	все более	1	9
23	не может	28	9
24	так же	1	9
25	т е	2	9
26	в смысле	1	9
27	в ее	3	8
28	было бы	10	8
29	в своей	15	8
30	к тому	3	8
31	между тем	1	8
32	также и	2	7
33	того что	7	7
34	так как	3	7
35	как и	5	7
36	по своему	2	7
37	может быть	30	6
38	и на	6	6
39	во всех	1	6
40	то есть	3	6
41	культурных ценностей	1	6
42	том что	3	6
43	россии но	1	6
44	того чтобы	2	6
45	вовсе не	1	6
46	для того	2	6
47	и даже	1	6
48	как бы	2	6
49	с этой	4	6
50	то что	5	6
51	но не	8	5
52	не в	16	5
53	в россии	2	5
54	и по	4	5
55	к мировому	1	5
56	но если	3	5
57	одной из	1	5
58	древнего востока	1	5
59	от этого	2	5
60	в частности	1	5
61	и потому	10	5
62	в течение	1	5
63	в той	2	5
64	мы не	1	4
65	вопрос о	2	4
66	в ней	15	4
67	на путях	3	4
68	в самом	11	4
69	во многих	1	4
70	культурной жизни	1	4
71	чем в	2	4
72	не имеет	3	4
73	к ней	4	4
74	тем более	1	4
75	не на	1	4
76	мира в	1	4
77	западной европе	1	4
78	для нас	3	4
79	сказать что	2	4
80	культуры в	1	4
81	в каком	2	4
82	из всех	1	3
83	бы и	3	3
84	о россии	2	3
85	в деле	1	3
86	россии и	1	3
87	как в	2	3
88	когда он	3	3
89	и к	2	3
90	вообще не	2	3
91	и мы	2	3
92	в них	4	3
93	с тем	9	3
94	она в	1	3
95	в которых	4	3
96	европейской культуры	1	3
97	никогда не	14	3
98	потому что	16	3
99	заключает в	3	3
100	бы ни	1	3
101	можно было	1	3
102	о том	2	3
103	от них	1	3
104	место в	2	3
105	что и	4	3
106	и только	1	3
107	всяком случае	1	3
108	потребность в	1	3
109	себе в	1	3
110	к ним	1	3
111	тем что	4	3
112	по своим	1	3
113	в свою	2	3
114	говорит о	1	3
115	связано с	2	3
116	и для	2	3
117	новое слово	1	3
118	и от	2	3
119	мира и	5	3
120	жизни в	2	3
121	на своем	3	3
122	во всяком	1	3
123	сплошь и	1	2
124	и то	1	2
125	мира не	3	2
126	должна быть	6	2
127	и этот	4	2
128	есть не	4	2
129	культурной традиции	1	2
130	он сам	6	2
131	в сторону	1	2
132	в свои	1	2
133	россия есть	1	2
134	эмпирической действительности	1	2
135	же мало	1	2
136	в истории	2	2
137	более чем	1	2
138	его на	1	2
139	с этим	3	2
140	целый ряд	1	2
141	и как	2	2
142	россии не	1	2
143	в этой	6	2
144	этот процесс	3	2
145	он не	24	2
146	что россия	1	2
147	и еще	3	2
148	отношений между	1	2
149	в силу	1	2
150	проблемы и	2	2
151	это значит	3	2
152	в мире	10	2
153	и с	3	2
154	заключается в	1	2
155	и рядом	1	2
156	для них	3	2
157	новый мир	1	2
158	в своих	1	2
159	одна и	1	2
160	духовной жизни	3	2
161	в этих	4	2
162	в котором	8	2
163	не к	4	2
164	и более	1	2
165	только те	1	2
166	тому чтобы	2	2
167	россии так	1	2
168	она не	4	2
169	по своей	2	2
170	как будто	2	2
171	именно потому	1	2
172	не могут	5	2
173	могут быть	2	2
174	всего в	2	2
175	одну и	1	2
176	но также	1	2
177	только одно	3	2
178	культуры и	1	2
179	и ту	1	2
180	мог бы	4	2
