N	3gram	Propp_Morf_1	Formalny
1	не может быть	9	10
2	в связи с	8	10
3	с точки зрения	2	7
4	в этом отношении	1	7
5	во всяком случае	2	5
6	и т д	39	5
7	и пр и	2	4
8	не могут быть	2	4
9	в высшей степени	1	4
10	на самом деле	4	3
11	может быть и	2	3
12	в большинстве случаев	3	3
13	с другой стороны	4	3
14	до известной степени	1	3
15	связи с этим	4	3
16	для того чтобы	2	3
17	то ни стало	1	2
18	и в какой	1	2
19	в том случае	1	2
20	лишь постольку поскольку	1	2
21	не входит в	1	2
22	и в этой	1	2
23	с самого начала	1	2
24	но все же	3	2
25	мы приходим к	2	2
26	к тому что	3	2
27	в том что	3	2
28	совсем не так	1	1
29	дело обстоит не	1	1
30	и пр то	1	1
31	там где оно	2	1
32	что же касается	1	1
33	быть поняты без	1	1
34	по существу и	1	1
35	сам он не	1	1
36	элемент может быть	1	1
37	иметь в виду	1	1
38	а вовсе не	1	1
39	более или менее	2	1
40	в настоящее время	3	1
41	каким образом они	1	1
42	можно говорить лишь	1	1
43	и в некоторых	1	1
44	в этом случае	8	1
45	и там где	1	1
46	во что бы	1	1
47	с одной стороны	1	1
48	точки зрения его	1	1
49	следует сказать что	1	1
50	до сих пор	1	1
51	каковы будут эти	1	1
52	в таком случае	1	1
53	и в других	1	1
54	является одним из	1	1
55	как мы увидим	4	1
56	они вступают в	1	1
57	посадить героя в	1	1
58	но они не	1	1
59	в собственном смысле	3	1
60	на каком материале	1	1
61	в противном случае	1	1
62	имеют отношение к	1	1
63	том случае если	1	1
64	существу вовсе не	1	1
65	и до известной	1	1
66	что бы то	1	1
67	мы не можем	1	1
68	в том или	1	1
69	и многие другие	1	1
70	в данном случае	1	1
71	могут быть названы	1	1
72	при помощи которой	2	1
73	в сущности вовсе	1	1
74	между тем в	1	1
75	то что он	1	1
76	все более и	1	1
77	бы то ни	3	1
78	будет зависеть от	1	1
79	могут быть поняты	1	1
80	образом мы приходим	2	1
81	то во всяком	1	1
82	она могла бы	1	1
83	т е все	1	1
84	как таковой он	1	1
85	таким образом мы	5	1
86	может быть заменено	1	1
87	здесь не может	1	1
88	более и более	1	1
89	или во всяком	1	1
90	мы имеем в	1	1
91	что и другие	1	1
92	так если в	1	1
93	тем не менее	4	1
94	как и в	2	1
95	что и в	1	1
