N	3gram	Potebnia_M_2	Morfolog
1	и т д	3	47
2	в этом случае	1	9
3	в связи с	1	8
4	не может быть	2	8
5	подобно тому как	4	5
6	с другой стороны	2	4
7	тем не менее	5	4
8	далеко не все	1	3
9	не могут быть	3	3
10	может быть названо	2	3
11	на самом деле	2	3
12	но все же	1	3
13	как и в	1	3
14	потому что его	2	2
15	там где оно	2	2
16	прежде всего следует	1	2
17	состоит в том	1	2
18	более или менее	8	2
19	в таких случаях	1	2
20	в собственном смысле	1	2
21	и в других	1	2
22	можно заметить что	1	2
23	то время как	3	2
24	с одной стороны	3	2
25	друг на друга	1	2
26	которое может быть	1	2
27	в то время	4	2
28	в большинстве случаев	1	2
29	для того чтобы	2	2
30	в том что	7	2
31	вне связи с	1	2
32	дает нам возможность	1	1
33	и может быть	2	1
34	в подобных случаях	1	1
35	которые не могут	2	1
36	это было бы	1	1
37	т д можно	1	1
38	том что он	1	1
39	о том как	1	1
40	что же касается	1	1
41	то прежде всего	1	1
42	до сих пор	4	1
43	в таком случае	2	1
44	том случае если	1	1
45	бы то ни	1	1
46	прежде чем перейти	1	1
47	не должно считаться	1	1
48	но это не	1	1
49	приходим к заключению	1	1
50	не то что	1	1
51	в том случае	1	1
52	можем заметить что	1	1
53	одно и то	2	1
54	чем перейти к	1	1
55	в применении к	1	1
56	один из них	1	1
57	могут быть названы	1	1
58	на этом основании	1	1
59	и то же	2	1
60	имеет ничего общего	1	1
61	очень вероятно что	1	1
62	в некоторых случаях	2	1
63	во втором случае	1	1
64	еще заметить что	1	1
65	то что он	1	1
66	во всяком случае	7	1
67	из них не	1	1
68	но так как	1	1
69	следует еще заметить	1	1
70	не имеет ничего	1	1
71	она могла бы	1	1
72	во всех этих	1	1
73	друг к другу	1	1
74	то же время	2	1
75	в одном случае	1	1
76	о том что	1	1
77	мы прежде всего	1	1
78	может быть достигнуто	1	1
79	с самого начала	2	1
80	мы можем заметить	1	1
81	вслед за этим	1	1
82	на то что	3	1
83	может быть продолжен	1	1
84	и независимо от	1	1
85	которые могут быть	1	1
86	то же в	2	1
87	в то же	2	1
88	может быть названа	1	1
89	во всех случаях	1	1
90	то что они	1	1
91	здесь как и	1	1
92	вопрос на каком	1	1
93	что и в	1	1
