N	4gram	Bakhtin_fo_1	DiskursI
1	в то же время	6	3
2	с одной стороны и	2	2
3	в том числе и	2	2
4	одного и того же	5	2
5	в том что в	1	2
6	всегда строится на мотивах	1	1
7	мотивах превращения и тождества	1	1
8	строится на мотивах превращения	1	1
9	одно и то же	3	1
10	не было и не	1	1
11	от отца к сыну	1	1
12	в истории этого жанра	1	1
13	в одно и то	3	1
14	было и не могло	1	1
15	в тех случаях когда	1	1
16	весьма существенную роль в	1	1
17	на мотивах превращения и	1	1
18	дошли до нас в	1	1
19	сами по себе они	1	1
20	и в то же	4	1
21	говорит о том что	1	1
22	не только в организации	1	1
23	или во всяком случае	1	1
24	дело в том что	2	1
25	и не могло быть	1	1
26	и то же время	3	1
