N	2gram	Kanaev_Sov_1	Komedia
1	и в	7	26
2	и не	6	14
3	и его	1	12
4	может быть	12	11
5	в том	4	11
6	в этом	7	10
7	том что	1	9
8	если бы	1	9
9	вместе с	4	9
10	что в	2	9
11	ясно что	3	8
12	было бы	3	8
13	не только	4	7
14	из них	4	7
15	еще не	3	6
16	в своем	1	6
17	о том	1	6
18	в нем	3	6
19	таким образом	11	6
20	в то	1	6
21	в которой	2	5
22	с его	1	5
23	независимо от	1	5
24	с этим	2	5
25	а затем	1	5
26	ни в	1	5
27	один из	1	5
28	к этому	1	5
29	уже в	3	4
30	хотя и	1	4
31	в самом	2	4
32	что это	2	4
33	в целом	4	4
34	из этих	2	4
35	как и	6	4
36	в древней	1	4
37	не менее	2	4
38	с и	1	4
39	как мы	2	4
40	можно было	1	4
41	еще в	1	4
42	его в	1	4
43	в его	2	4
44	только в	1	4
45	же в	1	4
46	в начале	1	4
47	этот раз	1	4
48	так как	4	4
49	у него	2	4
50	на этот	2	4
51	прежде всего	5	4
52	все же	3	4
53	и для	1	4
54	и от	1	4
55	одной из	1	4
56	точки зрения	12	4
57	то же	3	3
58	той же	2	3
59	вопрос о	4	3
60	того же	1	3
61	в ней	1	3
62	что его	1	3
63	во всех	1	3
64	но не	1	3
65	по отношению	1	3
66	но в	3	3
67	в этой	3	3
68	как он	3	3
69	но все	2	3
70	человека в	1	3
71	в каждом	8	3
72	но если	1	3
73	в обоих	1	3
74	не имеет	1	3
75	же время	1	3
76	к концу	1	3
77	связи с	1	3
78	к нему	1	3
79	мы знаем	2	3
80	искать в	1	3
81	и их	1	3
82	мы можем	6	3
83	здесь в	1	3
84	не было	1	3
85	в связи	1	3
86	и особенно	1	3
87	из которых	2	3
88	отношению к	1	3
89	все это	3	3
90	или в	1	3
91	для нас	3	3
92	а в	4	3
93	жизни и	4	3
94	не может	17	3
95	как известно	2	2
96	а из	1	2
97	и есть	2	2
98	в первом	3	2
99	мы имеем	1	2
100	мы не	9	2
101	говорить о	2	2
102	бы то	1	2
103	если в	1	2
104	отличие от	2	2
105	отнюдь не	3	2
106	идет о	1	2
107	в действительности	1	2
108	за собой	1	2
109	да еще	1	2
110	в нашем	2	2
111	ни одна	2	2
112	роль в	2	2
113	и если	1	2
114	что она	3	2
115	он не	1	2
116	и еще	1	2
117	на этом	2	2
118	то ни	2	2
119	это не	4	2
120	этом смысле	1	2
121	чем в	1	2
122	в развитии	4	2
123	в один	2	2
124	когда в	1	2
125	не более	1	2
126	всяком случае	2	2
127	бы к	1	2
128	представление о	1	2
129	в отличие	2	2
130	которые в	1	2
131	не в	3	2
132	в конце	3	2
133	вовсе не	1	2
134	одна из	3	2
135	в одном	3	2
136	не является	1	2
137	с другом	2	2
138	если у	1	2
139	в духе	1	2
140	на это	1	2
141	и это	1	2
142	с самого	3	2
143	так в	1	2
144	и что	2	2
145	в мире	1	2
146	и во	2	2
147	и все	3	2
148	обоих случаях	1	2
149	все время	1	2
150	тот же	2	2
151	в какой	1	2
152	с одной	2	2
153	и у	1	2
154	рядом с	1	2
155	нет и	4	2
156	и к	3	2
157	до сих	1	2
158	с другой	1	2
159	одной стороны	1	2
160	а на	2	2
161	для их	1	2
162	так называемых	3	2
163	в течение	1	2
164	как бы	4	2
165	друг с	2	2
166	сих пор	1	2
167	еще более	2	2
168	ни было	1	2
169	из четырех	2	2
170	во всяком	2	2
171	самом деле	2	1
172	мере в	1	1
173	мы имели	1	1
174	по его	1	1
175	в и	2	1
176	для своего	1	1
177	путь для	1	1
178	это что	1	1
179	та же	1	1
180	чем отличается	1	1
181	же мере	1	1
182	между собой	3	1
183	все эти	5	1
184	его предшественниками	1	1
185	тридцати двух	1	1
186	в область	1	1
