N	2gram	Voloshinov_1	slovoVRo
1	и в	15	41
2	в нем	4	30
3	и т	1	28
4	то есть	1	26
5	могут быть	6	19
6	во всех	8	17
7	не только	5	16
8	и не	16	16
9	точки зрения	13	16
10	но и	4	16
11	а не	2	15
12	то же	7	14
13	и на	3	14
14	в то	6	14
15	и его	15	14
16	может быть	13	14
17	и др	8	14
18	не может	13	14
19	слова и	2	13
20	в его	9	13
21	общего языка	1	13
22	в этом	13	12
23	до конца	5	12
24	же время	5	12
25	как бы	11	12
26	так и	10	11
27	в узком	2	10
28	в большинстве	4	10
29	узком смысле	2	10
30	слово в	1	10
31	себя в	2	9
32	все эти	9	9
33	таким образом	21	9
34	или иной	1	9
35	точка зрения	1	8
36	как в	3	8
37	но в	9	8
38	с точки	10	8
39	как мы	10	8
40	в особенности	1	8
41	или в	1	8
42	слова в	1	8
43	прежде всего	11	8
44	отношение к	7	7
45	все же	5	7
46	в своей	9	7
47	не в	4	7
48	вовсе не	2	7
49	с ним	12	7
50	и следовательно	1	7
51	всех его	1	7
52	они могут	1	7
53	все они	2	7
54	во всяком	4	7
55	того же	1	6
56	при этом	7	6
57	это не	2	6
58	к своему	1	6
59	в отношении	2	6
60	оно не	2	6
61	только в	6	6
62	большинстве случаев	5	6
63	и даже	2	6
64	а в	6	6
65	и к	7	5
66	в самом	6	5
67	он в	1	5
68	так сказать	3	5
69	т д	1	5
70	с другими	5	5
71	далеко не	4	5
72	всяком случае	3	5
73	все это	5	5
74	в основе	3	5
75	со своим	1	5
76	не на	1	5
77	подхода к	2	5
78	к нему	7	5
79	как его	2	5
80	с другой	1	5
81	еще более	2	5
82	одним из	3	4
83	на мир	1	4
84	в ней	5	4
85	еще не	7	4
86	с его	8	4
87	за пределы	2	4
88	данный момент	1	4
89	перед нами	1	4
90	и наконец	10	4
91	в которой	1	4
92	но именно	1	4
93	всех этих	5	4
94	не как	1	4
95	у толстого	1	4
96	связанных с	4	4
97	и с	7	4
98	входит в	1	4
99	на почве	2	4
100	как и	6	4
101	в процессе	4	4
102	и для	2	4
103	с ее	3	4
104	ничего не	2	4
105	о нем	1	4
106	все его	2	4
107	один из	4	4
108	оно и	6	4
109	ли он	1	4
110	с одной	1	4
111	рядом с	2	4
112	одной стороны	1	4
113	и все	4	4
114	и потому	8	4
115	и от	1	4
116	в смысле	1	4
117	здесь в	1	4
118	известной степени	1	4
119	и часто	2	4
120	быть и	2	4
121	также и	1	3
122	или к	1	3
123	в первом	2	3
124	в зависимости	2	3
125	единство и	3	3
126	своего исторического	1	3
127	зависимости от	2	3
128	данном случае	3	3
129	в своем	2	3
130	бы и	2	3
131	из этих	4	3
132	выражение в	2	3
133	в себе	4	3
134	связанные с	2	3
135	внутренней речи	3	3
136	вообще не	1	3
137	конца и	1	3
138	и может	4	3
139	и почти	1	3
140	его в	8	3
141	было бы	6	3
142	он не	4	3
143	и ее	3	3
144	точку зрения	4	3
145	которые в	1	3
146	на всю	1	3
147	а иногда	1	3
148	она не	2	3
149	следовательно и	2	3
150	никогда не	7	3
151	в разных	1	3
152	и здесь	1	3
153	не могут	3	3
154	к тому	4	3
155	точками зрения	1	3
156	и этим	3	3
157	образом в	1	3
158	формы и	2	3
159	о том	1	3
160	и во	1	3
161	нем и	1	3
