N	4gram	Vinokur_Vv_1	Myshleni
1	заключается в том что	2	13
2	одно и то же	1	6
3	одного и того же	2	5
4	с этой точки зрения	1	4
5	в собственном смысле этого	1	4
6	собственном смысле этого слова	1	4
7	одной и той же	2	4
8	состоит в том что	2	3
9	с одной стороны и	3	2
10	только в том что	1	2
11	можно было бы назвать	1	2
12	но вместе с тем	1	2
13	отступают на задний план	1	1
14	в самом деле то	1	1
15	но как мы уже	1	1
16	мы имеем дело с	1	1
17	в том отношении что	3	1
18	когда мы говорим о	1	1
19	собой не что иное	1	1
20	точно так же как	1	1
21	не что иное как	4	1
22	в собственном смысле слова	1	1
23	на вопрос о том	4	1
24	бы то ни было	1	1
25	но во всяком случае	1	1
26	в том виде как	1	1
27	заключается в том чтобы	1	1
28	было бы сказать что	1	1
29	в том виде в	1	1
30	приходит к выводу что	1	1
31	по двум причинам во-первых	1	1
32	том виде в каком	1	1
33	одном и том же	1	1
34	если принять во внимание	1	1
35	не говоря уже о	1	1
36	в том что в	1	1
37	в этом смысле нельзя	2	1
