N	3gram	Voloshinov_1	Hudozhes
1	в том что	2	11
2	по отношению к	3	7
3	подобно тому как	1	4
4	то же время	1	4
5	в то же	1	4
6	к тому что	1	4
7	том что в	1	3
8	в самом деле	2	3
9	не может быть	4	3
10	как и в	1	3
11	в конечном счете	1	3
12	с одной стороны	2	3
13	для того чтобы	1	3
14	тем не менее	1	3
15	состоит в том	1	2
16	с точки зрения	5	2
17	можно было бы	1	2
18	но тем не	1	2
19	так же как	1	2
20	в данном случае	2	2
21	то же самое	1	2
22	того или иного	2	2
23	тому что он	1	2
24	переживания более того	1	1
25	как и всякого	1	1
26	нет и не	1	1
27	в г в	2	1
28	как это обычно	1	1
29	об этом говорит	1	1
30	между тем как	1	1
31	в этом отношении	1	1
32	то или иное	1	1
33	которым можно было	1	1
34	своего рождения и	1	1
35	а также и	1	1
36	а не как	1	1
37	в течение всей	1	1
38	но и его	1	1
39	никоим образом не	1	1
40	с другой стороны	2	1
41	даже для себя	1	1
42	что же такое	1	1
43	та или иная	1	1
44	с самого начала	2	1
45	создается прежде всего	1	1
46	человека и его	1	1
