N	3gram	Losev_Dial_3	Analitik
1	о том что	5	6
2	в том что	3	6
3	в данном случае	1	5
4	с одной стороны	3	4
5	и в этом	2	4
6	к тому же	2	4
7	подобно тому как	4	3
8	в этом отношении	1	3
9	по крайней мере	5	3
10	содержит в себе	1	3
11	того или иного	2	3
12	той или иной	2	3
13	тем не менее	10	3
14	как и в	3	3
15	с точки зрения	14	2
16	в таком случае	10	2
17	в то же	1	2
18	все той же	1	2
19	с другой стороны	2	2
20	то же время	1	2
21	в конечном счете	1	2
22	не только не	7	2
23	на то что	3	2
24	тех или иных	1	2
25	с той или	1	2
26	крайней мере в	3	1
27	что иное как	6	1
28	и в устах	1	1
29	более или менее	1	1
30	и даже не	1	1
31	внимание на то	1	1
32	то что с	1	1
33	имеется в виду	3	1
34	как раз и	3	1
35	таком случае он	1	1
36	и во всех	1	1
37	сами по себе	3	1
38	она превращается в	1	1
39	и даже в	1	1
40	с этой точки	2	1
41	в применении к	1	1
42	есть в сущности	2	1
43	самое что и	1	1
44	не о том	1	1
45	жизнь и смерть	1	1
46	и то же	2	1
47	себе ничего не	1	1
48	так или иначе	2	1
49	по себе ничего	1	1
50	в связи с	1	1
51	то что все	1	1
52	одно и то	2	1
53	не говорит о	2	1
54	имеем дело не	1	1
55	уже и не	1	1
56	а то что	1	1
57	в споре с	1	1
58	этой точки зрения	2	1
59	имеет место в	1	1
60	есть не что	3	1
61	не может быть	6	1
62	том смысле что	1	1
63	за пределы этой	1	1
64	не что иное	6	1
65	в самом деле	5	1
66	речь идет о	1	1
67	не менее в	1	1
68	ничего не говорит	3	1
69	вообще но и	1	1
70	но о том	1	1
71	в том смысле	1	1
72	к тому что	2	1
73	сама по себе	4	1
74	точно так же	2	1
75	в себе не	1	1
76	то же самое	1	1
