N	3gram	Losev_Vlad_2	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	2	4
4	в том что	9	4
5	с точки зрения	3	3
6	в сравнении с	1	3
7	н и е	1	3
8	в том числе	1	2
9	как никогда раньше	1	2
10	и в то	1	2
11	в тот же	1	2
12	в ней не	1	2
13	заключается в том	2	2
14	что в этом	1	1
15	чуть ли не	1	1
16	далеко не все	1	1
17	более или менее	3	1
18	в настоящее время	2	1
19	в этом смысле	1	1
20	есть для нас	1	1
21	в отличие от	3	1
22	с богом и	1	1
23	прочим потому что	1	1
24	не было бы	1	1
25	на свои собственные	1	1
26	в собственном смысле	1	1
27	за то что	1	1
28	тех пор пока	1	1
29	россия и европа	2	1
30	вместе с тем	1	1
31	и то что	5	1
32	и в частности	1	1
33	что во всех	1	1
34	в этом не	1	1
35	человека с богом	1	1
36	а в с	1	1
37	все существующее в	2	1
38	но в общем	1	1
39	не только как	1	1
40	не в том	3	1
41	во всяком случае	6	1
42	не может быть	1	1
43	между прочим потому	1	1
44	до тех пор	1	1
45	само по себе	2	1
46	ни к чему	1	1
47	в последние годы	1	1
48	но в то	1	1
49	то что его	1	1
50	можно судить по	4	1
51	во многих случаях	1	1
52	для того чтобы	1	1
53	насколько можно судить	1	1
54	в отрыве от	1	1
55	и т д	1	1
