N	3gram	Vygotskiy__1	TeoriaLi
1	по отношению к	7	8
2	в отличие от	1	7
3	в том что	15	6
4	то же время	2	6
5	в то же	2	6
6	в данном случае	2	5
7	состоит в том	1	4
8	в конечном счете	1	4
9	с другой стороны	9	3
10	тем не менее	1	3
11	можно сказать что	4	3
12	в свою очередь	3	3
13	той или иной	1	3
14	в этом смысле	1	3
15	по своей природе	2	2
16	в соответствии с	1	2
17	с точки зрения	18	2
18	значении этого слова	1	2
19	с одной стороны	8	2
20	и то же	2	2
21	в единое целое	2	2
22	а с другой	2	2
23	одно и то	2	2
24	человека к действительности	1	2
25	лишь в самом	1	2
26	и тем самым	3	2
27	не только не	1	2
28	сама по себе	1	2
29	не может быть	5	2
30	как и в	1	2
31	таким образом что	3	1
32	том что в	2	1
33	раз в том	1	1
34	в чистом виде	1	1
35	и потому что	1	1
36	этой точки зрения	1	1
37	дело в том	1	1
38	в том числе	1	1
39	не только переходом	1	1
40	в целом ряде	1	1
41	и в то	1	1
42	по своей структуре	2	1
43	что он не	1	1
44	как это ни	1	1
45	отношение человека к	1	1
46	только то что	1	1
47	из того что	5	1
48	том числе и	1	1
49	точно так же	1	1
50	по крайней мере	1	1
51	именно в этом	2	1
52	как раз в	1	1
53	в значительной степени	2	1
54	едва ли не	1	1
55	то что может	1	1
56	содержит в себе	1	1
57	если говорить о	1	1
58	таким образом и	2	1
59	к вопросу о	1	1
60	и не быть	1	1
61	в известном смысле	2	1
62	и как бы	1	1
63	таким же образом	1	1
64	отношение между ними	1	1
65	так же точно	9	1
66	в первую очередь	3	1
67	так же как	5	1
68	не сама по	1	1
69	на вопрос о	2	1
70	в то время	5	1
71	на две части	2	1
72	что даже в	1	1
73	с этой точки	1	1
74	во внешнем мире	1	1
75	о том что	6	1
76	между тем в	1	1
77	между тем это	1	1
78	ту или иную	1	1
79	больше и больше	1	1
80	в силу своей	1	1
81	для того чтобы	15	1
82	том что он	2	1
83	же точно и	1	1
84	является как бы	1	1
