N	2gram	Medvedev_U_1	SlovoVZh
1	не может	7	16
2	может быть	6	14
3	таким образом	2	12
4	и в	14	12
5	и не	8	10
6	если бы	2	9
7	прежде всего	8	8
8	художественного произведения	2	7
9	сказать что	1	7
10	в ней	1	6
11	в том	2	6
12	только в	2	6
13	в нем	1	6
14	в процессе	1	6
15	должна быть	2	5
16	то же	5	5
17	в виду	1	5
18	можно сказать	1	5
19	отнюдь не	1	5
20	но в	3	5
21	и др	1	5
22	а не	10	5
23	художественной формы	2	5
24	как и	3	5
25	что мы	2	5
26	том что	2	5
27	никогда не	1	5
28	хотя бы	5	5
29	то что	7	5
30	литературы и	2	4
31	за пределы	1	4
32	в этом	7	4
33	все же	3	4
34	в самом	2	4
35	уже не	1	4
36	не только	10	4
37	ни было	3	4
38	так и	1	4
39	материала и	2	4
40	с другой	4	4
41	не в	2	4
42	и является	2	4
43	художественном произведении	2	3
44	самом деле	2	3
45	формы и	2	3
46	в котором	1	3
47	в пределах	1	3
48	мы не	2	3
49	о том	1	3
50	бы то	3	3
51	но и	4	3
52	между тем	2	3
53	того что	1	3
54	в художественном	5	3
55	конечно не	4	3
56	в себе	2	3
57	для него	3	3
58	то ни	3	3
59	и с	2	3
60	до сих	2	3
61	в некоторых	2	3
62	в своей	3	3
63	художественного творчества	5	3
64	по себе	2	3
65	художественное произведение	5	3
66	сих пор	2	3
67	все это	5	3
68	но для	1	3
69	и для	2	3
70	теоретической поэтики	2	3
71	и то	3	2
72	мы имеем	1	2
73	в словесном	1	2
74	истории литературы	3	2
75	искусства и	1	2
76	с его	2	2
77	и что	1	2
78	но конечно	2	2
79	данном случае	1	2
80	в данном	1	2
81	в его	2	2
82	что и	2	2
83	относится к	1	2
84	независимо от	1	2
85	в своем	1	2
86	и потому	1	2
87	и так	1	2
88	с одной	1	2
89	имеем в	1	2
90	он не	1	2
91	перестает быть	5	2
92	содержания и	1	2
93	мы можем	1	2
94	но что	1	2
95	форма в	1	2
96	это не	3	2
97	форму и	2	2
98	одной стороны	1	2
99	до конца	1	2
100	другой стороны	3	2
101	его как	1	2
102	и слово	1	2
103	но не	2	2
104	речи в	1	2
105	она не	1	2
106	еще раз	1	2
107	тогда когда	1	2
108	в то	3	2
109	ничего не	2	2
110	и все	1	2
111	все они	2	2
112	но это	2	2
113	слагается из	1	2
114	могут быть	2	2
115	же самое	2	2
116	что в	1	2
117	как на	1	2
118	не есть	2	2
119	к этому	1	2
120	а между	2	1
121	и это	1	1
122	же как	1	1
123	сам по	1	1
124	и историческая	1	1
125	художественным произведением	1	1
126	вообще по	1	1
127	теоретическая и	1	1
128	в произведении	1	1
129	нем но	1	1
130	выдвигает на	2	1
131	форму художественного	1	1
132	художественное творчество	1	1
133	и интересно	1	1
134	к вопросам	1	1
135	является в	2	1
136	и всякого	1	1
137	эта позиция	1	1
138	для этого	3	1
139	не вполне	1	1
140	сводится к	2	1
141	в порядке	1	1
142	словесного творчества	2	1
143	установку на	2	1
144	в значительной	1	1
145	в конечном	4	1
146	все в	1	1
147	к которой	1	1
148	формы как	1	1
149	конечном счете	4	1
150	искусства в	1	1
151	крайней мере	2	1
152	его эстетической	1	1
153	иных приемов	1	1
154	художественного восприятия	1	1
155	тот же	1	1
156	в поэтическом	1	1
157	более или	1	1
158	поэзии слово	1	1
159	по мнению	1	1
160	формы в	3	1
161	формальный метод	11	1
162	таком понимании	1	1
163	это же	1	1
164	не то	1	1
165	еще один	1	1
166	бы только	1	1
167	литературы в	1	1
168	в виде	1	1
169	что она	2	1
170	противном случае	2	1
171	обращение к	1	1
172	или даже	1	1
173	или просто	1	1
174	его и	2	1
175	одно из	1	1
176	понимании форма	1	1
177	не как	3	1
178	его форма	1	1
179	у него	1	1
180	или иных	2	1
181	даже и	2	1
182	оно является	1	1
183	бы это	1	1
184	и только	5	1
185	что все	2	1
186	связанных с	1	1
187	которой принадлежит	1	1
188	должно быть	1	1
189	входит в	1	1
190	было бы	3	1
191	этом смысле	2	1
192	и прежде	1	1
193	только к	3	1
194	что для	1	1
195	не было	1	1
196	далеко не	1	1
197	и вне	1	1
198	историческая поэтика	1	1
199	при более	1	1
200	о чем	2	1
201	на эту	2	1
202	него не	1	1
203	же не	2	1
204	остается в	1	1
205	восприятия и	1	1
206	себя на	1	1
207	или менее	1	1
208	все элементы	1	1
209	но если	1	1
210	в частности	3	1
211	моментом но	1	1
212	относятся к	1	1
213	то есть	1	1
214	она в	1	1
215	не могут	2	1
216	и независимо	1	1
217	признать что	1	1
218	он будет	1	1
219	является только	1	1
220	формы является	1	1
221	определения которые	1	1
222	оценка его	1	1
223	по крайней	2	1
224	произведения в	1	1
225	знак равенства	1	1
226	в словах	1	1
227	материал для	2	1
228	и вся	1	1
229	с успехом	1	1
230	оно по	1	1
231	но прежде	1	1
232	только для	1	1
233	точно и	1	1
234	в противном	2	1
235	и лингвистической	1	1
236	она должна	1	1
237	тех или	2	1
238	содержание в	1	1
239	искусства как	2	1
240	поэтикой и	1	1
241	при таком	2	1
242	не существует	1	1
243	такое понимание	1	1
244	в качестве	1	1
245	науки об	1	1
246	же время	3	1
247	тем более	1	1
248	поэтики изучающей	1	1
249	этих искусствоведов	1	1
250	на одно	1	1
251	в искусстве	6	1
252	это уже	2	1
253	этом отношении	2	1
254	и делает	1	1
255	анализа в	1	1
256	гораздо больше	1	1
257	приходится признать	2	1
258	в области	3	1
259	у нас	3	1
260	только как	1	1
261	именно такой	1	1
262	равно как	1	1
263	о литературе	1	1
264	именно такую	1	1
265	время не	1	1
266	и эта	1	1
267	историей вот	1	1
268	в таком	1	1
