N	2gram	Voloshinov_1	IolandNe
1	и с	7	3
2	и не	16	2
3	должен быть	2	2
4	в этом	13	2
5	он не	4	2
6	ничего не	2	2
7	самого себя	2	2
8	что в	6	2
9	творчества то	1	1
10	как отец	1	1
11	все эти	9	1
12	то и	1	1
13	точно и	1	1
14	с другой	1	1
15	для него	5	1
16	того чтобы	2	1
17	того что	2	1
18	отношению к	9	1
19	сомневаюсь что	1	1
20	и о	3	1
21	не так	1	1
22	странное и	1	1
23	же это	1	1
24	не дает	1	1
25	что при	2	1
26	тех же	1	1
27	в целом	2	1
28	к отцу	15	1
29	это было	1	1
30	во многом	2	1
31	не сомневаюсь	1	1
32	так и	10	1
33	к нам	1	1
34	и со	2	1
35	в основе	3	1
36	них не	2	1
37	жизни и	5	1
38	по отношению	11	1
39	себя в	2	1
40	перед отцом	1	1
41	по поводу	2	1
42	у всех	1	1
43	и очень	2	1
44	если бы	3	1
45	того же	1	1
46	не остается	3	1
47	от этого	1	1
48	а с	1	1
49	ненависть к	1	1
50	это был	1	1
51	и чрезвычайно	1	1
52	и творчества	2	1
53	ничего в	1	1
54	и тот	2	1
55	а также	1	1
56	для того	1	1
57	есть только	1	1
58	бы в	2	1
59	нам в	2	1
60	а в	6	1
61	то она	1	1
62	по существу	1	1
63	и в	15	1
64	с любым	1	1
65	в эту	2	1
66	все это	5	1
67	со всеми	3	1
68	тем что	1	1
69	и др	8	1
70	комплекс в	1	1
71	его ученики	4	1
72	я не	3	1
73	о ней	1	1
74	никогда не	7	1
75	и без	1	1
76	художественного творчества	1	1
