N	3gram	Bakhtin_Fr_4	EvropaiE
1	с точки зрения	2	16
2	в то же	8	15
3	то же время	8	14
4	и в то	4	8
5	с одной стороны	2	8
6	одной стороны и	1	6
7	в том что	1	6
8	для того чтобы	3	5
9	не только в	2	4
10	в этом отношении	1	3
11	можно сказать что	1	3
12	между прочим и	1	2
13	и со стороны	1	2
14	по своему характеру	1	2
15	в данном случае	1	2
16	но в то	1	2
17	так и в	1	2
18	с другой стороны	3	2
19	не может быть	1	2
20	в свою очередь	1	2
21	прежде всего к	1	2
22	мы можем сказать	1	2
23	между ними и	1	2
24	в большинстве случаев	5	2
25	xviii и xix	1	2
26	как мы видели	2	2
27	и того же	1	1
28	к участию в	1	1
29	другой стороны в	1	1
30	в xviii и	1	1
31	дело в том	1	1
32	более или менее	3	1
33	в соответствии с	1	1
34	в том же	1	1
35	в одной из	1	1
36	усиливается тем что	1	1
37	в эту эпоху	1	1
38	том случае если	1	1
39	а также в	1	1
40	в отличие от	1	1
41	но и в	3	1
42	сложнее чем обычно	1	1
43	том числе и	2	1
44	может быть и	1	1
45	и по своей	2	1
46	это один из	1	1
47	на этот раз	1	1
48	и тот же	2	1
49	смысле этого слова	1	1
50	а также и	1	1
51	в том случае	1	1
52	то время как	1	1
53	этом отношении особенно	1	1
54	в связи с	1	1
55	в полной мере	1	1
56	одной стороны в	1	1
57	мы видели что	1	1
58	один и тот	2	1
59	и xix веках	1	1
60	в то время	2	1
61	говорить о том	1	1
62	то есть в	2	1
63	можем сказать что	1	1
64	одного и того	1	1
65	в том числе	3	1
66	и всего мира	1	1
67	тех или иных	1	1
68	так и по	1	1
69	к тому же	1	1
