N	2gram	Trubetskoy_1	Stilisti
1	и в	14	42
2	не только	9	27
3	как бы	4	27
4	прежде всего	8	22
5	и т.д	4	20
6	хотя бы	5	17
7	но и	10	15
8	то же	11	15
9	и не	19	14
10	не может	22	12
11	может быть	9	12
12	как и	4	11
13	мы уже	2	11
14	точки зрения	11	11
15	и как	3	10
16	как мы	1	10
17	в этом	17	10
18	отнюдь не	7	10
19	мы должны	7	10
20	при этом	5	9
21	мы не	1	9
22	общественной жизни	2	9
23	то что	13	9
24	в то	10	9
25	для того	6	9
26	в себе	9	8
27	все же	4	8
28	таким образом	11	8
29	тем самым	2	8
30	с тем	6	8
31	что же	4	8
32	в ней	2	8
33	и это	1	8
34	в которой	1	7
35	же время	10	7
36	того чтобы	8	7
37	потому что	5	7
38	а не	2	7
39	и от	2	7
40	никогда не	5	7
41	только в	5	7
42	и тем	2	7
43	в зависимости	1	7
44	и на	5	7
45	мы можем	2	7
46	было бы	5	7
47	так как	4	7
48	на его	1	6
49	так и	1	6
50	в нем	5	6
51	не в	4	6
52	в конце	3	6
53	во всех	5	6
54	но ведь	1	6
55	точку зрения	4	6
56	в этой	4	6
57	язык и	1	6
58	в области	2	6
59	или иной	5	6
60	в свою	1	6
61	же мы	1	5
62	и с	7	5
63	и наконец	2	5
64	и является	2	5
65	и их	1	5
66	в сознании	3	5
67	тем у	1	5
68	как это	1	5
69	того или	2	5
70	те же	1	5
71	вместе с	4	5
72	своей жизни	1	5
73	в его	4	5
74	тому что	2	5
75	а в	5	5
76	с точки	9	5
77	или иного	2	5
78	не является	1	5
79	же самое	1	5
80	языка и	1	4
81	бы в	1	4
82	можно сказать	1	4
83	так же	2	4
84	к данной	1	4
85	в обществе	1	4
86	что это	3	4
87	то есть	1	4
88	и без	1	4
89	не знаем	1	4
90	зрения в	1	4
91	влияние на	1	4
92	его в	4	4
93	были бы	2	4
94	того что	3	4
95	о своей	1	4
96	но все	1	4
97	и к	6	4
98	в качестве	3	4
99	к тому	7	4
100	связаны с	1	4
101	свою очередь	1	4
102	один из	1	4
103	а с	2	4
104	вопроса о	1	4
105	уже не	2	4
106	на это	2	4
107	в самом	3	4
108	с самого	1	4
109	не просто	2	4
110	но в	2	4
111	на него	1	4
112	само собой	1	4
113	о том	7	4
114	все это	6	4
115	всего в	1	4
116	себя в	4	4
117	самом деле	7	4
118	тем же	1	4
119	и то	4	4
120	точка зрения	1	4
121	если мы	1	4
122	можно было	4	4
123	если бы	6	4
124	самого начала	1	4
125	той или	3	4
126	ведь в	2	3
127	еще не	3	3
128	и вот	2	3
129	конце концов	3	3
130	жизни и	4	3
131	в разных	1	3
132	слова но	1	3
133	и для	6	3
134	главным образом	3	3
135	не к	2	3
136	связи с	3	3
137	но при	1	3
138	языком и	1	3
139	и все	1	3
140	внутренней и	1	3
141	что у	1	3
142	что такое	2	3
143	его и	2	3
144	от того	4	3
145	лишь в	3	3
146	вследствие этого	1	3
147	об этом	1	3
148	и внешней	1	3
149	если он	1	3
150	заключает в	1	3
151	если не	2	3
152	для нас	2	3
153	в начале	2	3
154	деятельности и	2	3
155	необходимо чтобы	1	3
156	в ее	1	3
157	здесь мы	1	3
158	отношения к	2	3
159	в какой-нибудь	1	3
160	не так	2	3
161	на самом	6	3
162	нет и	1	3
163	это не	1	3
164	и даже	2	3
165	тех или	1	3
166	этом случае	3	3
167	выражение в	1	3
168	что оно	3	3
169	да и	3	3
170	мы в	1	3
171	как только	1	3
172	представить себе	2	3
173	из них	3	3
174	в котором	2	3
175	вряд ли	3	3
176	не будет	7	3
177	этого слова	1	3
178	в данной	1	3
179	что и	3	3
180	роль в	1	3
181	их в	2	3
182	связь и	1	3
183	должно было	1	3
184	конечно не	5	3
185	только на	2	3
186	перед нами	1	3
187	чаще всего	1	3
188	в будущем	3	3
189	ни на	1	3
190	том что	9	3
191	но для	2	3
192	все эти	2	2
193	войти в	1	2
194	материал для	1	2
195	и этот	3	2
196	для всех	6	2
197	или иных	1	2
198	но не	4	2
199	вопрос о	5	2
200	в связи	1	2
201	место в	2	2
202	или в	3	2
203	и ни	3	2
204	значение и	1	2
205	оно является	1	2
206	только тогда	1	2
207	нас не	1	2
208	что вся	1	2
209	еще и	1	2
210	для них	3	2
211	есть не	1	2
212	был и	3	2
213	не было	3	2
214	друг другу	2	2
215	зависит от	2	2
216	связь с	1	2
217	в жизни	1	2
218	с ней	1	2
219	к нему	2	2
220	сих пор	5	2
221	из двух	1	2
222	собой разумеется	1	2
223	но мы	3	2
224	к которому	1	2
225	иное как	1	2
226	у себя	1	2
227	с ним	2	2
228	бы не	1	2
229	в значительной	3	2
230	человека с	1	2
231	при условии	3	2
232	в своей	5	2
233	а на	1	2
234	и те	2	2
235	конечно мы	1	2
236	на отдельные	1	2
237	который мы	1	2
238	или даже	1	2
239	внутри себя	1	2
240	по своей	1	2
241	смысле этого	1	2
242	одной из	3	2
243	из всего	1	2
244	между собой	5	2
245	свое желание	1	2
246	первый взгляд	1	2
247	или хотя	1	2
248	для него	6	2
249	как не	1	2
250	к чему	2	2
251	и конечно	1	2
252	должны были	1	2
253	в том	17	2
254	этом отношении	1	2
255	чему не	1	2
256	из которых	5	2
257	природы и	1	2
258	с этим	2	2
259	говорить и	1	2
260	связано с	1	2
261	тому же	1	2
262	и потому	3	2
263	тот или	1	2
264	должно быть	3	2
265	очевидно что	1	2
266	ясно что	2	2
267	значительной степени	1	2
268	тем что	3	2
269	это же	1	2
270	даже и	2	2
271	ее с	1	2
272	себе и	4	2
273	в основе	1	2
274	ни один	1	2
275	по своему	1	2
276	что эти	1	2
277	не должен	2	2
278	не всегда	1	2
279	на первый	1	2
280	но даже	2	2
281	в этих	2	2
282	для всякого	1	2
283	человека в	1	2
284	в мире	4	2
285	до конца	1	2
286	также и	1	2
287	и когда	1	2
288	человек с	1	2
289	несмотря на	3	2
290	помнить что	2	2
291	в своих	6	2
292	мы говорили	3	2
293	для каждого	1	2
294	в частности	2	2
295	на эти	1	2
296	за ними	1	2
297	целый ряд	2	2
298	в которых	1	2
299	к этому	1	2
300	что он	6	2
301	понимание и	1	2
302	которые являются	1	2
303	лишь потому	1	2
304	этот вопрос	2	2
305	быть может	1	2
306	ни к	7	2
307	но это	2	2
308	не есть	3	2
309	и при	6	2
310	и экономической	1	1
311	только чтобы	1	1
312	столь же	1	1
313	если и	1	1
314	может не	3	1
315	не допускает	1	1
316	не могла	1	1
317	мысли что	1	1
318	может и	1	1
319	они были	1	1
320	по сравнению	1	1
321	и того	1	1
322	мысль об	1	1
323	к той	2	1
324	всякое явление	1	1
325	от всякого	1	1
326	в собственном	1	1
327	должны быть	1	1
328	сил которые	1	1
329	в одно	1	1
330	говорить о	3	1
331	за ним	1	1
332	бы на	1	1
333	возможна лишь	1	1
334	даже к	1	1
335	без помощи	1	1
336	всем этим	2	1
337	о котором	3	1
338	того же	1	1
339	от этого	1	1
340	или не	1	1
341	могла бы	1	1
342	борьбе за	1	1
343	даже не	2	1
344	котором мы	1	1
345	отношению к	1	1
346	ведь уже	1	1
347	это как	1	1
348	она не	2	1
349	с реальными	1	1
350	крайней мере	1	1
351	и действительно	1	1
352	в общении	1	1
353	души и	1	1
354	большинстве случаев	2	1
355	не менее	1	1
356	понимать как	1	1
357	вовсе не	1	1
358	так чтобы	3	1
359	на то	5	1
360	в виде	3	1
361	является тем	1	1
362	одного и	1	1
363	каждого отдельного	2	1
364	воздействия на	1	1
365	вне всякой	2	1
366	с самим	2	1
367	в большинстве	3	1
368	было говорить	1	1
369	всего на	1	1
370	это конечно	1	1
371	у него	2	1
372	а скорее	1	1
373	и во	3	1
374	даже в	1	1
375	лишь постепенно	1	1
376	чем ближе	1	1
377	нами не	1	1
378	что эта	1	1
379	до такой	1	1
380	то все	1	1
381	чтобы стать	1	1
382	к мысли	1	1
383	всего с	1	1
384	их индивидуальной	1	1
385	это будет	1	1
386	одному из	2	1
387	то у	1	1
388	до сих	5	1
389	нетрудно заметить	1	1
390	т.е как	1	1
391	с другими	1	1
392	если в	6	1
393	в их	4	1
394	для человека	1	1
395	как какое-то	1	1
396	значение всякого	1	1
397	превратиться в	1	1
398	то в	3	1
399	тот факт	2	1
400	для образования	1	1
401	и теперь	1	1
402	движения и	1	1
403	русской жизни	1	1
404	не можем	2	1
405	данного человека	1	1
406	теснейшим образом	1	1
407	от которых	1	1
408	там и	2	1
409	как видно	1	1
410	отдельного человека	1	1
411	от тех	1	1
412	и второй	1	1
413	ничем не	1	1
414	общей для	1	1
415	путь к	4	1
416	никакая культура	1	1
417	связан с	1	1
418	что может	3	1
419	только один	1	1
420	что в	4	1
421	к такому	2	1
422	в силу	2	1
423	превращается в	1	1
424	тон и	1	1
425	с этой	1	1
426	в себя	1	1
427	похож на	1	1
428	совершенно не	2	1
429	с общим	1	1
430	тем в	1	1
431	иметь в	1	1
432	в таких	2	1
433	в таком	2	1
434	следовательно и	2	1
435	хоть сколько-нибудь	1	1
436	в сторону	1	1
437	подойдем к	1	1
438	о которой	1	1
439	но если	3	1
440	это только	2	1
441	время эти	1	1
442	которых каждая	1	1
443	между тем	5	1
444	но как	1	1
445	именно с	1	1
446	конечно нет	1	1
447	своим собственным	1	1
448	не трудно	1	1
449	что для	3	1
450	которые существуют	1	1
451	это отнюдь	1	1
452	и весь	1	1
453	на все	1	1
454	и всегда	1	1
455	с реальной	1	1
456	к своей	1	1
457	для создания	1	1
458	ни от	2	1
459	на свою	1	1
460	целое как	1	1
461	быта и	1	1
462	мог бы	1	1
463	он будет	4	1
464	свидетельствуют о	1	1
465	к внешней	1	1
466	и внутреннее	1	1
467	бы к	1	1
468	из этих	3	1
469	всегда будет	1	1
470	с некоторым	1	1
471	стоящий на	2	1
472	это и	1	1
473	сейчас не	1	1
474	ее в	2	1
475	что при	1	1
476	тогда когда	4	1
477	понять что	2	1
478	что его	1	1
479	неминуемо должен	1	1
480	являются не	1	1
481	в определенной	1	1
482	говоря о	2	1
483	говорили выше	1	1
484	из тех	1	1
485	в одной	1	1
486	говорить что	1	1
487	даже если	2	1
488	и если	7	1
489	именно так	1	1
490	в течение	2	1
491	разума и	1	1
492	в сущности	1	1
493	по себе	2	1
494	то будет	1	1
495	остановиться на	1	1
496	и о	2	1
497	и политической	1	1
498	то хотя	1	1
499	другом месте	1	1
500	перейдут в	1	1
501	дать человеку	1	1
502	которые на	1	1
503	ни в	2	1
504	в действительном	1	1
505	к какому	1	1
506	факт для	1	1
507	в истории	1	1
508	так что	2	1
509	же и	1	1
510	по величине	1	1
511	но этого	1	1
512	со своей	1	1
513	всю свою	2	1
514	себе элементы	1	1
515	к которой	6	1
516	только то	1	1
517	является вполне	1	1
518	тем не	1	1
519	он принадлежит	1	1
520	человек познавая	1	1
521	в те	1	1
522	ни других	1	1
523	не о	2	1
524	они сами	1	1
525	стоит только	2	1
526	от этих	1	1
527	могло бы	1	1
528	что так	1	1
529	без всякого	1	1
530	может иметь	1	1
531	образом в	1	1
532	собой и	3	1
533	и начало	1	1
534	более или	4	1
535	является не	2	1
536	истории на	1	1
537	из одного	1	1
538	себе наиболее	1	1
539	а о	1	1
540	друг друга	3	1
541	представления о	1	1
542	этой действительности	1	1
543	только не	1	1
544	для этого	3	1
545	благодаря всем	1	1
546	одна из	3	1
547	может в	1	1
548	по крайней	1	1
549	всех их	1	1
550	всех этих	3	1
551	речь не	1	1
552	формы в	1	1
553	же как	1	1
554	нельзя было	1	1
555	культура не	1	1
556	том же	2	1
557	именно в	3	1
558	чтобы он	1	1
559	с исторической	1	1
560	приходит к	3	1
561	когда он	1	1
562	факт что	2	1
563	этот долг	1	1
564	между несколькими	1	1
565	на эту	2	1
566	раз навсегда	2	1
567	вот это	1	1
568	оказывается что	1	1
569	и проч	1	1
570	ему как	1	1
571	россию и	2	1
572	и будет	1	1
573	культуры и	2	1
574	доказать что	1	1
575	и что	2	1
576	себя только	1	1
577	с одним	1	1
578	и неизбежно	1	1
579	в результате	2	1
580	не являются	1	1
581	обе эти	1	1
582	он не	5	1
583	внешним образом	1	1
584	говорили в	2	1
585	народов и	2	1
586	из всех	2	1
587	этим самым	1	1
588	с новыми	1	1
589	ближе к	1	1
590	человека к	1	1
591	уже знаем	1	1
592	не могут	4	1
593	всю эту	2	1
594	весь ход	1	1
595	этого вопроса	1	1
596	мы ведь	1	1
597	тем более	1	1
598	должен быть	1	1
599	с другой	1	1
600	лишь с	1	1
601	каждый человек	1	1
602	в общем	1	1
603	и эти	1	1
604	если его	1	1
605	все они	3	1
