1	в то же	4	7
2	в отличие от	2	5
3	к тому же	1	5
4	в данном случае	7	4
5	в том что	9	4
6	с одной стороны	1	4
7	о том что	3	4
8	с точки зрения	2	3
9	не может быть	5	3
10	и в частности	2	2
11	в целом и	1	2
12	но и в	2	2
13	не только в	2	2
14	то ни было	3	2
15	на то что	1	2
16	в том чтобы	1	2
17	то же самое	7	2
18	из того что	1	2
19	той или иной	8	2
20	в самом деле	1	2
21	бы то ни	4	2
22	и тем самым	2	2
23	с другой стороны	5	2
24	тем что он	1	2
25	так или иначе	1	2
26	без которых невозможно	1	1
27	на первый взгляд	2	1
28	может быть в	1	1
29	самое можно сказать	1	1
30	только в том	1	1
31	к тому что	1	1
32	в той или	2	1
33	содержат в себе	1	1
34	и тем не	3	1
35	как будто бы	3	1
36	хотя и не	2	1
37	что иное как	4	1
38	но при этом	1	1
39	в ее революционном	1	1
40	и не только	1	1
41	произведение в целом	1	1
42	не что иное	4	1
43	тем не менее	10	1
44	в связи с	7	1
45	же самое можно	1	1
46	или иной мере	2	1
47	но отнюдь не	1	1
48	а не просто	3	1
49	имеется в виду	4	1
50	сама по себе	8	1
51	то есть от	2	1
52	с этой точки	1	1
53	содержит в себе	3	1
54	вот в этой	1	1
55	который может быть	1	1
56	в чистом виде	2	1
57	для того чтобы	1	1
58	художественного произведения в	1	1
59	это уже не	2	1
60	и не всегда	1	1
61	более или менее	1	1
62	чем он сам	1	1
63	далеко еще не	1	1
64	о том как	2	1
65	сказать и о	1	1
66	при этом в	1	1
67	на самом деле	2	1
68	в своей основе	1	1
69	ту или иную	1	1
70	в первую очередь	3	1
71	может быть не	1	1
72	но это не	1	1
73	его уже как	1	1
74	а то и	1	1
75	и то что	7	1
76	в себе как	1	1
77	ее революционном развитии	1	1
78	но еще и	1	1
79	потому что здесь	1	1
80	по себе но	1	1
81	ничего общего с	2	1
82	друг от друга	2	1
83	но и с	1	1
84	по существу своему	1	1
85	этой точки зрения	2	1
86	а во втором	1	1
87	это и есть	1	1
88	не только не	1	1
89	и только в	2	1
