N	3gram	Ircho_Kome_3	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	3	7
3	с точки зрения	3	6
4	во всяком случае	3	6
5	более или менее	1	5
6	в том числе	1	5
7	до сих пор	9	5
8	по крайней мере	1	5
9	друг с другом	1	5
10	для того чтобы	6	5
11	о том что	4	4
12	том числе и	1	4
13	но все же	2	4
14	к тому же	4	4
15	так или иначе	2	3
16	в конце концов	2	3
17	в связи с	3	3
18	тем не менее	3	3
19	в том что	9	3
20	таким образом если	1	2
21	то же самое	3	2
22	сих пор еще	1	2
23	в этом отношении	2	2
24	с этой точки	1	2
25	как бы то	1	2
26	то ни было	2	2
27	по сравнению с	2	2
28	то что он	1	2
29	бы то ни	2	2
30	но вместе с	1	2
31	то же время	4	2
32	ничего общего с	1	2
33	этой точки зрения	1	2
34	с самого начала	4	2
35	можно сказать что	1	2
36	на то что	1	2
37	к одной из	1	2
38	в то же	4	2
39	на пути к	1	2
40	и в этом	1	2
41	прежде всего отдать	1	1
42	ничем не отличаются	1	1
43	в силу этого	1	1
44	из всех богов	1	1
45	состоит в том	2	1
46	сам он не	1	1
47	чуть ли не	1	1
48	по отношению к	3	1
49	имеем в виду	1	1
50	отличаются от людей	1	1
51	в самом деле	6	1
52	в настоящее время	1	1
53	в соответствии с	1	1
54	о том как	3	1
55	обстоит дело с	2	1
56	не отличаются от	1	1
57	и в то	1	1
58	примыкает именно к	1	1
59	к этому что	1	1
60	в первую очередь	1	1
61	в его героях	1	1
62	в так называемом	1	1
63	точки зрения того	1	1
64	из этих слов	1	1
65	по своему характеру	1	1
66	в первом случае	1	1
67	на этот раз	2	1
68	но при этом	1	1
69	в отличие от	1	1
70	по тому же	1	1
71	к лицу с	1	1
72	из них не	1	1
73	с другой стороны	2	1
74	как бы в	1	1
75	речь идет о	3	1
76	сих пор были	1	1
77	лицом к лицу	1	1
78	ней и не	1	1
79	сих пор не	1	1
80	не имеет больше	1	1
81	в то время	2	1
82	так и в	1	1
83	в свою очередь	6	1
84	и никогда не	1	1
85	всего отдать себе	1	1
86	да и сами	1	1
87	что и у	1	1
88	мы имеем в	1	1
89	тому же пути	1	1
90	же что и	1	1
91	после того как	1	1
92	к нему в	1	1
93	а с точки	1	1
94	что и в	2	1
95	именно потому что	2	1
96	и здесь не	1	1
