N	3gram	Bakhtin_Pr_1	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	6	6
3	до сих пор	1	5
4	для того чтобы	2	5
5	в связи с	1	3
6	тем не менее	3	3
7	в том что	3	3
8	то же самое	2	2
9	в этом отношении	2	2
10	то или иное	2	2
11	может быть и	1	2
12	то ни было	2	2
13	по сравнению с	1	2
14	бы то ни	3	2
15	таким образом в	1	2
16	то же время	3	2
17	той или иной	2	2
18	можно сказать что	2	2
19	на то что	1	2
20	в то же	3	2
21	и в этом	1	2
22	его уже не	1	1
23	а между тем	1	1
24	и в общем	1	1
25	и к культуре	1	1
26	иметь в виду	1	1
27	притом не только	1	1
28	по отношению к	19	1
29	в самом деле	3	1
30	в настоящее время	1	1
31	о том как	1	1
32	сказать и о	2	1
33	по своему значению	1	1
34	но не имеет	1	1
35	но далеко не	1	1
36	а следовательно и	1	1
37	и в то	2	1
38	до известной степени	1	1
39	сами по себе	1	1
40	в одном и	1	1
41	к нему или	1	1
42	что все эти	1	1
43	вследствие того что	1	1
44	с тем что	1	1
45	особенно в области	1	1
46	от них в	1	1
47	с ними в	1	1
48	которые могли бы	1	1
49	в данном случае	4	1
50	в первом случае	1	1
51	но в то	1	1
52	смысле этого слова	1	1
53	в отличие от	5	1
54	не в том	1	1
55	в этом направлении	1	1
56	тем или иным	1	1
57	с другой стороны	4	1
58	есть ли это	1	1
59	лицом к лицу	1	1
60	не совпадает с	2	1
61	сдвиг в области	1	1
62	а в том	1	1
63	которой не было	1	1
64	не может быть	11	1
65	может и не	2	1
66	к чему не	1	1
67	в то время	1	1
68	так и в	2	1
69	в свою очередь	1	1
70	это и есть	1	1
71	в этом последнем	1	1
72	ни к чему	1	1
73	не более как	1	1
74	в своем целом	1	1
75	их он может	1	1
