N	3gram	Tiupa_Narr_1	formyVre
1	с точки зрения	1	8
2	для того чтобы	3	7
3	в связи с	2	7
4	не только в	6	5
5	в то же	4	4
6	друг с другом	1	4
7	то же время	4	4
8	в том числе	1	3
9	и в то	1	3
10	в том что	5	3
11	и т д	1	3
12	мы еще вернемся	1	3
13	но и в	2	3
14	на протяжении всего	1	2
15	связи с этим	1	2
16	друг на друга	2	2
17	может быть и	1	2
18	и та же	1	2
19	до сих пор	2	2
20	в этом отношении	3	2
21	сами по себе	2	2
22	то же самое	2	2
23	одна и та	1	2
24	том числе и	1	2
25	друг от друга	1	2
26	принимают участие в	1	1
27	о том что	2	1
28	об этом свидетельствует	1	1
29	его жизни и	1	1
30	существенную роль в	1	1
31	с одной стороны	1	1
32	жизни но и	1	1
33	жизни и смерти	1	1
34	на друга но	1	1
35	как и в	1	1
36	как она была	1	1
37	тем более не	1	1
38	с другой стороны	1	1
39	но все же	1	1
40	и хронотопа в	1	1
41	можно сказать что	2	1
42	более глубокий и	1	1
43	к тому что	1	1
44	бы не было	1	1
45	точки зрения в	1	1
46	и того же	1	1
47	еще вернемся к	1	1
48	но в данном	1	1
49	и как бы	1	1
50	в особенности в	1	1
51	и не только	1	1
52	как мы видели	1	1
53	на самом деле	1	1
54	сих пор еще	1	1
55	но в этом	1	1
56	одного и того	1	1
57	той или иной	4	1
58	уже не только	1	1
59	не может быть	4	1
60	в данном случае	8	1
61	но при этом	1	1
62	в частности в	1	1
63	как и все	1	1
64	с установкой на	2	1
65	как мы увидим	1	1
66	времени и пространстве	6	1
67	в отличие от	2	1
68	в той или	1	1
69	и то же	2	1
70	никогда не было	1	1
71	в свою очередь	2	1
72	а за ними	1	1
73	одно и то	2	1
