N	2gram	Tiupa_Anal_3	formyVre
1	и в	18	50
2	то есть	10	33
3	в романе	2	32
4	в этом	14	25
5	в нем	2	24
6	частной жизни	1	23
7	человека в	1	17
8	и его	13	16
9	в литературе	1	16
10	прежде всего	5	15
11	как мы	1	14
12	и не	12	14
13	в его	7	13
14	вовсе не	1	13
15	как раз	7	13
16	так и	14	12
17	человека и	1	11
18	то же	3	11
19	мы уже	1	11
20	таким образом	4	11
21	может быть	9	11
22	и как	4	10
23	но в	2	10
24	с его	8	9
25	все эти	2	9
26	роль в	3	9
27	не только	22	9
28	в то	3	9
29	ничего не	3	9
30	же время	3	9
31	в том	9	9
32	в конце	5	9
33	в особенности	3	9
34	и др	1	9
35	того же	5	8
36	и на	4	8
37	в самом	5	8
38	жизненный путь	1	8
39	жизни в	1	8
40	но и	13	8
41	и их	1	8
42	как и	14	8
43	жизни и	1	8
44	так сказать	2	7
45	для себя	1	7
46	не было	3	7
47	героя и	4	7
48	например в	2	6
49	время в	1	6
50	во всех	2	6
51	как в	3	6
52	с этим	3	6
53	все же	4	6
54	лишь в	5	6
55	это не	2	6
56	и того	3	6
57	в их	6	6
58	с ее	3	6
59	в ее	3	6
60	в дальнейшем	2	6
61	связи с	1	6
62	в жизни	2	6
63	у него	1	6
64	то что	2	6
65	в частности	12	6
66	не может	2	6
67	в результате	5	6
68	и все	2	6
69	отношению к	7	5
70	и до	1	5
71	еще не	6	5
72	но не	7	5
73	отнюдь не	4	5
74	и у	1	5
75	не в	6	5
76	он не	6	5
77	всех этих	1	5
78	с самим	2	5
79	жизни но	1	5
80	одного и	3	5
81	в основе	1	5
82	того чтобы	1	5
83	точки зрения	3	5
84	не могло	1	5
85	могут быть	2	5
86	в пределах	4	5
87	если бы	1	5
88	хронотоп в	1	5
89	для того	1	5
90	в связи	1	5
91	что в	9	5
92	и другие	1	5
93	мы и	1	4
94	в ней	2	4
95	в своем	4	4
96	раз в	1	4
97	время и	1	4
98	в них	2	4
99	том что	12	4
100	потому что	1	4
101	к себе	1	4
102	жизни героев	1	4
103	здесь не	3	4
104	было и	1	4
105	жизнь и	3	4
106	или как	1	4
107	только в	2	4
108	характерно что	1	4
109	и т.п	5	4
110	в той	2	4
111	своей жизни	1	4
112	все это	3	4
113	между собой	1	4
114	и для	2	4
115	себе самому	2	4
116	отношения к	2	3
117	по преимуществу	2	3
118	не имеют	1	3
119	есть не	2	3
120	мы не	3	3
121	в сущности	5	3
122	по отношению	7	3
123	хотя и	2	3
124	со своей	8	3
125	в себе	2	3
126	вследствие этого	1	3
127	при этом	11	3
128	его в	3	3
129	входит в	2	3
130	с другими	1	3
131	место и	1	3
132	между ними	1	3
133	что было	1	3
134	но они	2	3
135	этом отношении	3	3
136	вальтера скотта	2	3
137	не могут	1	3
138	героев и	1	3
139	к тому	6	3
140	самим собою	1	3
141	формы и	1	3
142	все его	1	3
143	что и	5	3
144	во всей	1	3
145	в форме	2	3
146	один из	2	3
147	одной из	1	3
148	и ее	2	3
149	с одной	2	3
150	со всеми	2	3
151	в качестве	12	3
152	же в	2	3
153	в начале	6	3
154	одно из	1	3
155	в одном	4	3
156	до сих	1	3
157	связаны с	1	3
158	с мотивом	1	3
159	именно в	3	3
160	себя и	1	3
161	что не	3	3
162	только к	2	3
163	с тем	2	3
164	а не	9	3
165	в одно	1	3
166	на фоне	1	3
167	вместе с	2	3
168	и потому	2	3
169	да и	2	3
170	сих пор	1	3
171	а в	10	3
172	не знает	1	3
173	сказать что	2	3
174	они не	1	3
175	к этому	3	3
176	в таком	1	3
177	во всяком	2	3
178	же типу	1	2
179	здесь и	3	2
180	к другому	1	2
181	той же	5	2
182	и момент	1	2
183	вопрос о	1	2
184	принадлежит к	4	2
185	на себя	2	2
186	на них	1	2
187	в широком	1	2
188	как если	1	2
189	мы будем	1	2
190	в истории	1	2
191	для всех	2	2
192	встречи с	1	2
193	с их	3	2
194	и к	4	2
195	мир и	1	2
196	имеет в	1	2
197	от этого	1	2
198	в целом	3	2
199	момент его	1	2
200	тому же	3	2
201	как бы	10	2
202	все другие	1	2
203	и еще	1	2
204	не как	2	2
205	характер в	1	2
206	поэтому оно	1	2
207	каково же	1	2
208	уже не	5	2
209	этом мире	1	2
210	и по	2	2
211	но дело	1	2
212	об этом	2	2
213	самим собой	1	2
214	было бы	3	2
215	на почве	1	2
216	из нее	1	2
217	нет в	1	2
218	рядом с	1	2
219	в поступках	1	2
220	автора и	1	2
221	весьма часто	1	2
222	места в	1	2
223	для него	6	2
224	в своей	1	2
225	с точки	2	2
226	место в	1	2
227	в отличие	2	2
228	по себе	4	2
229	всех последующих	1	2
230	дело в	2	2
231	никогда не	5	2
232	под углом	1	2
233	в самой	1	2
234	и является	1	2
235	во всем	3	2
236	не столь	1	2
237	той или	3	2
238	оно не	1	2
239	правда не	1	2
240	этого целого	1	2
241	всего этого	1	2
242	романе в	1	2
243	природе своей	1	2
244	те же	2	2
245	здесь как	1	2
246	по природе	1	2
247	отсюда и	1	2
248	с ним	1	2
249	или иной	5	2
250	в глаза	2	2
251	а также	2	2
252	в значительной	2	2
253	связь между	1	2
254	во втором	4	2
255	там где	2	2
256	того что	1	2
257	разного рода	1	2
258	всякого рода	1	2
259	углом зрения	2	2
260	в стороне	1	2
261	есть в	1	2
262	уже в	3	2
263	его и	1	2
264	не для	2	2
265	с этими	1	2
266	отношение к	1	2
267	к ним	1	2
268	не о	1	2
269	отличие от	2	2
270	жизни на	1	2
271	тем что	2	2
272	лишь один	1	2
273	и даже	8	2
274	о своей	2	2
275	с другой	7	2
276	не обязательно	1	2
277	я был	1	2
278	далеко не	4	2
279	и прежде	2	2
280	еще и	3	2
281	в соответствии	2	2
282	одной стороны	2	2
283	он только	1	2
284	жизнь в	1	2
285	он становится	1	2
286	что мы	2	2
287	здесь только	1	2
288	с помощью	1	2
289	вступает в	3	2
290	этого момента	1	2
291	неотделимо от	1	2
292	в данном	4	2
293	к жизни	3	2
294	в течение	1	2
295	как испытание	1	2
296	не является	5	2
297	одна из	2	2
298	в мировой	1	2
299	уже на	1	2
300	и может	1	2
301	мы должны	1	2
302	хотя бы	1	2
303	ее в	1	2
304	личности и	2	2
305	совершенно не	2	2
306	в свою	5	2
307	этой проблемы	1	2
308	я и	3	1
309	начинается с	1	1
310	связана с	1	1
311	в христианском	1	1
312	идет о	1	1
313	и есть	1	1
314	тем же	1	1
315	фольклора и	1	1
316	из самых	1	1
317	жизни ее	1	1
318	в зависимости	1	1
319	в доме	1	1
320	собою в	1	1
321	по его	3	1
322	со всех	1	1
323	мы имеем	5	1
324	и само	1	1
325	бы в	1	1
326	при анализе	1	1
327	бы и	2	1
328	на себе	1	1
329	я не	1	1
330	как я	1	1
331	зависимости от	1	1
332	и он	2	1
333	о судьбе	1	1
334	всех сторон	1	1
335	он был	1	1
336	он сам	1	1
337	роман и	1	1
338	самом деле	2	1
339	данном случае	3	1
340	и читателей	1	1
341	но как	3	1
342	этого мотива	1	1
343	свою жизнь	2	1
344	вступают в	1	1
345	были глубоко	1	1
346	тому времени	1	1
347	и место	1	1
348	внешних и	1	1
349	независимо от	1	1
350	человеческого бытия	1	1
351	что касается	3	1
352	перед нами	4	1
353	тех случаях	1	1
354	в полном	1	1
355	упоминаемые в	1	1
356	могли бы	2	1
357	по пути	4	1
358	и сам	4	1
359	один ряд	1	1
360	самом начале	1	1
361	себе не	1	1
362	а перед	1	1
363	и свою	1	1
364	героев на	1	1
365	литературы в	1	1
366	целого произведения	1	1
367	сливается с	1	1
368	та же	1	1
369	бы не	1	1
370	из этих	3	1
371	но без	1	1
372	в этой	6	1
373	это тот	1	1
374	частности с	1	1
375	и тот	1	1
376	порядку и	1	1
377	ведет себя	1	1
378	помимо своей	1	1
379	на то	1	1
380	не могла	2	1
381	связан со	1	1
382	не следует	1	1
383	стремится к	1	1
384	о которой	2	1
385	литературных произведений	3	1
386	его можно	1	1
387	в большой	1	1
388	без исключения	3	1
389	началась и	1	1
390	такого же	1	1
391	значительной степени	2	1
392	здесь мы	1	1
393	могла бы	2	1
394	факт что	1	1
395	в мире	5	1
396	есть одна	1	1
397	это было	1	1
398	особенно в	1	1
399	ко второму	3	1
400	лишь на	3	1
401	целостности и	1	1
402	на свои	1	1
403	еще недавно	1	1
404	о которых	2	1
405	на второй	1	1
406	жизни героя	1	1
407	в самую	1	1
408	которой он	1	1
409	должно быть	1	1
410	в один	1	1
411	и тогда	1	1
412	в эту	1	1
413	этом случае	1	1
414	таким же	1	1
415	особенности же	1	1
416	не становится	1	1
417	всяком случае	2	1
418	страсти и	1	1
419	самый момент	1	1
420	однако этот	1	1
421	не столько	3	1
422	самого героя	1	1
423	говорил о	1	1
424	далее в	1	1
425	своего рода	8	1
426	не путем	1	1
427	должны были	1	1
428	единство и	1	1
429	и внутренних	1	1
430	остается вне	1	1
431	теми же	1	1
432	не должно	3	1
433	для нее	1	1
434	так называемого	1	1
435	всех событий	1	1
436	литературу в	1	1
437	же мы	1	1
438	это случается	1	1
439	из которых	1	1
440	вплоть до	2	1
441	до известной	3	1
442	понимаем как	1	1
443	как о	1	1
444	дело не	3	1
445	события как	1	1
446	они же	1	1
447	не вызывает	1	1
448	и политического	1	1
449	своей природе	1	1
450	по своей	2	1
451	у нас	1	1
452	в момент	2	1
453	и вступает	1	1
454	ни был	1	1
455	всего они	1	1
456	похож на	1	1
457	жанров в	1	1
458	в осмысленном	1	1
459	бы он	1	1
460	в каждом	3	1
461	и был	1	1
462	т.п в	1	1
463	внутренний хронотоп	1	1
464	свою очередь	4	1
465	были бы	3	1
466	его поступки	1	1
467	в организации	1	1
468	нет никакой	1	1
469	в себя	2	1
470	степени и	1	1
471	не возникает	1	1
472	так в	3	1
473	приводит к	4	1
474	в другом	1	1
475	и ту	2	1
476	живет в	1	1
