N	2gram	Vygotskiy__5	Otkroven
1	у него	6	22
2	и в	16	19
3	но и	6	13
4	и не	12	13
5	в этом	25	12
6	не в	6	11
7	не только	16	11
8	может быть	9	11
9	а не	10	11
10	вопрос о	12	10
11	в нем	7	10
12	и все	1	10
13	в самой	1	9
14	прежде всего	3	9
15	не было	1	9
16	никогда не	5	9
17	потому что	21	9
18	он был	1	8
19	и он	1	8
20	в его	11	7
21	он не	8	7
22	лишь в	1	7
23	до конца	3	7
24	но он	7	7
25	от него	1	7
26	как и	8	6
27	все это	2	6
28	до самого	1	5
29	отношение к	11	5
30	в том	18	5
31	в самом	4	5
32	в этой	6	5
33	для него	5	5
34	а в	3	5
35	то что	26	5
36	человеку и	1	5
37	он сам	1	4
38	с его	1	4
39	все эти	4	4
40	его мысли	3	4
41	что не	1	4
42	не может	18	4
43	того чтобы	17	4
44	и его	3	4
45	что в	16	4
46	и есть	7	3
47	о том	8	3
48	еще не	4	3
49	к нему	3	3
50	было бы	10	3
51	того что	16	3
52	когда он	2	3
53	что он	25	3
54	и ее	1	3
55	в себе	1	3
56	о природе	1	3
57	не могут	4	3
58	для того	14	3
59	это было	1	3
60	это не	4	3
61	только одно	1	3
62	чем на	1	3
63	никто не	2	3
64	мысли и	5	3
65	могут быть	4	3
66	как бы	5	3
67	с ним	5	3
68	и от	2	3
69	в этих	3	3
70	хотя бы	5	3
71	в своих	2	3
72	все что	2	3
73	он прежде	1	2
74	и с	3	2
75	из всего	1	2
76	и то	4	2
77	в ее	1	2
78	мысль о	1	2
79	что у	2	2
80	так и	7	2
81	и о	1	2
82	по себе	7	2
83	вместо того	3	2
84	их не	1	2
85	и на	6	2
86	что и	3	2
87	самого конца	1	2
88	что они	5	2
89	в истории	2	2
90	как к	1	2
91	в своем	5	2
92	все же	3	2
93	и к	2	2
94	в этот	2	2
95	и потому	2	2
96	должен был	1	2
97	и этим	1	2
98	в которой	5	2
99	он в	3	2
100	учение о	2	2
101	так что	4	2
102	уже в	1	2
103	в единстве	2	2
104	что для	2	2
105	же это	1	2
106	много раз	1	2
107	так как	16	2
108	и никогда	1	2
109	тем что	5	2
110	в других	1	2
111	в другом	6	2
112	и из	2	2
113	его в	2	2
114	сказать что	13	2
115	с тем	3	2
116	чем в	3	2
117	должно быть	8	2
118	том что	15	2
119	ко всем	1	2
120	на периферии	1	2
121	для всякого	1	2
122	к этому	3	2
123	что же	1	2
124	и там	1	2
125	с которой	1	2
126	ничего кроме	1	2
127	не имеет	4	2
128	и для	1	2
129	ничего не	5	2
130	к ней	1	2
131	ничто не	2	2
132	потребность в	4	2
133	не есть	4	2
134	в своей	2	2
135	что все	6	2
136	к этой	3	2
137	ее в	3	2
138	но в	6	2
139	смысле слова	1	1
140	и это	1	1
141	отношения к	2	1
142	не показал	1	1
143	также и	1	1
144	например в	1	1
145	не делает	1	1
146	связана с	1	1
147	в виду	2	1
148	сам по	1	1
149	не могу	1	1
150	на самом	1	1
151	с каким	2	1
152	но тем	1	1
153	тем же	1	1
154	между двумя	3	1
155	из самых	1	1
156	к другому	1	1
157	не те	1	1
158	не имеют	2	1
159	должна быть	5	1
160	и больше	1	1
161	природе своей	1	1
162	этот период	2	1
163	можно было	5	1
164	не овладел	1	1
165	не с	2	1
166	есть не	2	1
167	собой в	1	1
168	которая была	1	1
169	мы не	3	1
170	том как	2	1
171	ту же	2	1
172	по сравнению	5	1
173	связан с	1	1
174	если бы	8	1
175	для раскрытия	1	1
176	в сущности	13	1
177	но может	1	1
178	находится в	2	1
179	другом месте	4	1
180	себе что	1	1
181	но к	1	1
182	в ней	2	1
183	на примере	3	1
184	и что	12	1
185	после того	1	1
186	все его	1	1
187	вопросу о	1	1
188	нет у	1	1
189	самом деле	3	1
190	в которую	1	1
191	но ничего	1	1
192	возможности и	1	1
193	и вопрос	1	1
194	но не	10	1
195	которых в	1	1
196	с трудом	1	1
197	сравнению с	5	1
198	которая представляется	1	1
199	нуждается в	1	1
200	говорит он	2	1
201	в форме	1	1
202	есть просто	1	1
203	все время	1	1
204	он попал	1	1
205	в центре	2	1
206	в одной	1	1
207	содержание всего	2	1
208	как в	5	1
209	друг к	1	1
210	как например	1	1
211	в частности	3	1
212	он что	1	1
213	один из	1	1
214	что только	2	1
215	сознания в	3	1
216	и как	3	1
217	с ними	1	1
218	ли он	1	1
