N	4gram	Tiupa_Disk_1	VLabPisa
1	в то же время	3	5
2	и в то же	1	3
3	и не может быть	1	2
4	в большей или меньшей	1	2
5	с одной стороны и	2	2
6	в том числе и	2	2
7	большей или меньшей степени	1	2
8	мы имеем дело с	1	1
9	только в том что	1	1
10	дело не в том	1	1
11	в том или ином	1	1
12	одно и то же	1	1
13	не в том что	1	1
14	если можно так выразиться	1	1
15	может быть определена как	2	1
16	с большей или меньшей	1	1
17	именно в том что	1	1
18	говорит о том что	1	1
19	нет и не может	1	1
20	а в том что	2	1
21	не говоря уже о	2	1
