N	3gram	Potebnia_M_3	Otkroven
1	у него в	1	5
2	для того чтобы	3	3
3	а не в	1	2
4	это было бы	1	2
5	не может быть	3	2
6	но и в	4	2
7	не могут быть	2	2
8	смысле этого слова	7	1
9	от человека к	1	1
10	человека и все	1	1
11	в строгом смысле	1	1
12	не в том	5	1
13	в этих словах	1	1
14	в человеческой душе	2	1
15	потому что в	1	1
16	в самом деле	1	1
17	и в том	2	1
18	строгом смысле этого	1	1
19	бросается в глаза	1	1
20	приходит в голову	1	1
21	к нему как	2	1
22	может быть назван	1	1
23	было для него	1	1
24	сам по себе	5	1
25	который в них	1	1
26	не в силах	1	1
27	само по себе	3	1
28	после того как	1	1
29	чтобы иметь право	1	1
30	о том что	1	1
31	в этом отношении	2	1
32	прежде всего он	1	1
33	есть одно из	2	1
34	и в самом	2	1
35	заключает в себе	5	1
36	никто не имеет	1	1
37	в том что	16	1
38	вообще но и	1	1
39	на то что	1	1
40	мысль о любви	1	1
41	всего что есть	1	1
42	в том случае	1	1
43	и то что	1	1
44	друг с другом	1	1
45	или лучше сказать	2	1
46	и все что	1	1
47	как и в	2	1
48	от того что	5	1
49	и в ее	1	1
50	еще ничего но	1	1
51	в одно время	1	1
