N	3gram	Tiupa_Anal_1	KulturaY
1	и т п	3	18
2	для того чтобы	3	15
3	в том что	9	15
4	с точки зрения	4	9
5	в том чтобы	7	8
6	по отношению к	5	8
7	в самом деле	2	7
8	с другой стороны	2	6
9	о том что	3	5
10	в зависимости от	1	5
11	в этом отношении	2	5
12	по крайней мере	1	5
13	во всяком случае	1	5
14	мере в какой	2	5
15	той мере в	2	5
16	в той мере	2	5
17	что же касается	1	4
18	до сих пор	1	4
19	не в том	3	4
20	том что он	2	4
21	состоит в том	3	3
22	более или менее	1	3
23	в этом смысле	1	3
24	в соответствии с	1	3
25	о том как	1	3
26	того или иного	3	3
27	только в том	1	3
28	вместе с тем	1	3
29	и тогда когда	1	3
30	в связи с	1	3
31	а с другой	1	3
32	в свою очередь	1	3
33	не может быть	16	3
34	и того же	2	2
35	того что в	2	2
36	в том и	2	2
37	в свое время	2	2
38	то же время	6	2
39	того чтобы быть	1	2
40	этой точки зрения	1	2
41	и в самом	1	2
42	одного и того	2	2
43	в то же	8	2
44	к тому что	1	2
45	но прежде всего	1	1
46	в том виде	1	1
47	что иное как	5	1
48	уже не с	1	1
49	бы не может	1	1
50	в данный момент	1	1
51	не говоря уже	1	1
52	так и не	1	1
53	с одной стороны	3	1
54	как раз и	1	1
55	том случае если	1	1
56	есть в сущности	1	1
57	сами по себе	2	1
58	только для того	1	1
59	в отличие от	6	1
60	можно сказать на	1	1
61	может быть как	1	1
62	по своему содержанию	1	1
63	а вместе с	1	1
64	в собственном смысле	1	1
65	состоит не в	1	1
66	в сущности говоря	1	1
67	в противном случае	1	1
68	в этом понимании	1	1
69	для науки о	1	1
70	с этой точки	1	1
71	и не в	4	1
72	в том случае	1	1
73	одно и то	1	1
74	в виду не	1	1
75	в первом случае	2	1
76	и на все	1	1
77	не только в	1	1
78	в акте понимания	1	1
79	тех или иных	2	1
80	и то же	1	1
81	и вместе с	1	1
82	культуры в целом	1	1
83	имеем в виду	1	1
84	дело не в	1	1
85	а вовсе не	1	1
86	только в его	1	1
87	собственном смысле слова	1	1
88	самом деле в	1	1
89	содержат в себе	1	1
90	с легкой руки	2	1
91	и все же	2	1
92	можно обозначить как	1	1
93	иметь дело не	1	1
94	вместе с ним	2	1
95	между тем как	1	1
96	по аналогии с	1	1
97	лишь в том	3	1
98	далеко не всегда	2	1
99	дело не с	1	1
100	и тем самым	1	1
101	широком смысле этого	1	1
102	той или иной	6	1
103	следует думать что	1	1
104	мы имеем в	1	1
105	смысле этого слова	1	1
106	во втором случае	1	1
107	не что иное	4	1
108	только тогда когда	1	1
109	а то и	1	1
110	не следует думать	1	1
