N	4gram	Berdyaev_M_1	NovoeSre
1	это не значит что	1	2
2	в ней нет ничего	1	1
3	переходит в свою противоположность	2	1
4	в том смысле в	1	1
5	в глубочайшем смысле слова	2	1
6	а не в том	1	1
7	слова а не в	1	1
8	она не может быть	1	1
9	есть вместе с тем	1	1
10	в то время как	2	1
11	в том случае если	1	1
12	и вместе с тем	4	1
13	о человеке и его	5	1
14	смысле слова а не	1	1
15	человека не может быть	1	1
16	то нет и человека	2	1
17	в конце новой истории	1	1
18	не во имя свободы	1	1
19	том смысле в каком	1	1
20	когда мы говорим что	1	1
