N	3gram	Bakhtin_KF_1	KulturaY
1	в том что	2	10
2	с точки зрения	9	8
3	для того чтобы	1	8
4	в этом смысле	3	5
5	во всяком случае	1	5
6	само по себе	1	5
7	тем не менее	2	5
8	в зависимости от	1	4
9	и тем не	1	4
10	не может быть	11	4
11	уже не может	2	3
12	в лучшем случае	1	3
13	то же время	2	3
14	в то же	2	3
15	а следовательно и	1	2
16	на самом деле	3	2
17	в соответствии с	2	2
18	только в том	1	2
19	хотя бы и	1	2
20	несмотря на то	1	2
21	то или иное	2	2
22	вместе с тем	1	2
23	в том случае	1	2
24	может быть только	7	2
25	дело не в	1	2
26	в свою очередь	1	2
27	того или иного	3	2
28	в конечном счете	1	2
29	мы говорим о	1	2
30	на то что	1	2
31	в том смысле	1	1
32	он должен быть	1	1
33	то что я	2	1
34	со стороны ее	1	1
35	дело в том	1	1
36	в этом последнем	1	1
37	в настоящее время	1	1
38	уже не в	1	1
39	влечет за собой	1	1
40	но как и	1	1
41	но все это	1	1
42	это не имеет	1	1
43	конечно не может	1	1
44	бы то ни	2	1
45	но можно ли	1	1
46	не было бы	3	1
47	имеет дело лишь	1	1
48	но и здесь	3	1
49	но это не	1	1
50	и говорить о	1	1
51	самого по себе	1	1
52	и не в	1	1
53	в каких бы	1	1
54	и то что	1	1
55	свой смысл и	1	1
56	но может быть	1	1
57	может быть и	1	1
58	связанных с ними	1	1
59	в значительной степени	1	1
60	все это в	1	1
61	за собой и	1	1
62	том что мы	1	1
63	не потому что	1	1
64	то ни было	2	1
65	смысле этого слова	1	1
66	не значит что	1	1
67	в известном смысле	1	1
68	всю свою жизнь	1	1
69	в противном случае	1	1
70	не в том	1	1
71	там где его	1	1
72	мы имеем здесь	1	1
73	не должно быть	1	1
74	вследствие того что	1	1
75	на этом пути	1	1
76	вместо того чтобы	1	1
77	тем или иным	1	1
78	и пр и	1	1
79	ни в каком	2	1
80	но для того	1	1
81	оно могло бы	1	1
82	и не должен	1	1
83	а не просто	1	1
84	еще не решает	1	1
85	если бы я	1	1
86	смысл лишь в	1	1
87	никто конечно не	1	1
88	в другом случае	1	1
89	в большинстве случаев	1	1
90	к тому что	1	1
91	они имеют смысл	1	1
92	не только от	1	1
93	в данный момент	3	1
94	все это только	1	1
95	дело лишь с	1	1
96	каких бы условиях	1	1
97	только тогда когда	1	1
