N	2gram	Trubetskoy_1	Analitik
1	в качестве	3	31
2	может быть	10	29
3	в том	11	27
4	не может	4	22
5	и не	8	21
6	и в	26	18
7	но и	9	17
8	а не	5	17
9	представляет собой	3	16
10	не только	10	15
11	тогда как	1	14
12	не в	2	14
13	в этом	15	13
14	как и	1	13
15	в его	5	13
16	при этом	3	12
17	том что	7	12
18	в себе	6	11
19	то есть	4	11
20	состоит в	2	11
21	но не	8	10
22	то же	4	9
23	в то	4	9
24	а в	4	9
25	есть не	1	8
26	в мире	5	8
27	но в	7	8
28	в той	1	8
29	не есть	1	8
30	к тому	6	7
31	этого слова	1	7
32	мы имеем	2	6
33	в сущности	1	6
34	по отношению	1	6
35	отличие от	1	6
36	в самом	4	6
37	это не	1	6
38	далеко не	4	6
39	точки зрения	13	6
40	в своей	1	6
41	в отличие	1	6
42	по своей	2	6
43	той или	2	6
44	в себя	1	6
45	же время	2	6
46	только в	4	6
47	себя в	1	6
48	то что	7	6
49	или иной	2	6
50	прежде всего	2	6
51	в их	1	5
52	и на	2	5
53	и как	3	5
54	в этой	4	5
55	лишь в	5	5
56	и его	1	5
57	о том	6	5
58	и того	1	5
59	между тем	2	5
60	как бы	12	5
61	отношению к	3	5
62	и состоит	1	5
63	что в	9	5
64	того же	6	4
65	в широком	1	4
66	все же	6	4
67	тому же	5	4
68	не следует	1	4
69	с другими	4	4
70	не всегда	2	4
71	с точки	6	4
72	и более	1	4
73	по себе	1	4
74	в области	9	4
75	ни в	1	4
76	могут быть	1	4
77	так и	6	4
78	не с	2	4
79	с ним	1	4
80	с другой	8	4
81	того что	3	4
82	дело с	1	4
83	уже не	3	4
84	для того	5	4
85	именно в	2	4
86	вместе с	15	4
87	из которых	4	4
88	не более	1	4
89	ни было	2	4
90	как известно	1	3
91	одним из	2	3
92	таком случае	1	3
93	мере в	1	3
94	и есть	1	3
95	место в	1	3
96	это всегда	1	3
97	бы то	2	3
98	если в	3	3
99	в рамках	3	3
100	однако не	1	3
101	и к	5	3
102	в нашем	1	3
103	в нем	4	3
104	он не	4	3
105	вследствие этого	1	3
106	в силу	5	3
107	таким образом	22	3
108	то ни	2	3
109	бы быть	1	3
110	даже в	1	3
111	в котором	4	3
112	при рассмотрении	1	3
113	однако в	1	3
114	дело не	1	3
115	того чтобы	5	3
116	в таком	3	3
117	или ином	1	3
118	не могут	2	3
119	в состав	1	3
120	если бы	3	3
121	а также	2	3
122	к нему	7	3
123	с его	2	3
124	том или	1	3
125	еще не	2	3
126	с одной	7	3
127	ни с	1	3
128	никто не	1	3
129	что и	6	3
130	одной стороны	7	3
131	а именно	1	3
132	а с	7	3
133	смысла и	1	3
