N	2gram	Savitsky_P_1	Formalny
1	т е	3	34
2	и в	14	24
3	в его	2	23
4	прежде всего	3	22
5	и не	12	20
6	и пр	5	17
7	не может	4	16
8	точки зрения	3	16
9	в этом	10	15
10	в нем	3	14
11	может быть	5	14
12	с точки	3	13
13	и т	3	12
14	именно как	2	12
15	не менее	2	11
16	должно быть	2	11
17	как и	1	11
18	в своем	4	11
19	и ее	1	10
20	настоящее время	1	10
21	то же	9	10
22	в настоящее	1	10
23	а не	2	10
24	в ней	6	10
25	в то	7	9
26	и потому	4	9
27	все это	2	9
28	же время	7	8
29	т д	1	8
30	не в	5	8
31	и с	2	8
32	в ее	2	8
33	то что	4	8
34	и на	1	8
35	именно в	2	8
36	место в	1	7
37	но и	6	7
38	с ее	1	7
39	не только	17	7
40	должна быть	1	7
41	и здесь	1	6
42	еще не	1	6
43	среды в	1	6
44	а в	4	6
45	отношения к	2	6
46	в том	9	6
47	в живом	1	6
48	отнюдь не	2	6
49	в идеологическом	1	6
50	она не	1	6
51	на основе	1	6
52	или менее	1	6
53	более или	1	6
54	в этой	1	6
55	было бы	6	6
56	в пределах	8	6
57	как бы	4	6
58	только на	1	5
59	бы ни	2	5
60	во всех	2	5
61	по себе	4	5
62	хотя бы	8	5
63	того что	2	5
64	в самом	1	5
65	должен быть	1	5
66	с другой	5	5
67	но в	9	5
68	со стороны	2	5
69	в которой	1	4
70	главным образом	2	4
71	во всяком	1	4
72	так же	1	4
73	исходить из	1	4
74	этой последней	1	4
75	стороны и	2	4
76	что в	4	4
77	в формах	1	4
78	и к	4	4
79	к этой	1	4
80	в истории	1	4
81	никогда не	1	4
82	всяком случае	1	4
83	друг друга	1	4
84	одной стороны	3	4
85	для этого	1	4
86	отчасти и	1	4
87	с одной	3	4
88	в мире	2	4
89	не как	1	4
90	в частности	2	4
91	как проблема	1	4
92	если бы	4	4
93	с его	1	4
94	как на	2	4
95	сводится к	3	3
96	все же	1	3
97	же в	4	3
98	думать что	2	3
99	не было	2	3
100	в жизни	2	3
101	в большинстве	1	3
102	тем самым	3	3
103	если он	1	3
104	но не	3	3
105	время в	2	3
106	особенно в	1	3
107	и других	2	3
108	в россии	3	3
109	она должна	1	3
110	они не	1	3
111	в европейском	1	3
112	культуры и	1	3
113	а н	5	3
114	в отношении	10	3
115	и чем	1	3
116	как она	1	3
117	ясно что	1	3
118	в каждом	1	3
119	в них	2	3
120	как к	1	3
121	мы не	3	3
122	в основном	1	3
123	его в	1	3
124	в области	11	3
125	не о	2	3
126	на фоне	1	3
127	в общем	2	3
128	ни на	1	3
129	и как	3	3
130	в себе	3	3
131	дело идет	1	3
132	но для	1	3
133	не могла	1	2
134	может и	2	2
135	но есть	1	2
136	и вот	2	2
137	вопрос о	1	2
138	только как	1	2
139	ни были	1	2
140	прежде чем	1	2
141	происходит и	1	2
142	большинстве случаев	1	2
143	к другим	1	2
144	вопрос об	1	2
145	из этой	1	2
146	как раз	2	2
147	и должна	1	2
148	иначе как	1	2
149	образом на	2	2
150	нисколько не	1	2
151	последней в	1	2
152	с тем	3	2
153	в применении	1	2
154	вместе с	1	2
155	она есть	3	2
156	между тем	3	2
157	сами по	3	2
158	это не	3	2
159	сводилась к	1	2
160	не с	1	2
161	философской и	1	2
162	в душе	1	2
163	из важнейших	2	2
164	что было	1	2
165	с этим	2	2
166	тот или	1	2
167	только в	7	2
168	и если	4	2
169	отношении к	5	2
170	одна из	2	2
171	же как	1	2
172	во всей	2	2
173	что и	1	2
174	и что	1	2
175	в результате	1	2
176	начала и	2	2
177	сменяют друг	1	2
178	в различных	1	2
179	в ряду	2	2
180	и техники	1	2
181	от нее	1	2
182	к миру	1	2
183	если мы	1	2
184	и особенно	1	2
185	бы оно	1	2
186	в эту	2	2
187	и это	2	2
188	применении к	1	2
189	на нее	1	2
190	литературы и	1	2
191	еще в	1	2
192	не есть	1	2
193	и более	1	2
194	единства в	1	1
195	по природе	1	1
196	стремиться к	1	1
197	по-видимому не	2	1
198	какой бы	1	1
199	в борьбе	1	1
200	в отдельности	1	1
201	том что	4	1
202	сравнению с	1	1
203	большей степени	4	1
204	для нас	2	1
205	мире в	1	1
206	это значение	1	1
207	числе и	1	1
208	говорить о	2	1
209	сложны и	1	1
210	с разных	1	1
211	в русском	2	1
212	в бытии	1	1
213	чем другие	1	1
214	исторической действительности	1	1
215	для них	2	1
216	выработанные в	1	1
