N	3gram	Voloshinov_1	Otkroven
1	для того чтобы	1	3
2	что же это	1	2
3	это было бы	1	2
4	не может быть	3	2
5	но и в	1	2
6	не могут быть	3	2
7	же это за	1	2
8	человека и все	1	1
9	как будто бы	1	1
10	по сравнению с	1	1
11	хотя и не	1	1
12	том что в	1	1
13	в самом деле	5	1
14	и есть та	1	1
15	как бы в	1	1
16	он не только	1	1
17	приходит в голову	1	1
18	и влечет к	1	1
19	ее в этом	1	1
20	и не может	1	1
21	во всяком случае	3	1
22	было для него	1	1
23	сам по себе	2	1
24	он должен был	1	1
25	не в силах	2	1
26	он и не	1	1
27	о том что	1	1
28	в этом отношении	2	1
29	в этот период	3	1
30	но никогда не	1	1
31	и прежде всего	5	1
32	то что говорит	1	1
33	в том что	4	1
34	а иногда и	1	1
35	в первый период	4	1
36	никогда не являлось	1	1
37	нужно отметить что	1	1
38	он никогда не	1	1
39	он в глубине	1	1
40	что он был	1	1
