N	3gram	Savitsky_P_1	Mirosoze
1	не может быть	1	8
2	есть прежде всего	1	5
3	для того чтобы	1	4
4	так же как	1	3
5	и в этом	1	3
6	в творчестве достоевского	1	3
7	должен быть отвергнут	1	2
8	в отношении к	5	2
9	только в россии	1	2
10	в россии и	1	2
11	в том что	4	2
12	том что в	1	1
13	мы видим в	1	1
14	есть та или	1	1
15	с точки зрения	3	1
16	в этом мире	1	1
17	хотя бы это	1	1
18	и быть может	1	1
19	но и в	2	1
20	в противоречии с	1	1
21	по сравнению с	1	1
22	и будущее в	1	1
23	в xix веке	1	1
24	прошлое настоящее и	1	1
25	но также и	1	1
26	та или иная	1	1
27	настоящее и будущее	1	1
28	между тем в	1	1
29	другие народы мира	1	1
30	и в движении	1	1
31	экономического и политического	3	1
32	именно потому что	1	1
