N	3gram	Propp_Morf_1	Literetu
1	не может быть	9	7
2	с одной стороны	1	6
3	в том что	3	5
4	с другой стороны	4	4
5	состоит в том	2	4
6	по отношению к	4	3
7	в этом отношении	1	3
8	в данном случае	1	3
9	с точки зрения	2	3
10	о том что	1	2
11	подобно тому как	5	2
12	в этом случае	8	2
13	и то же	1	2
14	в е годы	1	2
15	тем не менее	4	2
16	одно и то	1	2
17	мы не можем	1	1
18	ответ на свой	1	1
19	приводит к тому	1	1
20	бы то ни	3	1
21	во многих отношениях	1	1
22	по существу мысль	1	1
23	на свой вопрос	1	1
24	но это и	1	1
25	тех или иных	1	1
26	для того чтобы	2	1
27	является одним из	1	1
28	то ни было	2	1
29	после того как	1	1
30	к тому что	3	1
31	это и не	2	1
32	во всей своей	1	1
33	в последнем случае	2	1
34	имеет ничего общего	1	1
35	на самом деле	4	1
36	которые не могут	1	1
37	не могут быть	2	1
38	какого бы то	1	1
39	в дальний путь	1	1
40	уже отмечалось выше	1	1
41	но то что	1	1
42	что же касается	1	1
43	не имеет ничего	1	1
44	в бою и	1	1
45	может быть названа	1	1
