N	3gram	Medvedev_U_1	FransuaR
1	то же время	3	8
2	в то же	3	8
3	в конце концов	2	4
4	и в то	1	4
5	более или менее	1	3
6	с другой стороны	3	3
7	в этой же	1	3
8	но конечно не	1	2
9	с одной стороны	1	2
10	не только в	1	2
11	можно сказать что	1	1
12	и в конце	1	1
13	другой стороны в	1	1
14	то же самое	2	1
15	на первый план	1	1
16	до сих пор	2	1
17	в той же	1	1
18	в этом отношении	2	1
19	литературы и искусства	1	1
20	и то что	2	1
21	в данном случае	1	1
22	но в то	1	1
23	тем что он	1	1
24	на первый взгляд	1	1
25	все же не	1	1
26	и все они	1	1
27	не может быть	4	1
28	в этом плане	1	1
29	же самое что	1	1
30	и независимо от	1	1
31	на эту книгу	1	1
32	в конечном счете	4	1
33	но это же	1	1
34	но даже и	2	1
35	но это не	1	1
36	тех или иных	2	1
37	в буквальном смысле	1	1
38	в том что	2	1
