N	2gram	Bakhtin_Pr_1	Stilisti
1	и в	38	42
2	не только	9	27
3	как бы	22	27
4	прежде всего	13	22
5	хотя бы	4	17
6	но и	9	15
7	то же	5	15
8	и не	42	14
9	не может	27	12
10	может быть	26	12
11	как и	7	11
12	мы уже	1	11
13	точки зрения	8	11
14	и как	8	10
15	как мы	7	10
16	в этом	15	10
17	отнюдь не	19	10
18	мы должны	2	10
19	что мы	1	10
20	при этом	5	9
21	то что	8	9
22	в то	4	9
23	для того	2	9
24	в себе	4	8
25	все же	6	8
26	таким образом	10	8
27	тем самым	4	8
28	с тем	1	8
29	в ней	4	8
30	и это	3	8
31	в которой	1	7
32	же время	3	7
33	того чтобы	2	7
34	а не	5	7
35	и от	3	7
36	и его	16	7
37	ничего не	6	7
38	никогда не	5	7
39	только в	13	7
40	и тем	3	7
41	и на	3	7
42	мы можем	6	7
43	с его	2	7
44	было бы	8	7
45	в форме	4	6
46	другими словами	2	6
47	так и	5	6
48	язык в	2	6
49	или как	3	6
50	в нем	15	6
51	не в	7	6
52	во всех	11	6
53	но ведь	1	6
54	в этой	1	6
55	в процессе	1	6
56	мы будем	3	6
57	в области	11	6
58	или иной	2	6
59	в свою	2	6
60	точек зрения	1	5
61	же мы	1	5
62	и с	17	5
63	и наконец	6	5
64	слова в	7	5
65	и является	1	5
66	в сознании	1	5
67	с помощью	7	5
68	как это	2	5
69	того или	2	5
70	в нашем	4	5
71	независимо от	13	5
72	вместе с	1	5
73	в той	1	5
74	слова и	3	5
75	что язык	1	5
76	в его	43	5
77	тому что	1	5
78	а в	6	5
79	с точки	6	5
80	или иного	2	5
81	не является	3	5
82	и следовательно	1	5
83	же самое	2	5
84	языка и	1	4
85	мы показали	1	4
86	бы в	1	4
87	можно сказать	2	4
88	так же	1	4
89	было в	1	4
90	что это	2	4
91	то есть	46	4
92	так называемые	1	4
93	и без	1	4
94	всех своих	2	4
95	художественного творчества	12	4
96	его в	9	4
97	того что	2	4
98	природы или	1	4
99	к своему	2	4
100	и к	3	4
101	все время	1	4
102	у нас	2	4
103	к тому	1	4
104	связаны с	2	4
105	свою очередь	1	4
106	мы увидим	3	4
107	в слове	3	4
108	вопроса о	3	4
109	в каждом	2	4
110	уже не	1	4
111	не существует	1	4
112	в самом	7	4
113	того времени	1	4
114	не что	1	4
115	не просто	1	4
116	мы называем	1	4
