N	3gram	Propp_Isto_2	Formalny
1	и т д	18	8
2	на самом деле	2	6
3	до сих пор	6	6
4	не может быть	2	5
5	по отношению к	3	4
6	с одной стороны	3	4
7	смысле этого слова	1	3
8	в зависимости от	1	2
9	как мы увидим	1	2
10	в связи с	4	2
11	в связи со	1	2
12	мы не можем	1	2
13	связи с этим	1	2
14	не только не	1	2
15	друг от друга	1	2
16	уже знаем что	2	1
17	и здесь нет	2	1
18	в этой роли	1	1
19	в ней и	1	1
20	они никогда не	2	1
21	т е она	1	1
22	как один из	1	1
23	и пр необходимо	1	1
24	и может быть	2	1
25	должно было бы	1	1
26	должен был бы	1	1
27	в том что	5	1
28	он должен быть	1	1
29	но и в	2	1
30	вместо того чтобы	2	1
31	в то что	1	1
32	со всех сторон	4	1
33	вместе с тем	5	1
34	но есть еще	1	1
35	то что было	1	1
36	в это время	1	1
37	мы видим что	5	1
38	т е в	1	1
39	и пр только	1	1
40	до конца и	1	1
41	и нисколько не	1	1
42	то же происходит	2	1
43	ни к какому	1	1
44	в высшей степени	1	1
45	может быть вполне	1	1
46	в отличие от	1	1
47	так или иначе	1	1
48	мы здесь не	1	1
49	но вместе с	1	1
50	и состоит в	1	1
51	часто встречается в	1	1
52	с другой стороны	2	1
53	так же как	4	1
54	т е к	1	1
55	чтобы вслед за	1	1
56	с самого начала	2	1
57	это значит что	1	1
58	но все эти	1	1
59	но все же	4	1
60	с этой стороны	1	1
61	не только на	1	1
62	ситуация при которой	1	1
63	как одна из	1	1
64	тем не менее	1	1
65	мы уже знаем	3	1
66	они не стали	1	1
67	всего этого не	1	1
68	еще указать на	1	1
69	мы увидим что	3	1
70	не в этом	1	1
71	но и непосредственно	1	1
72	в отдельности и	1	1
73	вне связи с	1	1
74	к которому отнесены	1	1
