N	2gram	Trubetskoy_1	IolandNe
1	и с	10	3
2	и не	8	2
3	в этом	15	2
4	он не	4	2
5	ничего не	1	2
6	что в	9	2
7	только что	2	1
8	все эти	6	1
9	после смерти	10	1
10	с другой	8	1
11	для него	3	1
12	того чтобы	5	1
13	того что	3	1
14	отношению к	3	1
15	когда его	1	1
16	и о	3	1
17	не так	1	1
18	а отсюда	1	1
19	вплоть до	2	1
20	от нее	1	1
21	это было	1	1
22	художественном творчестве	1	1
23	так и	6	1
24	к нам	1	1
25	но когда	2	1
26	ходить в	1	1
27	них не	2	1
28	могло бы	1	1
29	жизни и	2	1
30	по отношению	1	1
31	как о	3	1
32	себя в	1	1
33	у всех	2	1
34	этим и	1	1
35	если бы	3	1
36	того же	6	1
37	от этого	1	1
38	а с	7	1
39	это был	1	1
40	ничего в	1	1
41	в значительной	3	1
42	в первую	1	1
43	только для	2	1
44	и тот	1	1
45	значительной мере	2	1
46	первую очередь	1	1
47	а также	2	1
48	для того	5	1
49	бы в	1	1
50	нам в	1	1
51	а в	4	1
52	по существу	2	1
53	и в	26	1
54	как только	1	1
55	в эту	2	1
56	все это	6	1
57	со всеми	2	1
58	тем что	1	1
59	а по	1	1
60	другой стороны	1	1
61	никогда не	5	1
62	в них	2	1
