N	2gram	Savitsky_P_1	VeschiIm
1	не есть	1	49
2	т е	3	42
3	не может	4	33
4	не только	17	31
5	может быть	5	29
6	и не	12	28
7	и в	14	26
8	то что	4	24
9	и есть	2	23
10	и т	3	21
11	т д	1	20
12	а не	2	20
13	не просто	1	18
14	в смысле	6	15
15	только в	7	14
16	по себе	4	13
17	и что	1	13
18	того что	2	13
19	и то	1	12
20	есть не	2	12
21	все же	1	12
22	в себя	1	12
23	что это	1	12
24	было бы	6	12
25	и ее	1	12
26	но и	6	12
27	и –	1	12
28	то же	9	10
29	есть нечто	2	10
30	в ней	6	10
31	как бы	4	10
32	потому что	3	10
33	что мы	3	10
34	в самом	1	9
35	и с	2	9
36	в том	9	9
37	что не	1	9
38	прежде всего	3	9
39	с ее	1	8
40	в себе	3	8
41	на то	1	8
42	и это	2	8
43	она есть	3	8
44	также и	1	7
45	говорить о	2	7
46	в этом	10	7
47	его в	1	7
48	том что	4	7
49	в то	7	7
50	что оно	1	7
51	в свете	1	7
52	себя в	1	7
53	как раз	2	7
54	и пр	5	7
55	есть и	1	7
56	со стороны	2	6
57	и как	3	6
58	но в	9	6
59	бы и	1	6
60	одно и	1	6
61	точки зрения	3	6
62	она не	1	6
63	оно есть	1	6
64	ясно что	1	6
65	должно быть	2	6
66	и только	1	6
67	если мы	1	6
68	в результате	1	6
69	что в	4	6
70	на себя	1	5
71	но не	3	5
72	отнюдь не	2	5
73	как к	1	5
74	должна быть	1	5
75	это не	3	5
76	с тем	3	5
77	не в	5	5
78	в отношении	10	5
79	не менее	2	5
80	одна из	2	5
81	в ее	2	5
82	если бы	4	5
83	для этого	1	5
84	еще не	1	5
85	ни на	1	5
86	а в	4	5
87	собственном смысле	1	4
88	в и	1	4
89	мы не	3	4
90	во всех	2	4
91	с этим	2	4
92	в своем	4	4
93	и мы	2	4
94	как и	1	4
95	с точки	3	4
96	и более	1	4
97	что есть	1	4
98	же время	7	4
99	должен быть	1	4
100	и о	5	4
101	только то	1	4
102	с другой	5	4
103	что и	1	4
104	из них	2	4
105	и потому	4	4
106	в данном	1	4
107	в отдельности	1	4
108	только а	1	4
109	значило бы	1	4
110	явление и	1	4
111	о смысле	1	4
112	отношения к	2	3
113	бы что	1	3
114	вопрос о	1	3
115	только это	2	3
116	в а	2	3
117	более или	1	3
118	как оно	1	3
119	в нем	3	3
120	было в	2	3
121	в жизни	2	3
122	нисколько не	1	3
123	или менее	1	3
124	отрыве от	1	3
125	все это	2	3
126	между прочим	2	3
127	тогда когда	1	3
128	и притом	1	3
129	своего существования	1	3
130	само по	1	3
131	того чтобы	1	3
132	в философии	1	3
133	в собственном	1	3
134	нужно было	2	3
135	в отрыве	1	3
136	мы видим	1	3
137	тот же	3	3
138	но как	1	3
139	существует но	1	3
140	реальное и	1	3
141	только на	1	3
142	мы возьмем	1	3
143	никогда не	1	3
144	а с	1	3
145	вместе с	1	3
146	что именно	1	3
147	есть как	1	3
148	да и	2	3
149	она должна	1	3
150	она может	1	3
151	тем более	2	3
152	хотя бы	8	3
153	можно говорить	1	2
154	в сфере	2	2
155	переход от	2	2
156	тем же	1	2
157	к чему	2	2
158	бы ни	2	2
159	конечно и	1	2
160	не нужно	2	2
161	мысли и	1	2
162	не все	1	2
163	– по	1	2
164	наряду с	3	2
165	только один	1	2
