N	2gram	Losev_Prob_1	Literetu
1	не только	17	24
2	при этом	6	19
3	в качестве	2	17
4	но и	9	17
5	в том	9	16
6	а не	15	16
7	том что	12	14
8	в году	1	13
9	может быть	14	13
10	и не	31	12
11	в этом	19	12
12	в своем	5	11
13	прежде всего	10	11
14	такого рода	7	10
15	то что	42	10
16	или иначе	2	9
17	так или	2	8
18	не в	4	8
19	и в	32	8
20	только в	7	8
21	как это	6	8
22	я и	2	7
23	я не	1	7
24	как бы	14	7
25	в себе	15	7
26	не менее	19	7
27	в его	6	7
28	уже не	3	7
29	и я	1	6
30	то есть	33	6
31	как и	3	6
32	точки зрения	3	6
33	и сам	1	6
34	того что	7	6
35	связи с	5	6
36	в жизни	3	6
37	себя в	1	6
38	на смену	1	6
39	xix века	1	6
40	одним из	1	5
41	то же	10	5
42	как в	4	5
43	в то	6	5
44	для себя	3	5
45	казалось бы	4	5
46	искусства и	3	5
47	а также	4	5
48	же в	4	5
49	что он	7	5
50	уже в	3	5
51	не может	8	5
52	в данном	9	5
53	с этой	1	5
54	с его	2	5
55	тем самым	4	5
56	в своей	8	4
57	еще не	9	4
58	но не	9	4
59	в этой	10	4
60	в художественном	1	4
61	все же	1	4
62	по преимуществу	2	4
63	в случае	3	4
64	не как	2	4
65	в силу	1	4
66	с собой	2	4
67	лишь в	1	4
68	для этого	3	4
69	и его	3	4
70	данном случае	8	4
71	никогда не	7	4
72	так и	12	4
73	и тем	13	4
74	из них	3	4
75	мир в	1	4
76	в конце	6	4
77	друг друга	1	4
78	как раз	13	4
79	в стихотворении	1	4
80	в связи	4	4
81	со стороны	1	4
82	это не	6	4
83	например в	2	3
84	и есть	6	3
85	тем же	1	3
86	также и	11	3
87	что его	3	3
88	субъекта и	1	3
89	в самом	6	3
90	бы не	1	3
91	таким образом	6	3
92	той же	1	3
93	его в	6	3
94	в душе	1	3
95	далеко не	5	3
96	он и	8	3
97	несмотря на	3	3
98	в их	4	3
99	но в	14	3
100	том же	1	3
101	что ему	1	3
102	дело в	3	3
103	одна из	1	3
104	в основе	1	3
105	в области	2	3
106	в виду	6	3
107	в пределах	1	3
108	одного из	1	3
109	сводится к	1	3
110	не сводится	1	3
111	по своей	1	3
112	один из	4	3
113	потому что	16	3
114	одно из	2	3
115	при всей	1	3
116	и даже	11	3
117	с другой	3	3
118	еще и	5	3
119	не было	4	3
120	мира в	1	3
121	быть это	1	3
122	да и	3	3
123	при всем	1	3
124	жизни и	1	3
125	что в	12	3
126	а в	4	3
127	же и	3	3
128	во всяком	7	3
129	чтобы не	1	2
130	того же	3	2
131	и то	6	2
132	самом деле	6	2
133	отношения между	1	2
134	должна быть	1	2
135	от всякой	1	2
136	для своего	2	2
137	и само	1	2
138	в сущности	2	2
139	на себя	2	2
140	х годов	1	2
141	то это	1	2
142	и самого	1	2
143	во имя	1	2
144	то он	2	2
145	а только	5	2
146	относится к	1	2
147	отнюдь не	10	2
148	общего с	8	2
149	и нет	1	2
150	этой цели	1	2
151	только то	4	2
152	все эти	8	2
153	из этих	2	2
154	тому же	1	2
155	во многих	2	2
156	как он	4	2
157	в нем	13	2
158	поскольку он	2	2
159	в нашей	1	2
160	не к	1	2
161	подобно тому	2	2
162	на этом	1	2
163	здесь как	1	2
164	для нее	1	2
165	было бы	8	2
166	на почве	1	2
167	для них	2	2
168	в москве	1	2
169	и того	2	2
170	несет в	1	2
171	что такое	6	2
172	всяком случае	3	2
173	с точки	3	2
174	мы в	3	2
175	что я	1	2
176	я есть	1	2
177	в россии	1	2
178	тем не	18	2
179	однако в	2	2
180	даже в	1	2
181	раз и	9	2
182	на один	2	2
183	вплоть до	1	2
184	ничего кроме	1	2
185	дело не	1	2
186	мышления и	4	2
187	и является	7	2
188	в сознании	5	2
189	как будто	3	2
190	этом отношении	1	2
191	xx века	2	2
192	могут быть	2	2
193	и вполне	3	2
194	к тому	3	2
195	должен быть	1	2
196	у достоевского	1	2
197	говоря уже	2	2
198	самим собою	1	2
199	для читателя	1	2
200	на том	4	2
201	по этой	1	2
202	ту же	1	2
203	имеется в	1	2
204	или иной	5	2
205	в другом	1	2
206	о том	11	2
207	мир и	1	2
208	между тем	2	2
209	во втором	1	2
210	и только	4	2
211	будь то	3	2
212	хотя бы	3	2
213	по этому	3	2
214	только на	4	2
215	то и	6	2
216	что не	3	2
217	ту или	1	2
218	что для	2	2
219	не сам	1	2
