N	4gram	Tiupa_Disk_1	KulturaY
1	в большей или меньшей	1	3
2	в то же время	3	3
3	большей или меньшей степени	1	3
4	в том случае если	1	2
5	не только потому что	1	2
6	не говоря уже о	2	2
7	только в том что	1	1
8	дело не в том	1	1
9	только в том случае	1	1
10	сошлюсь хотя бы на	1	1
11	в том или ином	1	1
12	состоит в том что	1	1
13	сами по себе они	1	1
14	том и в другом	1	1
15	в том и в	1	1
16	и в другом случае	1	1
17	дело в том что	1	1
18	не только в том	1	1
19	и в том и	1	1
20	заключается в том что	1	1
21	из уст в уста	1	1
