N	3gram	Propp_Isto_7	Vladivir
1	в том что	4	10
2	тем не менее	4	9
3	о том что	5	8
4	с точки зрения	1	6
5	вместе с тем	1	6
6	не может быть	3	6
7	это значит что	1	6
8	более или менее	1	5
9	то это значит	1	4
10	точно так же	2	4
11	в то время	2	4
12	только в том	1	3
13	бы то ни	1	3
14	то что в	3	3
15	с одной стороны	4	3
16	как мы видели	1	3
17	что и в	2	3
18	ни в каких	1	2
19	независимо от того	1	2
20	совершенно так же	1	2
21	не говорит о	1	2
22	так же как	4	2
23	в данном случае	3	2
24	и потому что	1	2
25	то время как	2	2
26	в связи с	1	2
27	с другой стороны	8	2
28	обращает на себя	1	2
29	к тому что	1	2
30	на вопрос что	1	1
31	уже знаем что	2	1
32	сказать что в	1	1
33	вопросу о том	1	1
34	здесь перед нами	1	1
35	между прочим и	2	1
36	по вопросу о	1	1
37	только тот кто	1	1
38	о том как	1	1
39	в этом случае	1	1
40	о том почему	1	1
41	же как и	1	1
42	он мог бы	1	1
43	при помощи которых	1	1
44	и должны быть	1	1
45	до сих пор	2	1
46	и то и	1	1
47	в иных случаях	1	1
48	сама по себе	1	1
49	но в данном	1	1
50	а так как	1	1
51	можно было бы	1	1
52	одна из них	1	1
53	он не мог	1	1
54	с тех пор	1	1
55	с этой точки	3	1
56	и не в	1	1
57	ко всякого рода	1	1
58	то и другое	1	1
59	у него нет	1	1
60	свою жизнь но	1	1
61	вопрос о том	1	1
62	и что в	1	1
63	в основном как	1	1
64	в свете этой	1	1
65	не только в	5	1
66	то ни было	1	1
67	все дело в	1	1
68	об этом же	1	1
69	все же не	1	1
70	в связи со	1	1
71	и она не	1	1
72	то что он	1	1
73	этой точки зрения	3	1
74	у него и	1	1
75	но уже в	1	1
76	определяется не только	1	1
77	в этом же	1	1
78	начинается с того	3	1
79	мы не можем	2	1
80	надо сказать что	1	1
81	и что если	1	1
82	к самому себе	1	1
83	том как эта	1	1
84	но все эти	1	1
85	здесь идет речь?	1	1
86	в самом деле	1	1
87	что по вопросу	1	1
88	мы знаем что	1	1
89	становится ясным что	1	1
90	не только на	1	1
91	мы видим что	3	1
92	по этому вопросу	1	1
93	мы уже знаем	3	1
94	он не только	1	1
95	то он не	1	1
96	то же самое	1	1
97	и что эта	1	1
