N	2gram	Berdyaev_M_2	BTomashe
1	у нас	11	3
2	и не	18	2
3	все это	1	2
4	в ней	11	2
5	можно было	2	2
6	не то	1	2
7	же не	1	1
8	за пределы	1	1
9	говорить о	1	1
10	бы только	1	1
11	об этом	1	1
12	и в	46	1
13	их что	1	1
14	к ней	2	1
15	что все	5	1
16	с другой	1	1
17	в своей	5	1
18	своей книге	1	1
19	на самом	1	1
20	как будто	2	1
21	и нет	3	1
22	было бы	1	1
23	он свою	1	1
24	а о	1	1
25	между ними	1	1
26	и на	3	1
27	выпадают из	1	1
28	в пределах	1	1
29	представляется нам	1	1
30	только одной	1	1
31	стоит на	2	1
32	должна быть	1	1
33	в значительной	1	1
34	прежде всего	12	1
35	и во	3	1
36	так и	4	1
37	не было	11	1
38	его не	2	1
39	не о	2	1
40	до конца	4	1
41	а не	13	1
42	что в	4	1
43	и ее	1	1
44	не все	1	1
45	вопрос о	6	1
46	и более	1	1
47	и потому	7	1
48	не только	18	1
49	значительной степени	1	1
50	иначе не	1	1
51	целиком в	1	1
52	в эпоху	1	1
